4096
156	1 3	1 5	1 44	1 46
157	1 3	1 5	1 46	1 48
158	1 3	1 5	1 48	1 50
159	1 3	1 5	1 50	1 52
160	1 3	1 5	1 52	1 54
161	1 3	1 5	1 54	1 56
162	1 3	1 5	1 56	1 58
163	1 3	1 5	1 58	1 60
164	1 3	1 5	1 60	1 62
165	1 3	1 5	1 62	1 64
166	1 3	1 5	1 47	1 49
167	1 3	1 5	1 49	1 51
168	1 3	1 5	1 51	1 53
169	1 3	1 5	1 53	1 55
170	1 3	1 5	1 55	1 57
171	1 3	1 5	1 57	1 59
172	1 3	1 5	1 59	1 61
173	1 3	1 5	1 61	1 63
174	1 3	1 5	1 65	1 67
175	1 3	1 5	1 64	1 66
176	1 3	1 5	1 66	1 68
177	1 3	1 5	1 68	1 70
178	1 3	1 5	1 70	1 72
179	1 3	1 5	1 72	1 2
180	1 3	1 5	1 2	1 4
181	1 3	1 5	1 67	1 69
182	1 3	1 5	1 69	1 71
183	1 3	1 5	1 71	1 1
184	1 4	1 6	1 5	1 7
185	1 4	1 6	1 7	1 9
186	1 4	1 6	1 9	1 11
187	1 4	1 6	1 11	1 13
188	1 4	1 6	1 15	1 17
189	1 4	1 6	1 17	1 19
190	1 4	1 6	1 19	1 21
191	1 4	1 6	1 21	1 23
192	1 4	1 6	1 23	1 25
193	1 4	1 6	1 12	1 14
194	1 4	1 6	1 14	1 16
195	1 4	1 6	1 18	1 20
196	1 4	1 6	1 20	1 22
197	1 4	1 6	1 22	1 24
198	1 4	1 6	1 26	1 28
199	1 4	1 6	1 25	1 27
200	1 4	1 6	1 27	1 29
201	1 4	1 6	1 29	1 31
202	1 4	1 6	1 31	1 33
203	1 4	1 6	1 33	1 35
204	1 4	1 6	1 35	1 37
205	1 4	1 6	1 37	1 39
206	1 4	1 6	1 39	1 41
207	1 4	1 6	1 41	1 43
208	1 4	1 6	1 43	1 45
209	1 4	1 6	1 28	1 30
210	1 4	1 6	1 30	1 32
211	1 4	1 6	1 32	1 34
212	1 4	1 6	1 34	1 36
213	1 4	1 6	1 36	1 38
214	1 4	1 6	1 38	1 40
215	1 4	1 6	1 40	1 42
216	1 4	1 6	1 42	1 44
217	1 4	1 6	1 44	1 46
218	1 4	1 6	1 46	1 48
219	1 4	1 6	1 45	1 47
220	1 4	1 6	1 47	1 49
221	1 4	1 6	1 49	1 51
222	1 4	1 6	1 51	1 53
223	1 4	1 6	1 53	1 55
224	1 4	1 6	1 55	1 57
225	1 4	1 6	1 59	1 61
226	1 4	1 6	1 61	1 63
227	1 4	1 6	1 63	1 65
228	1 4	1 6	1 48	1 50
229	1 4	1 6	1 50	1 52
230	1 4	1 6	1 52	1 54
231	1 4	1 6	1 54	1 56
232	1 4	1 6	1 56	1 58
233	1 4	1 6	1 58	1 60
234	1 4	1 6	1 60	1 62
235	1 4	1 6	1 62	1 64
236	1 4	1 6	1 64	1 66
237	1 4	1 6	1 66	1 68
238	1 4	1 6	1 65	1 67
239	1 4	1 6	1 67	1 69
240	1 4	1 6	1 69	1 71
241	1 4	1 6	1 71	1 1
242	1 4	1 6	1 3	1 5
243	1 4	1 6	1 68	1 70
244	1 4	1 6	1 70	1 72
245	1 4	1 6	1 72	1 2
246	1 5	1 7	1 6	1 8
247	1 5	1 7	1 8	1 10
248	1 5	1 7	1 10	1 12
249	1 5	1 7	1 12	1 14
250	1 5	1 7	1 16	1 18
251	1 5	1 7	1 22	1 24
252	1 5	1 7	1 24	1 26
253	1 5	1 7	1 9	1 11
254	1 5	1 7	1 13	1 15
255	1 5	1 7	1 15	1 17
256	1 5	1 7	1 19	1 21
257	1 5	1 7	1 21	1 23
258	1 5	1 7	1 23	1 25
259	1 5	1 7	1 25	1 27
260	1 5	1 7	1 27	1 29
261	1 5	1 7	1 26	1 28
262	1 5	1 7	1 28	1 30
263	1 5	1 7	1 30	1 32
264	1 5	1 7	1 32	1 34
265	1 5	1 7	1 34	1 36
266	1 5	1 7	1 36	1 38
267	1 5	1 7	1 38	1 40
268	1 5	1 7	1 40	1 42
269	1 5	1 7	1 42	1 44
270	1 5	1 7	1 44	1 46
271	1 5	1 7	1 29	1 31
272	1 5	1 7	1 31	1 33
273	1 5	1 7	1 33	1 35
274	1 5	1 7	1 35	1 37
275	1 5	1 7	1 37	1 39
276	1 5	1 7	1 39	1 41
277	1 5	1 7	1 41	1 43
278	1 5	1 7	1 43	1 45
279	1 5	1 7	1 45	1 47
280	1 5	1 7	1 47	1 49
281	1 5	1 7	1 46	1 48
282	1 5	1 7	1 48	1 50
283	1 5	1 7	1 50	1 52
284	1 5	1 7	1 52	1 54
285	1 5	1 7	1 54	1 56
286	1 5	1 7	1 56	1 58
287	1 5	1 7	1 58	1 60
288	1 5	1 7	1 60	1 62
289	1 5	1 7	1 62	1 64
290	1 5	1 7	1 64	1 66
291	1 5	1 7	1 49	1 51
292	1 5	1 7	1 51	1 53
293	1 5	1 7	1 53	1 55
294	1 5	1 7	1 55	1 57
295	1 5	1 7	1 57	1 59
296	1 5	1 7	1 59	1 61
297	1 5	1 7	1 61	1 63
298	1 5	1 7	1 66	1 68
299	1 5	1 7	1 68	1 70
300	1 5	1 7	1 70	1 72
301	1 5	1 7	1 72	1 2
302	1 5	1 7	1 2	1 4
303	1 5	1 7	1 4	1 6
304	1 5	1 7	1 69	1 71
305	1 5	1 7	1 71	1 1
306	1 5	1 7	1 1	1 3
307	1 6	1 8	1 9	1 11
308	1 6	1 8	1 11	1 13
309	1 6	1 8	1 17	1 19
310	1 6	1 8	1 19	1 21
311	1 6	1 8	1 21	1 23
312	1 6	1 8	1 25	1 27
313	1 6	1 8	1 10	1 12
314	1 6	1 8	1 12	1 14
315	1 6	1 8	1 22	1 24
316	1 6	1 8	1 24	1 26
317	1 6	1 8	1 26	1 28
318	1 6	1 8	1 28	1 30
319	1 6	1 8	1 27	1 29
320	1 6	1 8	1 29	1 31
321	1 6	1 8	1 31	1 33
322	1 6	1 8	1 33	1 35
323	1 6	1 8	1 35	1 37
324	1 6	1 8	1 37	1 39
325	1 6	1 8	1 39	1 41
326	1 6	1 8	1 41	1 43
327	1 6	1 8	1 43	1 45
328	1 6	1 8	1 45	1 47
329	1 6	1 8	1 30	1 32
330	1 6	1 8	1 32	1 34
331	1 6	1 8	1 38	1 40
332	1 6	1 8	1 40	1 42
333	1 6	1 8	1 42	1 44
334	1 6	1 8	1 44	1 46
335	1 6	1 8	1 46	1 48
336	1 6	1 8	1 48	1 50
337	1 6	1 8	1 47	1 49
338	1 6	1 8	1 49	1 51
339	1 6	1 8	1 51	1 53
340	1 6	1 8	1 53	1 55
341	1 6	1 8	1 55	1 57
342	1 6	1 8	1 57	1 59
343	1 6	1 8	1 61	1 63
344	1 6	1 8	1 63	1 65
345	1 6	1 8	1 65	1 67
346	1 6	1 8	1 50	1 52
347	1 6	1 8	1 52	1 54
348	1 6	1 8	1 54	1 56
349	1 6	1 8	1 56	1 58
350	1 6	1 8	1 58	1 60
351	1 6	1 8	1 60	1 62
352	1 6	1 8	1 62	1 64
353	1 6	1 8	1 64	1 66
354	1 6	1 8	1 66	1 68
355	1 6	1 8	1 68	1 70
356	1 6	1 8	1 67	1 69
357	1 6	1 8	1 71	1 1
358	1 6	1 8	1 1	1 3
359	1 6	1 8	1 3	1 5
360	1 6	1 8	1 5	1 7
361	1 6	1 8	1 70	1 72
362	1 6	1 8	1 72	1 2
363	1 6	1 8	1 2	1 4
364	1 7	1 9	1 12	1 14
365	1 7	1 9	1 16	1 18
366	1 7	1 9	1 18	1 20
367	1 7	1 9	1 20	1 22
368	1 7	1 9	1 22	1 24
369	1 7	1 9	1 24	1 26
370	1 7	1 9	1 26	1 28
371	1 7	1 9	1 11	1 13
372	1 7	1 9	1 13	1 15
373	1 7	1 9	1 15	1 17
374	1 7	1 9	1 21	1 23
375	1 7	1 9	1 23	1 25
376	1 7	1 9	1 27	1 29
377	1 7	1 9	1 29	1 31
378	1 7	1 9	1 28	1 30
379	1 7	1 9	1 30	1 32
380	1 7	1 9	1 36	1 38
381	1 7	1 9	1 38	1 40
