,El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  ,Name
,Mixed / non conventional,72.00,65.00,71.00,1.00,-1903.66,1.28,0.00,-258.26,-47.211,0.187,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,2.00,-2207.84,3.78,0.00,-269.15,-47.516,0.162,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,3.00,-2840.20,1.20,0.00,-285.52,-47.961,0.127,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,4.00,-4270.86,3.36,0.00,-273.16,-49.678,0.088,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,5.00,-4338.99,0.91,0.00,-282.45,-50.314,0.087,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,6.00,-3235.77,2.28,0.00,-272.43,-48.473,0.113,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,7.00,-2632.41,0.50,0.00,-305.40,-47.802,0.137,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,8.00,-2273.58,0.39,0.00,-282.19,-47.593,0.157,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,9.00,-1703.79,1.22,0.00,-377.40,-47.453,0.209,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,10.00,-1918.11,2.55,0.00,-315.86,-47.415,0.186,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,11.00,-2358.02,3.06,0.00,-273.22,-47.529,0.152,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,12.00,-2865.33,1.29,0.00,-210.68,-47.806,0.125,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,13.00,-2972.55,2.44,0.00,-238.49,-47.933,0.121,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,14.00,-2636.49,0.52,0.00,-364.32,-47.653,0.136,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,15.00,-2414.28,1.94,0.00,-102.69,-47.507,0.148,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,16.00,-2139.04,1.25,0.00,-305.33,-47.430,0.167,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,17.00,-1378.25,0.87,0.00,-440.23,-47.764,0.260,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,18.00,-1615.77,1.36,0.00,-455.95,-47.535,0.221,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,19.00,-1825.32,1.78,0.00,-348.64,-47.402,0.195,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,20.00,-2096.99,3.43,0.00,-127.45,-47.405,0.170,MA72B65Rec
