,El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  ,Name
,Mixed / non conventional,1.00,3.00,2.00,4.00,2869.31,0.18,0.00,49.09,1721.131,5.653,ERT72
,Mixed / non conventional,1.00,3.00,4.00,6.00,1827.15,0.18,0.00,-6.96,-876.802,5.653,ERT72
,Mixed / non conventional,1.00,3.00,6.00,8.00,2924.25,0.16,0.00,-27.21,-200.468,5.653,ERT72
,Mixed / non conventional,1.00,3.00,8.00,10.00,25420.71,0.15,0.00,-70.30,-580.892,5.653,ERT72
,Mixed / non conventional,1.00,3.00,10.00,12.00,-78861.34,0.15,0.00,114.63,819.124,5.653,ERT72
,Mixed / non conventional,1.00,3.00,12.00,14.00,30154.47,0.15,0.00,-112.30,-168.652,5.653,ERT72
,Mixed / non conventional,1.00,3.00,14.00,16.00,29513.21,0.16,0.00,-12.83,-99.039,5.653,ERT72
,Mixed / non conventional,1.00,3.00,16.00,18.00,230013.42,0.14,0.00,-89.12,-499.444,5.653,ERT72
,Mixed / non conventional,1.00,3.00,18.00,20.00,-306571.19,0.14,0.00,222.44,455.467,5.653,ERT72
,Mixed / non conventional,1.00,3.00,20.00,22.00,-45921.32,0.17,0.00,-35.00,48.732,5.653,ERT72
,Mixed / non conventional,1.00,3.00,5.00,7.00,2360.14,0.02,0.00,-53.91,-581.016,9.281,ERT72
,Mixed / non conventional,1.00,3.00,7.00,9.00,37597.10,0.04,0.00,-155.80,-2313.896,9.281,ERT72
,Mixed / non conventional,1.00,3.00,9.00,11.00,-94893.08,0.04,0.00,158.87,2336.062,9.281,ERT72
,Mixed / non conventional,1.00,3.00,11.00,13.00,-7806.86,0.03,0.00,46.60,96.094,9.281,ERT72
,Mixed / non conventional,1.00,3.00,13.00,15.00,28504.80,0.00,0.00,8.69,-200.493,9.281,ERT72
,Mixed / non conventional,1.00,3.00,15.00,17.00,317383.56,0.00,0.00,-233.42,-1395.229,9.281,ERT72
,Mixed / non conventional,1.00,3.00,17.00,19.00,-332277.31,0.00,0.00,104.56,973.806,9.281,ERT72
,Mixed / non conventional,1.00,3.00,19.00,21.00,-173621.34,0.04,0.00,10.65,356.182,9.281,ERT72
,Mixed / non conventional,1.00,3.00,21.00,23.00,33526.14,0.00,0.00,143.60,-50.021,9.281,ERT72
,Mixed / non conventional,1.00,3.00,23.00,25.00,822448.94,0.03,0.00,-213.00,-920.313,9.281,ERT72
,Mixed / non conventional,1.00,3.00,22.00,24.00,60912.75,0.15,0.00,-67.61,-107.655,12.738,ERT72
,Mixed / non conventional,1.00,3.00,24.00,26.00,666793.31,0.17,0.00,-117.40,-895.633,12.738,ERT72
,Mixed / non conventional,1.00,3.00,26.00,28.00,-554774.50,0.17,0.00,240.73,579.581,12.738,ERT72
,Mixed / non conventional,1.00,3.00,28.00,30.00,-263455.94,0.18,0.00,-63.51,218.289,12.738,ERT72
,Mixed / non conventional,1.00,3.00,30.00,32.00,16393.56,0.17,0.00,14.71,-10.954,12.738,ERT72
,Mixed / non conventional,1.00,3.00,32.00,34.00,1283805.00,0.17,0.00,-140.51,-701.870,12.738,ERT72
,Mixed / non conventional,1.00,3.00,34.00,36.00,-794125.81,0.09,0.00,98.76,310.040,10.979,ERT72
,Mixed / non conventional,1.00,3.00,36.00,38.00,-540514.50,0.10,0.00,17.76,176.809,10.979,ERT72
,Mixed / non conventional,1.00,3.00,38.00,40.00,-180140.83,0.09,0.00,189.53,49.860,10.979,ERT72
,Mixed / non conventional,1.00,3.00,40.00,42.00,2088523.13,0.09,0.00,-317.52,-493.474,10.979,ERT72
,Mixed / non conventional,1.00,3.00,25.00,27.00,-561407.56,0.07,0.00,227.47,559.984,10.755,ERT72
,Mixed / non conventional,1.00,3.00,27.00,29.00,-452185.59,0.07,0.00,-92.09,354.387,10.755,ERT72
,Mixed / non conventional,1.00,3.00,29.00,31.00,-79032.77,0.10,0.00,92.39,49.552,10.755,ERT72
,Mixed / non conventional,1.00,3.00,31.00,33.00,1484617.13,0.07,0.00,-215.71,-756.287,10.755,ERT72
,Mixed / non conventional,1.00,3.00,33.00,35.00,-719573.81,0.07,0.00,277.89,301.881,10.755,ERT72
,Mixed / non conventional,1.00,3.00,35.00,37.00,-757777.81,0.07,0.00,-218.68,264.920,10.755,ERT72
,Mixed / non conventional,1.00,3.00,37.00,39.00,-312321.88,0.09,0.00,199.61,91.948,10.755,ERT72
,Mixed / non conventional,1.00,3.00,39.00,41.00,2150670.50,0.08,0.00,-266.09,-538.186,10.755,ERT72
,Mixed / non conventional,1.00,3.00,41.00,43.00,-792381.69,0.07,0.00,380.51,169.960,10.755,ERT72
,Mixed / non conventional,1.00,3.00,43.00,45.00,-1066155.88,0.08,0.00,-248.31,197.498,10.755,ERT72
,Mixed / non conventional,1.00,3.00,42.00,44.00,-1046120.50,0.00,0.00,67.16,178.969,9.238,ERT72
,Mixed / non conventional,1.00,3.00,44.00,46.00,-896461.81,0.04,0.00,-55.67,132.914,9.238,ERT72
,Mixed / non conventional,1.00,3.00,46.00,48.00,-386517.78,0.00,0.00,41.11,49.990,9.238,ERT72
,Mixed / non conventional,1.00,3.00,48.00,50.00,2965786.75,0.03,0.00,-96.81,-336.626,9.238,ERT72
,Mixed / non conventional,1.00,3.00,50.00,52.00,-1315072.88,0.00,0.00,147.83,131.703,9.238,ERT72
,Mixed / non conventional,1.00,3.00,52.00,54.00,-1246726.13,0.06,0.00,-31.87,110.719,9.238,ERT72
