,El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  ,Name,Date
,Mixed / non conventional,72.00,65.00,71.00,1.00,-2243.62,0.81,0.00,-347.08,-49.325,0.165,M0,6/23/2022 12:20:55 PM
,Mixed / non conventional,72.00,65.00,71.00,2.00,-2700.79,1.72,0.00,-348.29,-50.661,0.141,M0,6/23/2022 12:20:58 PM
,Mixed / non conventional,72.00,65.00,71.00,3.00,-3451.62,2.79,0.00,-375.38,-52.511,0.114,M0,6/23/2022 12:21:01 PM
,Mixed / non conventional,72.00,65.00,71.00,4.00,-4705.11,1.13,0.00,-339.87,-56.516,0.090,M0,6/23/2022 12:21:04 PM
,Mixed / non conventional,72.00,65.00,71.00,5.00,-4832.18,1.74,0.00,-382.14,-57.298,0.089,M0,6/23/2022 12:21:07 PM
,Mixed / non conventional,72.00,65.00,71.00,6.00,-3645.28,1.56,0.00,-350.78,-53.211,0.110,M0,6/23/2022 12:21:10 PM
,Mixed / non conventional,72.00,65.00,71.00,7.00,-2946.42,3.45,0.00,-369.25,-51.300,0.131,M0,6/23/2022 12:21:13 PM
,Mixed / non conventional,72.00,65.00,71.00,8.00,-2665.65,1.19,0.00,-330.61,-50.464,0.142,M0,6/23/2022 12:21:16 PM
,Mixed / non conventional,72.00,65.00,71.00,9.00,-2032.52,1.75,0.00,-483.37,-49.279,0.182,M0,6/23/2022 12:21:19 PM
,Mixed / non conventional,72.00,65.00,71.00,10.00,-2344.88,1.99,0.00,-460.67,-49.707,0.159,M0,6/23/2022 12:21:22 PM
,Mixed / non conventional,72.00,65.00,71.00,11.00,-2807.91,2.86,0.00,-336.77,-50.581,0.135,M0,6/23/2022 12:21:25 PM
,Mixed / non conventional,72.00,65.00,71.00,12.00,-3300.68,1.52,0.00,-254.32,-51.770,0.118,M0,6/23/2022 12:21:28 PM
,Mixed / non conventional,72.00,65.00,71.00,13.00,-3328.95,2.31,0.00,-253.96,-51.912,0.117,M0,6/23/2022 12:21:31 PM
,Mixed / non conventional,72.00,65.00,71.00,14.00,-3097.84,3.00,0.00,-398.56,-51.044,0.124,M0,6/23/2022 12:21:34 PM
,Mixed / non conventional,72.00,65.00,71.00,15.00,-2671.06,1.67,0.00,-191.94,-50.303,0.142,M0,6/23/2022 12:21:37 PM
,Mixed / non conventional,72.00,65.00,71.00,16.00,-2489.45,1.77,0.00,-380.31,-49.772,0.150,M0,6/23/2022 12:21:40 PM
,Mixed / non conventional,72.00,65.00,71.00,17.00,-1606.43,2.19,0.00,-491.83,-48.577,0.227,M0,6/23/2022 12:21:43 PM
,Mixed / non conventional,72.00,65.00,71.00,18.00,-1909.96,1.08,0.00,-536.65,-48.790,0.192,M0,6/23/2022 12:21:46 PM
,Mixed / non conventional,72.00,65.00,71.00,19.00,-2201.68,1.18,0.00,-423.86,-49.090,0.168,M0,6/23/2022 12:21:49 PM
,Mixed / non conventional,72.00,65.00,71.00,20.00,-2440.14,1.05,0.00,-205.70,-49.596,0.153,M0,6/23/2022 12:21:52 PM
,Mixed / non conventional,72.00,65.00,71.00,21.00,-2533.60,2.02,0.00,-376.53,-49.716,0.147,M0,6/23/2022 12:21:55 PM
,Mixed / non conventional,72.00,65.00,71.00,22.00,-2541.54,1.88,0.00,-175.46,-49.608,0.147,M0,6/23/2022 12:21:58 PM
