,El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  ,Name,Date
,Mixed / non conventional,1.00,3.00,2.00,4.00,6235.49,0.28,0.00,34.92,1804.854,2.728,ERT72,6/29/2022 10:20:48 AM
,Mixed / non conventional,1.00,3.00,4.00,6.00,2842.27,0.27,0.00,-15.68,-658.153,2.728,ERT72,6/29/2022 10:20:48 AM
,Mixed / non conventional,1.00,3.00,6.00,8.00,4244.60,0.27,0.00,-27.11,-140.411,2.728,ERT72,6/29/2022 10:20:48 AM
,Mixed / non conventional,1.00,3.00,8.00,10.00,64632.04,0.27,0.00,-273.92,-712.672,2.728,ERT72,6/29/2022 10:20:49 AM
,Mixed / non conventional,1.00,3.00,10.00,12.00,-177876.55,0.27,0.00,-25.76,891.535,2.728,ERT72,6/29/2022 10:20:49 AM
,Mixed / non conventional,1.00,3.00,12.00,14.00,48491.49,0.27,0.00,21.50,-130.870,2.728,ERT72,6/29/2022 10:20:49 AM
,Mixed / non conventional,1.00,3.00,14.00,16.00,43899.84,0.27,0.00,-126.72,-71.087,2.728,ERT72,6/29/2022 10:20:49 AM
,Mixed / non conventional,1.00,3.00,16.00,18.00,544738.75,0.27,0.00,-4.02,-570.763,2.728,ERT72,6/29/2022 10:20:49 AM
,Mixed / non conventional,1.00,3.00,18.00,20.00,-722463.25,0.27,0.00,137.27,517.935,2.728,ERT72,6/29/2022 10:20:49 AM
,Mixed / non conventional,1.00,3.00,20.00,22.00,-93147.95,0.25,0.00,-2.91,47.698,2.728,ERT72,6/29/2022 10:20:49 AM
,Mixed / non conventional,1.00,3.00,5.00,7.00,3631.32,0.17,0.00,24.95,-150.739,1.565,ERT72,6/29/2022 10:20:51 AM
,Mixed / non conventional,1.00,3.00,7.00,9.00,92826.89,0.19,0.00,-226.01,-963.330,1.565,ERT72,6/29/2022 10:20:51 AM
,Mixed / non conventional,1.00,3.00,9.00,11.00,-229041.39,0.19,0.00,-18.99,950.770,1.565,ERT72,6/29/2022 10:20:51 AM
,Mixed / non conventional,1.00,3.00,11.00,13.00,-23752.08,0.16,0.00,25.64,49.298,1.565,ERT72,6/29/2022 10:20:51 AM
,Mixed / non conventional,1.00,3.00,13.00,15.00,47994.93,0.13,0.00,-13.75,-56.923,1.565,ERT72,6/29/2022 10:20:51 AM
,Mixed / non conventional,1.00,3.00,15.00,17.00,752140.50,0.18,0.00,-84.99,-557.534,1.565,ERT72,6/29/2022 10:20:51 AM
,Mixed / non conventional,1.00,3.00,17.00,19.00,-822575.50,0.18,0.00,-43.15,406.499,1.565,ERT72,6/29/2022 10:20:51 AM
,Mixed / non conventional,1.00,3.00,19.00,21.00,-376533.81,0.19,0.00,23.18,130.252,1.565,ERT72,6/29/2022 10:20:51 AM
,Mixed / non conventional,1.00,3.00,21.00,23.00,46643.83,0.03,0.00,121.37,-47.237,6.299,ERT72,6/29/2022 10:20:53 AM
,Mixed / non conventional,1.00,3.00,23.00,25.00,1964074.63,0.04,0.00,-117.47,-1491.773,6.299,ERT72,6/29/2022 10:20:53 AM
,Mixed / non conventional,1.00,3.00,22.00,24.00,84781.34,0.08,0.00,-55.11,-73.991,6.290,ERT72,6/29/2022 10:20:55 AM
,Mixed / non conventional,1.00,3.00,24.00,26.00,1510353.63,0.09,0.00,26.78,-1001.779,6.290,ERT72,6/29/2022 10:20:55 AM
,Mixed / non conventional,1.00,3.00,26.00,28.00,-1322467.63,0.09,0.00,21.74,682.240,6.290,ERT72,6/29/2022 10:20:55 AM
,Mixed / non conventional,1.00,3.00,28.00,30.00,-501272.72,0.08,0.00,17.84,205.094,6.290,ERT72,6/29/2022 10:20:55 AM
,Mixed / non conventional,1.00,3.00,30.00,32.00,-25643.33,0.04,0.00,-0.54,8.461,6.290,ERT72,6/29/2022 10:20:55 AM
,Mixed / non conventional,1.00,3.00,32.00,34.00,2732858.75,0.09,0.00,-18.69,-546.885,4.663,ERT72,6/29/2022 10:20:58 AM
