,El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  
,Mixed / non conventional,1.00,3.00,2.00,4.00,4549.02,0.12,0.00,-3.46,1691.241,3.504
,Mixed / non conventional,1.00,3.00,4.00,6.00,2224.49,0.11,0.00,23.43,-661.618,3.504
,Mixed / non conventional,1.00,3.00,6.00,8.00,2501.25,0.11,0.00,-38.56,-106.276,3.504
,Mixed / non conventional,1.00,3.00,8.00,10.00,49293.62,0.12,0.00,-251.51,-698.151,3.504
,Mixed / non conventional,1.00,3.00,10.00,12.00,-131389.78,0.12,0.00,2.71,845.859,3.504
,Mixed / non conventional,1.00,3.00,12.00,14.00,33321.54,0.14,0.00,-38.81,-115.509,3.504
,Mixed / non conventional,1.00,3.00,14.00,16.00,23664.97,0.10,0.00,-79.63,-49.221,3.504
,Mixed / non conventional,1.00,3.00,16.00,18.00,423375.84,0.12,0.00,-5.23,-569.784,3.504
,Mixed / non conventional,1.00,3.00,18.00,20.00,-545809.50,0.13,0.00,154.29,502.594,3.504
,Mixed / non conventional,1.00,3.00,20.00,22.00,-93965.48,0.12,0.00,-13.94,61.804,3.504
,Mixed / non conventional,1.00,3.00,5.00,7.00,2362.04,0.32,0.00,15.04,-162.551,2.594
,Mixed / non conventional,1.00,3.00,7.00,9.00,69914.23,0.31,0.00,-135.49,-1202.836,2.594
,Mixed / non conventional,1.00,3.00,9.00,11.00,-172322.05,0.31,0.00,-112.91,1185.884,2.594
,Mixed / non conventional,1.00,3.00,11.00,13.00,-14261.59,0.33,0.00,53.93,49.073,2.594
,Mixed / non conventional,1.00,3.00,13.00,15.00,27341.38,0.30,0.00,-4.21,-53.759,2.594
,Mixed / non conventional,1.00,3.00,15.00,17.00,585541.25,0.31,0.00,-96.51,-719.565,2.594
,Mixed / non conventional,1.00,3.00,17.00,19.00,-641600.13,0.31,0.00,-29.22,525.639,2.594
,Mixed / non conventional,1.00,3.00,19.00,21.00,-297414.22,0.32,0.00,43.05,170.562,2.594
,Mixed / non conventional,1.00,3.00,21.00,23.00,16474.32,0.10,0.00,96.78,-20.742,7.832
,Mixed / non conventional,1.00,3.00,23.00,25.00,1557532.13,0.07,0.00,-62.71,-1470.792,7.832
,Mixed / non conventional,1.00,3.00,22.00,24.00,49111.91,0.24,0.00,-80.76,-52.724,7.738
,Mixed / non conventional,1.00,3.00,24.00,26.00,1190720.63,0.26,0.00,-6.60,-971.507,7.738
,Mixed / non conventional,1.00,3.00,26.00,28.00,-1041729.94,0.26,0.00,117.57,661.074,7.738
,Mixed / non conventional,1.00,3.00,28.00,30.00,-456242.13,0.26,0.00,-59.62,229.623,7.738
,Mixed / non conventional,1.00,3.00,30.00,32.00,-24356.07,0.21,0.00,40.50,9.886,7.738
,Mixed / non conventional,1.00,3.00,32.00,34.00,2252946.75,0.03,0.00,-83.25,-475.577,4.918
,Mixed / non conventional,1.00,3.00,34.00,36.00,-1474334.00,0.03,0.00,89.02,257.861,4.918
,Mixed / non conventional,1.00,3.00,36.00,38.00,-865438.56,0.03,0.00,18.21,126.822,4.918
,Mixed / non conventional,1.00,3.00,38.00,40.00,-406767.81,0.03,0.00,-1.42,50.437,4.918
,Mixed / non conventional,1.00,3.00,40.00,42.00,3515079.75,0.00,0.00,-99.33,-372.067,4.918
,Mixed / non conventional,1.00,3.00,25.00,27.00,-1199564.50,0.03,0.00,75.50,501.874,4.511
,Mixed / non conventional,1.00,3.00,27.00,29.00,-755244.00,0.05,0.00,-91.32,248.269,4.511
,Mixed / non conventional,1.00,3.00,29.00,31.00,-192122.44,0.07,0.00,87.80,50.525,4.511
,Mixed / non conventional,1.00,3.00,31.00,33.00,2795993.50,0.05,0.00,-157.76,-597.423,4.511
,Mixed / non conventional,1.00,3.00,33.00,35.00,-1634826.25,0.07,0.00,160.22,287.677,4.511
,Mixed / non conventional,1.00,3.00,35.00,37.00,-1221045.38,0.05,0.00,-90.58,179.052,4.511
,Mixed / non conventional,1.00,3.00,37.00,39.00,-605958.19,0.06,0.00,57.57,74.826,4.511
,Mixed / non conventional,1.00,3.00,39.00,41.00,3829606.25,0.04,0.00,-98.10,-401.963,4.511
,Mixed / non conventional,1.00,3.00,41.00,43.00,-1735038.38,0.00,0.00,114.79,156.097,4.511
,Mixed / non conventional,1.00,3.00,43.00,45.00,-1621904.75,0.06,0.00,25.77,126.021,4.511
,Mixed / non conventional,1.00,3.00,42.00,44.00,-1810653.88,0.12,0.00,61.26,179.844,5.364
,Mixed / non conventional,1.00,3.00,44.00,46.00,-1319437.13,0.13,0.00,-85.31,113.577,5.364
,Mixed / non conventional,1.00,3.00,46.00,48.00,-737597.44,0.12,0.00,4.35,55.386,5.364
,Mixed / non conventional,1.00,3.00,48.00,50.00,4586068.50,0.13,0.00,-0.39,-302.211,5.364
,Mixed / non conventional,1.00,3.00,50.00,52.00,-2051822.00,0.13,0.00,64.75,119.303,5.364
,Mixed / non conventional,1.00,3.00,52.00,54.00,-1713632.88,0.12,0.00,-8.84,88.355,5.364
,Mixed / non conventional,1.00,3.00,54.00,56.00,-1101889.88,0.12,0.00,51.51,50.617,5.364
,Mixed / non conventional,1.00,3.00,56.00,58.00,5529600.50,0.13,0.00,17.21,-227.281,5.364
,Mixed / non conventional,1.00,3.00,58.00,60.00,-2269986.50,0.12,0.00,62.07,83.810,5.364
,Mixed / non conventional,1.00,3.00,60.00,62.00,-2106306.75,0.12,0.00,6.31,70.117,5.364
,Mixed / non conventional,1.00,3.00,45.00,47.00,-998161.38,0.05,0.00,0.53,68.847,4.605
,Mixed / non conventional,1.00,3.00,47.00,49.00,4626258.00,0.07,0.00,-106.80,-279.208,4.605
,Mixed / non conventional,1.00,3.00,49.00,51.00,-1754620.50,0.07,0.00,91.92,93.186,4.605
,Mixed / non conventional,1.00,3.00,51.00,53.00,-1967958.13,0.07,0.00,-114.47,92.462,4.605
,Mixed / non conventional,1.00,3.00,53.00,55.00,-1500289.63,0.07,0.00,106.53,62.653,4.605
,Mixed / non conventional,1.00,3.00,55.00,57.00,5446018.50,0.05,0.00,-77.35,-203.072,4.605
,Mixed / non conventional,1.00,3.00,57.00,59.00,-1674833.75,0.06,0.00,194.30,55.988,4.605
,Mixed / non conventional,1.00,3.00,59.00,61.00,-2256108.50,0.03,0.00,-121.32,67.883,4.605
,Mixed / non conventional,1.00,3.00,61.00,63.00,-1862069.00,0.06,0.00,48.85,50.599,4.605
,Mixed / non conventional,1.00,3.00,63.00,65.00,6156214.00,0.03,0.00,107.10,-151.622,4.605
,Mixed / non conventional,1.00,3.00,62.00,64.00,-1358811.25,0.05,0.00,-22.44,57.735,7.566
,Mixed / non conventional,1.00,3.00,64.00,66.00,6394557.00,0.05,0.00,22.28,-246.587,7.566
,Mixed / non conventional,1.00,3.00,66.00,68.00,-2422574.50,0.05,0.00,-3.62,85.060,7.566
,Mixed / non conventional,1.00,3.00,68.00,70.00,-2487127.00,0.05,0.00,-39.55,79.734,7.566
,Mixed / non conventional,1.00,3.00,70.00,72.00,-1511673.50,0.03,0.00,167.59,44.363,7.566
,Mixed / non conventional,1.00,3.00,72.00,2.00,3133072.75,0.09,0.00,28.96,-1540.349,7.566
,Mixed / non conventional,1.00,3.00,65.00,67.00,-1815946.13,0.04,0.00,-29.66,52.165,5.909
,Mixed / non conventional,1.00,3.00,67.00,69.00,-2587897.00,0.06,0.00,-26.42,67.778,5.909
,Mixed / non conventional,1.00,3.00,69.00,71.00,-2103241.00,0.06,0.00,14.06,50.366,5.909
,Mixed / non conventional,2.00,4.00,3.00,5.00,4102.17,0.16,0.00,-405.35,1662.816,3.820
,Mixed / non conventional,2.00,4.00,5.00,7.00,2231.70,0.08,0.00,9.01,-723.696,3.820
,Mixed / non conventional,2.00,4.00,7.00,9.00,39823.62,0.11,0.00,-154.30,-1844.860,3.820
,Mixed / non conventional,2.00,4.00,9.00,11.00,-68050.78,0.12,0.00,-92.33,1050.834,3.820
,Mixed / non conventional,2.00,4.00,11.00,13.00,-113021.49,0.11,0.00,52.87,793.305,3.820
,Mixed / non conventional,2.00,4.00,13.00,15.00,21058.53,0.11,0.00,-4.73,-79.590,3.820
,Mixed / non conventional,2.00,4.00,15.00,17.00,556732.75,0.10,0.00,-106.66,-1262.500,3.820
,Mixed / non conventional,2.00,4.00,17.00,19.00,-397670.88,0.11,0.00,-21.30,583.513,3.820
,Mixed / non conventional,2.00,4.00,19.00,21.00,-533646.75,0.10,0.00,44.67,535.763,3.820
,Mixed / non conventional,2.00,4.00,21.00,23.00,-68234.20,0.08,0.00,96.69,48.932,3.820
,Mixed / non conventional,2.00,4.00,6.00,8.00,2802.46,0.14,0.00,-40.10,-153.833,2.069
,Mixed / non conventional,2.00,4.00,8.00,10.00,59265.14,0.16,0.00,-264.63,-813.297,2.069
,Mixed / non conventional,2.00,4.00,10.00,12.00,-142625.89,0.15,0.00,17.30,782.905,2.069
,Mixed / non conventional,2.00,4.00,12.00,14.00,-20996.71,0.15,0.00,-40.57,57.628,2.069
,Mixed / non conventional,2.00,4.00,14.00,16.00,31216.27,0.17,0.00,-80.38,-48.958,2.069
,Mixed / non conventional,2.00,4.00,16.00,18.00,550673.38,0.15,0.00,-14.16,-539.779,2.069
,Mixed / non conventional,2.00,4.00,18.00,20.00,-578800.31,0.15,0.00,162.61,378.235,2.069
,Mixed / non conventional,2.00,4.00,20.00,22.00,-301134.16,0.15,0.00,-12.73,137.749,2.069
,Mixed / non conventional,2.00,4.00,22.00,24.00,31767.34,0.05,0.00,-78.39,-30.198,5.913
,Mixed / non conventional,2.00,4.00,24.00,26.00,1560650.00,0.05,0.00,-9.19,-1112.666,5.913
,Mixed / non conventional,2.00,4.00,23.00,25.00,1673581.75,0.34,0.00,-56.21,-389.462,1.677
,Mixed / non conventional,2.00,4.00,25.00,27.00,-911819.31,0.34,0.00,73.83,161.265,1.677
,Mixed / non conventional,2.00,4.00,27.00,29.00,-1071069.63,0.33,0.00,-90.57,147.336,1.677
,Mixed / non conventional,2.00,4.00,29.00,31.00,-456275.16,0.34,0.00,86.05,49.779,1.677
,Mixed / non conventional,2.00,4.00,31.00,33.00,3214134.50,0.33,0.00,-154.36,-282.787,1.677
,Mixed / non conventional,2.00,4.00,33.00,35.00,-1419880.88,0.33,0.00,158.84,102.212,1.677
,Mixed / non conventional,2.00,4.00,35.00,37.00,-1583503.25,0.35,0.00,-91.22,94.447,1.677
,Mixed / non conventional,2.00,4.00,37.00,39.00,-1054505.75,0.33,0.00,58.19,52.697,1.677
,Mixed / non conventional,2.00,4.00,39.00,41.00,4595021.50,0.34,0.00,-97.59,-194.299,1.677
,Mixed / non conventional,2.00,4.00,41.00,43.00,-1662420.50,0.31,0.00,113.95,60.008,1.677
,Mixed / non conventional,2.00,4.00,26.00,28.00,-1093549.38,0.08,0.00,118.41,590.964,5.827
,Mixed / non conventional,2.00,4.00,28.00,30.00,-854991.88,0.08,0.00,-55.52,363.035,5.827
,Mixed / non conventional,2.00,4.00,30.00,32.00,-132387.59,0.08,0.00,39.62,44.970,5.827
,Mixed / non conventional,2.00,4.00,32.00,34.00,2947535.50,0.08,0.00,-93.21,-813.498,5.827
,Mixed / non conventional,2.00,4.00,34.00,36.00,-1573072.25,0.08,0.00,93.62,357.548,5.827
,Mixed / non conventional,2.00,4.00,36.00,38.00,-1369911.50,0.09,0.00,20.37,259.472,5.827
,Mixed / non conventional,2.00,4.00,38.00,40.00,-729131.31,0.08,0.00,1.47,116.297,5.827
,Mixed / non conventional,2.00,4.00,40.00,42.00,4602580.50,0.07,0.00,-107.41,-624.001,5.827
,Mixed / non conventional,2.00,4.00,42.00,44.00,-2005628.88,0.08,0.00,63.14,233.070,5.827
,Mixed / non conventional,2.00,4.00,44.00,46.00,-1887059.88,0.09,0.00,-83.98,189.389,5.827
,Mixed / non conventional,2.00,4.00,43.00,45.00,-2064414.50,0.28,0.00,26.99,132.966,3.478
,Mixed / non conventional,2.00,4.00,45.00,47.00,-1548976.13,0.28,0.00,1.10,86.463,3.478
,Mixed / non conventional,2.00,4.00,47.00,49.00,5723188.50,0.27,0.00,-109.18,-278.679,3.478
,Mixed / non conventional,2.00,4.00,49.00,51.00,-1843129.88,0.28,0.00,93.66,78.761,3.478
,Mixed / non conventional,2.00,4.00,51.00,53.00,-2476996.00,0.27,0.00,-113.81,93.394,3.478
,Mixed / non conventional,2.00,4.00,53.00,55.00,-2169008.00,0.27,0.00,106.26,72.521,3.478
,Mixed / non conventional,2.00,4.00,55.00,57.00,6841878.50,0.27,0.00,-77.65,-203.806,3.478
,Mixed / non conventional,2.00,4.00,57.00,59.00,-1868208.88,0.28,0.00,197.23,49.794,3.478
,Mixed / non conventional,2.00,4.00,59.00,61.00,-2810784.00,0.27,0.00,-124.47,67.295,3.478
,Mixed / non conventional,2.00,4.00,61.00,63.00,-2598110.25,0.27,0.00,46.02,56.085,3.478
,Mixed / non conventional,2.00,4.00,46.00,48.00,-1192712.38,0.14,0.00,7.61,76.322,4.272
,Mixed / non conventional,2.00,4.00,48.00,50.00,5982195.50,0.13,0.00,-4.97,-334.955,4.272
,Mixed / non conventional,2.00,4.00,50.00,52.00,-2343622.00,0.13,0.00,64.98,115.474,4.272
,Mixed / non conventional,2.00,4.00,52.00,54.00,-2325230.00,0.13,0.00,-8.18,101.354,4.272
,Mixed / non conventional,2.00,4.00,54.00,56.00,-1672370.00,0.14,0.00,52.22,64.793,4.272
,Mixed / non conventional,2.00,4.00,56.00,58.00,7194272.50,0.14,0.00,9.80,-248.879,4.272
,Mixed / non conventional,2.00,4.00,58.00,60.00,-2670690.00,0.13,0.00,64.40,82.827,4.272
,Mixed / non conventional,2.00,4.00,60.00,62.00,-2798358.00,0.11,0.00,13.74,78.114,4.272
,Mixed / non conventional,2.00,4.00,62.00,64.00,-1972534.38,0.12,0.00,-28.75,49.728,4.272
,Mixed / non conventional,2.00,4.00,64.00,66.00,8290073.50,0.14,0.00,30.55,-189.424,4.272
,Mixed / non conventional,2.00,4.00,63.00,65.00,7822607.50,0.04,0.00,118.38,-200.576,4.566
,Mixed / non conventional,2.00,4.00,65.00,67.00,-2137659.25,0.10,0.00,-39.01,49.745,4.566
,Mixed / non conventional,2.00,4.00,67.00,69.00,-3257135.50,0.00,0.00,-24.76,69.013,4.566
,Mixed / non conventional,2.00,4.00,69.00,71.00,-2853003.25,0.07,0.00,12.72,55.195,4.566
,Mixed / non conventional,2.00,4.00,71.00,1.00,5657.69,0.04,0.00,21.53,-2742.562,4.566
,Mixed / non conventional,2.00,4.00,1.00,3.00,4506.89,0.04,0.00,262.02,2183.293,4.566
,Mixed / non conventional,2.00,4.00,66.00,68.00,-2929970.50,0.19,0.00,-3.07,82.140,5.766
,Mixed / non conventional,2.00,4.00,68.00,70.00,-3263715.25,0.19,0.00,-43.25,83.421,5.766
,Mixed / non conventional,2.00,4.00,70.00,72.00,-2124094.50,0.18,0.00,166.94,49.641,5.766
,Mixed / non conventional,3.00,5.00,4.00,6.00,3171.72,0.15,0.00,-411.00,2232.488,6.634
,Mixed / non conventional,3.00,5.00,6.00,8.00,1977.62,0.03,0.00,-45.30,-1113.594,6.634
,Mixed / non conventional,3.00,5.00,8.00,10.00,33283.97,0.04,0.00,-262.73,-2677.454,6.634
,Mixed / non conventional,3.00,5.00,10.00,12.00,-56310.24,0.00,0.00,18.44,1509.916,6.634
,Mixed / non conventional,3.00,5.00,12.00,14.00,-99093.04,0.00,0.00,-43.23,1207.776,6.634
,Mixed / non conventional,3.00,5.00,14.00,16.00,25717.55,0.05,0.00,-80.18,-168.782,6.634
,Mixed / non conventional,3.00,5.00,16.00,18.00,483998.31,0.00,0.00,-12.01,-1905.868,6.634
,Mixed / non conventional,3.00,5.00,18.00,20.00,-342996.81,0.03,0.00,162.21,873.939,6.634
,Mixed / non conventional,3.00,5.00,20.00,22.00,-460445.22,0.03,0.00,-14.23,802.715,6.634
,Mixed / non conventional,3.00,5.00,22.00,24.00,-39803.09,0.08,0.00,-77.08,49.565,6.634
,Mixed / non conventional,3.00,5.00,7.00,9.00,15928.67,0.23,0.00,-170.91,-843.893,1.997
,Mixed / non conventional,3.00,5.00,9.00,11.00,-6026.38,0.17,0.00,-88.23,79.819,1.997
,Mixed / non conventional,3.00,5.00,11.00,13.00,-118051.84,0.22,0.00,62.26,625.433,1.997
,Mixed / non conventional,3.00,5.00,13.00,15.00,-18893.72,0.26,0.00,-4.12,50.049,1.997
,Mixed / non conventional,3.00,5.00,15.00,17.00,414771.50,0.23,0.00,-117.30,-627.839,1.997
,Mixed / non conventional,3.00,5.00,17.00,19.00,-138163.28,0.21,0.00,-18.54,130.711,1.997
,Mixed / non conventional,3.00,5.00,19.00,21.00,-508925.06,0.22,0.00,50.36,320.984,1.997
,Mixed / non conventional,3.00,5.00,21.00,23.00,-210058.70,0.24,0.00,98.09,92.740,1.997
,Mixed / non conventional,3.00,5.00,23.00,25.00,1407867.38,0.22,0.00,-61.67,-452.049,1.997
,Mixed / non conventional,3.00,5.00,25.00,27.00,-468721.19,0.22,0.00,75.25,112.875,1.997
,Mixed / non conventional,3.00,5.00,24.00,26.00,1488782.25,0.22,0.00,-6.59,-549.485,2.660
,Mixed / non conventional,3.00,5.00,26.00,28.00,-741713.13,0.23,0.00,112.06,208.053,2.660
,Mixed / non conventional,3.00,5.00,28.00,30.00,-1037729.13,0.23,0.00,-57.16,226.402,2.660
,Mixed / non conventional,3.00,5.00,30.00,32.00,-287834.13,0.24,0.00,39.05,49.804,2.660
,Mixed / non conventional,3.00,5.00,32.00,34.00,2882244.50,0.23,0.00,-86.11,-402.191,2.660
,Mixed / non conventional,3.00,5.00,34.00,36.00,-1173836.50,0.23,0.00,89.91,134.018,2.660
,Mixed / non conventional,3.00,5.00,36.00,38.00,-1524688.88,0.23,0.00,17.46,144.231,2.660
,Mixed / non conventional,3.00,5.00,38.00,40.00,-970601.19,0.24,0.00,1.48,76.928,2.660
,Mixed / non conventional,3.00,5.00,40.00,42.00,4550284.50,0.23,0.00,-102.15,-305.160,2.660
,Mixed / non conventional,3.00,5.00,42.00,44.00,-1616855.25,0.24,0.00,60.87,92.564,2.660
,Mixed / non conventional,3.00,5.00,27.00,29.00,-996721.13,0.15,0.00,-87.32,168.499,1.823
,Mixed / non conventional,3.00,5.00,29.00,31.00,-710042.63,0.12,0.00,85.23,94.313,1.823
,Mixed / non conventional,3.00,5.00,31.00,33.00,2866261.50,0.14,0.00,-157.03,-304.575,1.823
,Mixed / non conventional,3.00,5.00,33.00,35.00,-884692.13,0.12,0.00,159.50,76.382,1.823
,Mixed / non conventional,3.00,5.00,35.00,37.00,-1465016.75,0.15,0.00,-89.84,104.167,1.823
,Mixed / non conventional,3.00,5.00,37.00,39.00,-1343370.00,0.14,0.00,60.11,79.597,1.823
,Mixed / non conventional,3.00,5.00,39.00,41.00,4253820.00,0.16,0.00,-100.60,-212.249,1.823
,Mixed / non conventional,3.00,5.00,41.00,43.00,-1177442.63,0.11,0.00,114.56,49.937,1.823
,Mixed / non conventional,3.00,5.00,43.00,45.00,-1910464.88,0.13,0.00,26.46,69.451,1.823
,Mixed / non conventional,3.00,5.00,45.00,47.00,-1768967.25,0.15,0.00,0.82,55.538,1.823
,Mixed / non conventional,3.00,5.00,44.00,46.00,-1982627.63,0.27,0.00,-85.65,136.559,3.719
,Mixed / non conventional,3.00,5.00,46.00,48.00,-1460562.63,0.26,0.00,8.94,87.185,3.719
,Mixed / non conventional,3.00,5.00,48.00,50.00,5944301.50,0.27,0.00,-4.72,-309.529,3.719
,Mixed / non conventional,3.00,5.00,50.00,52.00,-1996633.50,0.27,0.00,64.46,91.241,3.719
,Mixed / non conventional,3.00,5.00,52.00,54.00,-2362253.75,0.26,0.00,-8.50,95.248,3.719
,Mixed / non conventional,3.00,5.00,54.00,56.00,-1920468.75,0.25,0.00,52.13,68.666,3.719
,Mixed / non conventional,3.00,5.00,56.00,58.00,7119514.00,0.26,0.00,7.72,-226.791,3.719
,Mixed / non conventional,3.00,5.00,58.00,60.00,-2362972.75,0.27,0.00,64.71,67.352,3.719
,Mixed / non conventional,3.00,5.00,60.00,62.00,-2806367.75,0.26,0.00,16.39,71.851,3.719
,Mixed / non conventional,3.00,5.00,62.00,64.00,-2171872.75,0.26,0.00,-32.47,50.137,3.719
,Mixed / non conventional,3.00,5.00,47.00,49.00,5371833.50,0.06,0.00,-111.01,-407.003,5.059
,Mixed / non conventional,3.00,5.00,49.00,51.00,-1438242.25,0.04,0.00,94.49,95.350,5.059
,Mixed / non conventional,3.00,5.00,51.00,53.00,-2326578.00,0.06,0.00,-113.67,135.731,5.059
,Mixed / non conventional,3.00,5.00,53.00,55.00,-2360119.75,0.06,0.00,105.99,121.807,5.059
,Mixed / non conventional,3.00,5.00,55.00,57.00,6528266.50,0.06,0.00,-77.44,-299.471,5.059
,Mixed / non conventional,3.00,5.00,57.00,59.00,-1567396.38,0.05,0.00,199.59,64.201,5.059
,Mixed / non conventional,3.00,5.00,59.00,61.00,-2639756.00,0.06,0.00,-126.68,96.934,5.059
,Mixed / non conventional,3.00,5.00,61.00,63.00,-2743696.50,0.06,0.00,44.04,90.683,5.059
,Mixed / non conventional,3.00,5.00,63.00,65.00,7479526.00,0.07,0.00,125.42,-223.261,5.059
,Mixed / non conventional,3.00,5.00,65.00,67.00,-1875039.75,0.06,0.00,-44.77,50.728,5.059
