,El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  ,Name
,Mixed / non conventional,72.00,65.00,71.00,1.00,-2561.43,1.57,0.00,-71.55,-69.772,0.205,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,2.00,-3168.94,1.27,0.00,-70.26,-88.124,0.209,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,3.00,-4581.14,1.12,0.00,-86.23,-125.546,0.206,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,4.00,-10082.12,1.43,0.00,-85.08,-279.512,0.209,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,5.00,-4939.71,0.97,0.00,-77.74,-134.661,0.205,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,6.00,-3488.65,1.39,0.00,-54.19,-96.165,0.207,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,7.00,-2744.25,1.41,0.00,-72.88,-75.266,0.206,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,8.00,-2463.09,0.84,0.00,-27.28,-66.307,0.203,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,9.00,-2148.22,1.19,0.00,-135.27,-58.231,0.204,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,10.00,-2551.47,0.88,0.00,-137.64,-69.111,0.204,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,11.00,-3115.79,1.32,0.00,-45.04,-84.404,0.204,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,12.00,-3603.76,1.51,0.00,49.66,-96.940,0.202,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,13.00,-3338.33,1.70,0.00,70.37,-88.060,0.198,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,14.00,-2884.80,0.95,0.00,-60.81,-76.360,0.199,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,15.00,-2475.73,1.80,0.00,124.76,-66.580,0.202,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,16.00,-2267.67,1.55,0.00,-84.69,-60.590,0.201,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,17.00,-1612.85,0.45,0.00,-167.56,-45.408,0.212,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,18.00,-1921.12,0.89,0.00,-199.98,-51.230,0.200,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,19.00,-2224.16,1.83,0.00,-104.69,-59.598,0.201,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,20.00,-2477.31,1.88,0.00,54.32,-66.208,0.201,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,21.00,-2399.38,1.77,0.00,-48.99,-65.960,0.207,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,22.00,-2330.97,0.82,0.00,90.84,-62.730,0.202,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,23.00,-2078.65,1.93,0.00,226.50,-56.349,0.204,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,24.00,-1987.74,0.76,0.00,4.88,-53.277,0.201,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,25.00,-1021.04,0.78,0.00,-147.98,-43.994,0.323,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,26.00,-1249.20,1.09,0.00,-182.76,-44.575,0.268,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,27.00,-1498.37,0.98,0.00,165.17,-45.415,0.227,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,28.00,-1688.29,1.66,0.00,114.22,-46.515,0.207,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,29.00,-1791.45,1.77,0.00,35.82,-47.860,0.200,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,30.00,-1737.53,1.91,0.00,24.69,-47.294,0.204,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,31.00,-1658.19,0.15,0.00,182.84,-46.559,0.210,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,32.00,-1617.29,1.35,0.00,166.38,-46.121,0.214,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,33.00,-294.14,0.10,0.00,-61.21,-46.639,1.188,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,34.00,-524.11,0.12,0.00,-84.72,-45.249,0.646,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,35.00,-783.79,0.72,0.00,235.42,-44.455,0.424,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,36.00,-1038.43,0.81,0.00,15.10,-44.432,0.320,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,37.00,-1193.29,0.25,0.00,-45.86,-44.525,0.279,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,38.00,-1226.66,1.09,0.00,-30.50,-44.448,0.271,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,39.00,-1257.17,0.71,0.00,222.06,-44.518,0.264,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,40.00,-1281.47,0.04,0.00,237.69,-44.563,0.259,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,41.00,578.92,0.13,0.00,-111.46,44.623,0.575,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,42.00,311.99,0.17,0.00,-92.37,46.496,1.110,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,43.00,-104.22,0.30,0.00,308.89,-49.402,3.528,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,44.00,-437.26,0.56,0.00,-22.36,-46.734,0.794,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,45.00,-668.26,0.39,0.00,18.00,-45.272,0.503,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,46.00,-826.60,0.60,0.00,-94.86,-44.706,0.401,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,47.00,-875.19,0.33,0.00,177.95,-44.401,0.376,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,48.00,-918.35,1.21,0.00,-4.20,-44.210,0.356,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,49.00,1396.70,0.23,0.00,-113.97,45.148,0.238,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,50.00,1118.73,1.41,0.00,-126.57,44.340,0.291,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,51.00,599.68,0.51,0.00,114.84,44.455,0.543,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,52.00,156.12,0.03,0.00,28.82,48.489,2.268,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,53.00,-203.02,0.18,0.00,-20.24,-48.279,1.729,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,54.00,-438.99,0.37,0.00,-41.30,-46.245,0.762,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,55.00,-583.53,0.31,0.00,265.85,-45.323,0.558,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,56.00,-612.50,0.10,0.00,142.67,-44.868,0.522,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,57.00,2487.52,1.33,0.00,-61.03,73.289,0.208,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,58.00,1890.37,1.92,0.00,-95.73,56.196,0.206,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,59.00,1175.39,0.22,0.00,301.24,44.575,0.258,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,60.00,579.55,0.28,0.00,10.97,44.413,0.507,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,61.00,196.53,0.22,0.00,93.06,47.427,1.528,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,62.00,-89.88,0.21,0.00,194.71,-49.367,3.235,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,63.00,-200.33,0.35,0.00,290.50,-47.742,1.225,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,64.00,-189.55,0.10,0.00,274.03,-46.680,0.906,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,66.00,1459.20,1.54,0.00,-96.57,83.622,0.216,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,67.00,1303.00,1.68,0.00,139.19,49.316,0.210,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,68.00,955.99,0.90,0.00,20.48,44.366,0.318,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,69.00,655.32,0.15,0.00,84.98,44.645,0.571,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,70.00,303.80,0.04,0.00,224.16,48.022,1.862,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,63.00,-199.98,0.10,0.00,289.10,-47.182,1.213,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,70.00,303.94,0.21,0.00,223.57,48.381,1.875,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,62.00,-89.75,0.14,0.00,191.42,-49.481,3.248,MA72B65Rec
,Mixed / non conventional,72.00,65.00,2.00,1.00,-12449370.00,0.30,0.00,-2.28,47.116,0.508,MA72B65Rec
,Mixed / non conventional,72.00,65.00,4.00,3.00,-94170600.00,0.40,0.00,-18.04,193.846,0.252,MA72B65Rec
,Mixed / non conventional,72.00,65.00,3.00,2.00,-24114500.00,0.36,0.00,12.98,47.405,0.252,MA72B65Rec
,Mixed / non conventional,72.00,65.00,6.00,5.00,21215826.00,0.49,0.00,-25.49,-45.755,0.241,MA72B65Rec
,Mixed / non conventional,72.00,65.00,8.00,7.00,4764704.00,0.15,0.00,-49.48,-46.245,0.982,MA72B65Rec
,Mixed / non conventional,72.00,65.00,7.00,6.00,11755880.00,0.15,0.00,17.88,-108.643,0.982,MA72B65Rec
,Mixed / non conventional,72.00,65.00,10.00,9.00,-5542049.50,0.12,0.00,2.84,51.726,0.854,MA72B65Rec
