,El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  ,Name,Date
,Mixed / non conventional,72.00,1.00,2.00,3.00,8241.23,0.24,0.00,-9.01,-623.044,0.950,MR72_mvB,7/7/2022 3:28:09 PM
,Mixed / non conventional,72.00,1.00,3.00,4.00,16815.85,0.23,0.00,50.31,-424.131,0.950,MR72_mvB,7/7/2022 3:28:09 PM
,Mixed / non conventional,72.00,1.00,4.00,5.00,9122.59,0.40,0.00,-42.06,-115.201,0.950,MR72_mvB,7/7/2022 3:28:09 PM
,Mixed / non conventional,72.00,1.00,5.00,6.00,-22329.83,0.24,0.00,33.31,169.509,0.950,MR72_mvB,7/7/2022 3:28:09 PM
,Mixed / non conventional,72.00,1.00,6.00,7.00,-19226.02,0.26,0.00,-32.61,97.537,0.950,MR72_mvB,7/7/2022 3:28:09 PM
,Mixed / non conventional,72.00,1.00,7.00,8.00,-10682.17,0.23,0.00,20.72,38.828,0.950,MR72_mvB,7/7/2022 3:28:09 PM
,Mixed / non conventional,72.00,1.00,8.00,16.00,-1804.29,0.28,0.00,-60.55,21.386,0.950,MR72_mvB,7/7/2022 3:28:09 PM
,Mixed / non conventional,72.00,1.00,16.00,24.00,-8496.13,0.25,0.00,69.89,33.598,0.950,MR72_mvB,7/7/2022 3:28:09 PM
,Mixed / non conventional,72.00,1.00,24.00,32.00,-15974.59,0.26,0.00,80.20,37.150,0.950,MR72_mvB,7/7/2022 3:28:09 PM
,Mixed / non conventional,72.00,1.00,32.00,40.00,-15199.57,0.25,0.00,54.65,29.559,0.950,MR72_mvB,7/7/2022 3:28:09 PM
,Mixed / non conventional,72.00,1.00,9.00,10.00,148466.59,0.15,0.00,47.09,-311.893,0.933,MR72_mvB,7/7/2022 3:28:12 PM
,Mixed / non conventional,72.00,1.00,10.00,11.00,183040.38,0.14,0.00,60.29,-309.240,0.933,MR72_mvB,7/7/2022 3:28:12 PM
,Mixed / non conventional,72.00,1.00,11.00,12.00,146850.33,0.11,0.00,92.84,-204.230,0.933,MR72_mvB,7/7/2022 3:28:12 PM
,Mixed / non conventional,72.00,1.00,12.00,13.00,69940.55,0.06,0.00,-38.19,-81.627,0.933,MR72_mvB,7/7/2022 3:28:12 PM
,Mixed / non conventional,72.00,1.00,13.00,14.00,-17261.94,0.04,0.00,-64.75,17.183,0.933,MR72_mvB,7/7/2022 3:28:12 PM
,Mixed / non conventional,72.00,1.00,14.00,15.00,-35454.70,0.27,0.00,137.18,30.525,0.933,MR72_mvB,7/7/2022 3:28:12 PM
,Mixed / non conventional,72.00,1.00,15.00,16.00,-28689.79,0.24,0.00,-171.25,21.625,0.933,MR72_mvB,7/7/2022 3:28:12 PM
,Mixed / non conventional,72.00,1.00,16.00,23.00,-8377.17,0.21,0.00,221.05,29.565,0.933,MR72_mvB,7/7/2022 3:28:12 PM
,Mixed / non conventional,72.00,1.00,23.00,24.00,-9448.47,0.65,0.00,-151.23,3.370,0.933,MR72_mvB,7/7/2022 3:28:12 PM
,Mixed / non conventional,72.00,1.00,24.00,31.00,-18772.06,0.21,0.00,170.12,38.200,0.933,MR72_mvB,7/7/2022 3:28:12 PM
,Mixed / non conventional,72.00,1.00,17.00,18.00,247493.25,0.25,0.00,-58.70,-144.005,0.911,MR72_mvB,7/7/2022 3:28:14 PM
,Mixed / non conventional,72.00,1.00,18.00,19.00,296532.72,0.24,0.00,177.13,-155.523,0.911,MR72_mvB,7/7/2022 3:28:14 PM
,Mixed / non conventional,72.00,1.00,19.00,20.00,252867.67,0.25,0.00,76.19,-120.503,0.911,MR72_mvB,7/7/2022 3:28:14 PM
,Mixed / non conventional,72.00,1.00,20.00,21.00,151166.39,0.24,0.00,-115.08,-65.941,0.911,MR72_mvB,7/7/2022 3:28:14 PM
,Mixed / non conventional,72.00,1.00,21.00,22.00,57533.77,0.29,0.00,156.09,-23.132,0.911,MR72_mvB,7/7/2022 3:28:14 PM
,Mixed / non conventional,72.00,1.00,22.00,23.00,-20880.89,0.31,0.00,32.23,7.789,0.911,MR72_mvB,7/7/2022 3:28:14 PM
,Mixed / non conventional,72.00,1.00,23.00,31.00,-17520.00,0.24,0.00,19.06,40.905,0.911,MR72_mvB,7/7/2022 3:28:14 PM
,Mixed / non conventional,72.00,1.00,31.00,32.00,7027.80,0.04,0.00,-89.85,-1.717,0.911,MR72_mvB,7/7/2022 3:28:14 PM
,Mixed / non conventional,72.00,1.00,32.00,39.00,-23058.54,0.28,0.00,11.94,37.595,0.911,MR72_mvB,7/7/2022 3:28:14 PM
,Mixed / non conventional,72.00,1.00,39.00,40.00,38763.15,0.17,0.00,42.09,-9.114,0.911,MR72_mvB,7/7/2022 3:28:14 PM
,Mixed / non conventional,72.00,1.00,25.00,26.00,274505.97,0.41,0.00,102.99,-84.251,0.906,MR72_mvB,7/7/2022 3:28:16 PM
,Mixed / non conventional,72.00,1.00,26.00,27.00,285183.22,0.41,0.00,133.61,-83.103,0.906,MR72_mvB,7/7/2022 3:28:16 PM
,Mixed / non conventional,72.00,1.00,27.00,28.00,234406.30,0.41,0.00,-53.33,-65.198,0.906,MR72_mvB,7/7/2022 3:28:17 PM
,Mixed / non conventional,72.00,1.00,28.00,29.00,178836.48,0.41,0.00,13.72,-47.724,0.906,MR72_mvB,7/7/2022 3:28:17 PM
,Mixed / non conventional,72.00,1.00,29.00,30.00,96007.36,0.42,0.00,-61.99,-24.706,0.906,MR72_mvB,7/7/2022 3:28:17 PM
,Mixed / non conventional,72.00,1.00,30.00,31.00,42209.39,0.42,0.00,106.84,-10.527,0.906,MR72_mvB,7/7/2022 3:28:17 PM
,Mixed / non conventional,72.00,1.00,31.00,39.00,-18994.52,0.41,0.00,-78.17,35.403,0.906,MR72_mvB,7/7/2022 3:28:17 PM
,Mixed / non conventional,72.00,1.00,39.00,47.00,-11548.18,0.43,0.00,1.59,23.760,0.906,MR72_mvB,7/7/2022 3:28:17 PM
,Mixed / non conventional,72.00,1.00,47.00,48.00,27670.33,0.47,0.00,-124.48,-8.493,0.906,MR72_mvB,7/7/2022 3:28:17 PM
,Mixed / non conventional,72.00,1.00,48.00,56.00,-4825.93,0.41,0.00,135.51,16.646,0.906,MR72_mvB,7/7/2022 3:28:17 PM
,Mixed / non conventional,72.00,1.00,33.00,34.00,224679.84,0.62,0.00,50.78,-50.944,0.878,MR72_mvB,7/7/2022 3:28:19 PM
,Mixed / non conventional,72.00,1.00,34.00,35.00,195310.39,0.63,0.00,193.61,-43.760,0.878,MR72_mvB,7/7/2022 3:28:19 PM
,Mixed / non conventional,72.00,1.00,35.00,36.00,174683.73,0.57,0.00,-101.80,-38.859,0.878,MR72_mvB,7/7/2022 3:28:19 PM
,Mixed / non conventional,72.00,1.00,36.00,37.00,137817.78,0.61,0.00,-104.11,-30.585,0.878,MR72_mvB,7/7/2022 3:28:19 PM
,Mixed / non conventional,72.00,1.00,37.00,38.00,84761.73,0.61,0.00,51.58,-18.856,0.878,MR72_mvB,7/7/2022 3:28:19 PM
,Mixed / non conventional,72.00,1.00,38.00,39.00,62399.37,0.50,0.00,29.38,-13.981,0.878,MR72_mvB,7/7/2022 3:28:19 PM
,Mixed / non conventional,72.00,1.00,39.00,48.00,-6575.49,0.67,0.00,-122.44,15.080,0.878,MR72_mvB,7/7/2022 3:28:19 PM
,Mixed / non conventional,72.00,1.00,48.00,55.00,-7818.70,0.47,0.00,217.25,21.770,0.878,MR72_mvB,7/7/2022 3:28:19 PM
,Mixed / non conventional,72.00,1.00,55.00,56.00,9599.38,0.63,0.00,-80.99,-5.386,0.878,MR72_mvB,7/7/2022 3:28:19 PM
,Mixed / non conventional,72.00,1.00,56.00,64.00,-1280.58,0.35,0.00,34.31,11.604,0.878,MR72_mvB,7/7/2022 3:28:19 PM
,Mixed / non conventional,72.00,1.00,41.00,42.00,113847.27,0.70,0.00,-52.84,-26.879,0.880,MR72_mvB,7/7/2022 3:28:21 PM
,Mixed / non conventional,72.00,1.00,42.00,43.00,105710.39,0.68,0.00,1.90,-25.626,0.880,MR72_mvB,7/7/2022 3:28:21 PM
,Mixed / non conventional,72.00,1.00,43.00,44.00,96018.13,0.69,0.00,-73.30,-24.018,0.880,MR72_mvB,7/7/2022 3:28:21 PM
,Mixed / non conventional,72.00,1.00,44.00,45.00,80761.97,0.70,0.00,-42.52,-20.949,0.880,MR72_mvB,7/7/2022 3:28:21 PM
,Mixed / non conventional,72.00,1.00,45.00,46.00,61052.27,0.70,0.00,-56.89,-16.506,0.880,MR72_mvB,7/7/2022 3:28:21 PM
,Mixed / non conventional,72.00,1.00,46.00,47.00,36053.38,0.64,0.00,117.60,-10.212,0.880,MR72_mvB,7/7/2022 3:28:21 PM
,Mixed / non conventional,72.00,1.00,47.00,55.00,-4284.09,0.67,0.00,92.21,13.232,0.880,MR72_mvB,7/7/2022 3:28:22 PM
,Mixed / non conventional,72.00,1.00,55.00,63.00,-1492.02,0.67,0.00,38.08,11.430,0.880,MR72_mvB,7/7/2022 3:28:22 PM
,Mixed / non conventional,72.00,1.00,63.00,64.00,2680.79,0.65,0.00,-86.06,-5.313,0.880,MR72_mvB,7/7/2022 3:28:22 PM
,Mixed / non conventional,72.00,1.00,64.00,55.00,-658.08,1.27,0.00,49.44,-6.333,0.879,MR72_mvB,7/7/2022 3:28:24 PM
,Mixed / non conventional,72.00,1.00,49.00,50.00,38333.25,0.19,0.00,117.53,-12.648,0.863,MR72_mvB,7/7/2022 3:28:26 PM
,Mixed / non conventional,72.00,1.00,50.00,51.00,41726.05,0.28,0.00,145.26,-14.749,0.863,MR72_mvB,7/7/2022 3:28:26 PM
,Mixed / non conventional,72.00,1.00,51.00,52.00,41565.47,0.08,0.00,-89.92,-15.837,0.863,MR72_mvB,7/7/2022 3:28:26 PM
,Mixed / non conventional,72.00,1.00,52.00,53.00,36498.64,0.18,0.00,-104.19,-15.088,0.863,MR72_mvB,7/7/2022 3:28:26 PM
,Mixed / non conventional,72.00,1.00,53.00,54.00,26157.75,0.15,0.00,90.36,-11.813,0.863,MR72_mvB,7/7/2022 3:28:26 PM
,Mixed / non conventional,72.00,1.00,54.00,55.00,21180.42,0.00,0.00,111.89,-10.527,0.863,MR72_mvB,7/7/2022 3:28:26 PM
