,El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  
,Mixed / non conventional,72.00,65.00,71.00,1.00,-3158.82,0.09,0.00,280.30,-2576.836,6.139
,Mixed / non conventional,72.00,65.00,71.00,2.00,-3719.60,0.15,0.00,274.74,-2977.422,6.024
,Mixed / non conventional,72.00,65.00,71.00,3.00,-4871.89,0.17,0.00,285.96,-3869.509,5.977
,Mixed / non conventional,72.00,65.00,71.00,4.00,-7714.97,0.16,0.00,324.24,-6101.680,5.951
,Mixed / non conventional,72.00,65.00,71.00,5.00,-7264.60,0.20,0.00,282.81,-5746.395,5.952
,Mixed / non conventional,72.00,65.00,71.00,6.00,-4672.69,0.12,0.00,305.17,-3695.791,5.951
,Mixed / non conventional,72.00,65.00,71.00,7.00,-3676.18,0.04,0.00,257.71,-2910.635,5.956
,Mixed / non conventional,72.00,65.00,71.00,8.00,-3251.39,0.06,0.00,266.30,-2576.406,5.961
,Mixed / non conventional,72.00,65.00,71.00,9.00,-2834.16,0.09,0.00,193.30,-2245.387,5.959
,Mixed / non conventional,72.00,65.00,71.00,10.00,-3230.75,0.12,0.00,248.97,-2563.315,5.967
,Mixed / non conventional,72.00,65.00,71.00,11.00,-3805.63,0.09,0.00,332.74,-3025.463,5.979
,Mixed / non conventional,72.00,65.00,71.00,12.00,-4407.37,0.07,0.00,377.92,-3501.696,5.975
,Mixed / non conventional,72.00,65.00,71.00,13.00,-4229.79,0.20,0.00,410.13,-3367.216,5.986
,Mixed / non conventional,72.00,65.00,71.00,14.00,-3740.73,0.17,0.00,255.73,-2986.837,6.003
,Mixed / non conventional,72.00,65.00,71.00,15.00,-3301.26,0.11,0.00,447.35,-2640.347,6.013
,Mixed / non conventional,72.00,65.00,71.00,16.00,-3035.45,0.19,0.00,241.35,-2427.498,6.011
,Mixed / non conventional,72.00,65.00,71.00,17.00,-2337.63,0.18,0.00,187.00,-1871.797,6.018
,Mixed / non conventional,72.00,65.00,71.00,18.00,-2670.39,0.32,0.00,178.92,-2141.034,6.025
,Mixed / non conventional,72.00,65.00,71.00,19.00,-3000.51,0.13,0.00,277.86,-2405.688,6.024
,Mixed / non conventional,72.00,65.00,71.00,20.00,-3286.93,0.20,0.00,391.55,-2639.144,6.032
,Mixed / non conventional,72.00,65.00,71.00,21.00,-3285.22,0.14,0.00,255.32,-2640.061,6.037
,Mixed / non conventional,72.00,65.00,71.00,22.00,-3105.75,0.17,0.00,369.18,-2499.030,6.043
,Mixed / non conventional,72.00,65.00,71.00,23.00,-2804.45,0.03,0.00,472.37,-2259.052,6.049
,Mixed / non conventional,72.00,65.00,71.00,24.00,-2686.98,0.15,0.00,288.95,-2165.623,6.051
,Mixed / non conventional,72.00,65.00,71.00,25.00,-1694.89,0.12,0.00,231.35,-1365.799,6.049
,Mixed / non conventional,72.00,65.00,71.00,26.00,-1984.55,0.16,0.00,380.78,-1599.237,6.048
,Mixed / non conventional,72.00,65.00,71.00,27.00,-2232.45,0.03,0.00,473.08,-1803.234,6.060
,Mixed / non conventional,72.00,65.00,71.00,28.00,-2453.21,0.16,0.00,462.60,-1984.572,6.068
,Mixed / non conventional,72.00,65.00,71.00,29.00,-2535.92,0.17,0.00,344.28,-2052.514,6.070
,Mixed / non conventional,72.00,65.00,71.00,30.00,-2480.44,0.10,0.00,373.29,-2007.347,6.067
,Mixed / non conventional,72.00,65.00,71.00,31.00,-2387.93,0.08,0.00,459.42,-1935.967,6.076
,Mixed / non conventional,72.00,65.00,71.00,32.00,-2317.40,0.08,0.00,425.13,-1878.319,6.073
,Mixed / non conventional,72.00,65.00,71.00,33.00,-674.55,0.10,0.00,175.09,-547.928,6.084
,Mixed / non conventional,72.00,65.00,71.00,34.00,-971.14,0.07,0.00,214.99,-789.415,6.086
,Mixed / non conventional,72.00,65.00,71.00,35.00,-1266.60,0.09,0.00,547.78,-1028.468,6.076
,Mixed / non conventional,72.00,65.00,71.00,36.00,-1581.87,0.10,0.00,397.74,-1286.781,6.084
,Mixed / non conventional,72.00,65.00,71.00,37.00,-1762.38,0.17,0.00,278.62,-1435.327,6.088
,Mixed / non conventional,72.00,65.00,71.00,38.00,-1866.95,0.16,0.00,309.31,-1521.832,6.090
