,El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  
,Mixed / non conventional,72.00,65.00,71.00,58.00,2065.84,0.09,0.00,724.47,2413.470,8.113
,Mixed / non conventional,72.00,65.00,71.00,59.00,1231.22,0.13,0.00,943.25,1466.447,8.107
,Mixed / non conventional,72.00,65.00,71.00,60.00,560.97,0.06,0.00,688.30,687.354,8.104
,Mixed / non conventional,72.00,65.00,71.00,61.00,167.52,0.16,0.00,950.57,214.282,8.099
,Mixed / non conventional,72.00,65.00,71.00,62.00,-123.02,0.19,0.00,936.05,-169.363,8.109
,Mixed / non conventional,72.00,65.00,71.00,63.00,-254.30,0.18,0.00,988.38,-400.786,8.102
,Mixed / non conventional,72.00,65.00,71.00,64.00,-261.69,0.08,0.00,967.17,-576.270,8.099
,Mixed / non conventional,72.00,65.00,71.00,66.00,1756.34,0.07,0.00,765.19,3766.865,8.085
,Mixed / non conventional,72.00,65.00,71.00,67.00,1566.34,0.15,0.00,916.25,2285.082,8.088
,Mixed / non conventional,72.00,65.00,71.00,68.00,1109.90,0.09,0.00,917.15,1308.495,8.081
,Mixed / non conventional,72.00,65.00,71.00,69.00,735.24,0.06,0.00,903.83,708.811,8.076
,Mixed / non conventional,72.00,65.00,71.00,70.00,371.30,0.11,0.00,993.63,254.732,8.082
,Mixed / non conventional,72.00,65.00,71.00,63.00,-254.29,0.15,0.00,985.14,-399.420,8.075
,Mixed / non conventional,72.00,65.00,71.00,70.00,371.44,0.07,0.00,992.67,254.302,8.066
,Mixed / non conventional,72.00,65.00,71.00,62.00,-123.26,0.05,0.00,929.88,-168.666,8.061
,Mixed / non conventional,72.00,65.00,2.00,1.00,-7341423.00,0.19,0.00,-0.03,440.615,8.056
,Mixed / non conventional,72.00,65.00,4.00,3.00,-31697878.00,0.00,0.00,-82.28,2081.524,8.046
,Mixed / non conventional,72.00,65.00,3.00,2.00,-14097693.00,0.14,0.00,-20.91,884.101,8.046
,Mixed / non conventional,72.00,65.00,6.00,5.00,23309488.00,0.16,0.00,-20.11,-1682.983,8.052
,Mixed / non conventional,72.00,65.00,8.00,7.00,4745267.00,0.08,0.00,-4.96,-377.514,8.050
,Mixed / non conventional,72.00,65.00,7.00,6.00,11407868.00,0.11,0.00,60.71,-864.169,8.050
,Mixed / non conventional,72.00,65.00,10.00,9.00,-3666332.00,0.19,0.00,-61.08,322.139,8.041
,Mixed / non conventional,72.00,65.00,9.00,1.00,468993.06,0.19,0.00,-14.06,-266.260,8.041
,Mixed / non conventional,72.00,65.00,14.00,13.00,3845346.50,0.12,0.00,201.15,-417.898,8.048
,Mixed / non conventional,72.00,65.00,13.00,12.00,413725.97,0.16,0.00,-13.00,-42.584,8.048
,Mixed / non conventional,72.00,65.00,12.00,11.00,-6869586.00,0.16,0.00,-100.70,670.090,8.045
,Mixed / non conventional,72.00,65.00,11.00,10.00,-5259889.00,0.12,0.00,-114.91,486.879,8.045
,Mixed / non conventional,72.00,65.00,10.00,2.00,644793.81,0.21,0.00,-74.62,-383.970,8.038
,Mixed / non conventional,72.00,65.00,16.00,8.00,243679.58,0.20,0.00,-35.71,-197.180,8.043
,Mixed / non conventional,72.00,65.00,18.00,17.00,-1758423.25,0.15,0.00,26.52,239.434,8.029
,Mixed / non conventional,72.00,65.00,17.00,9.00,485258.91,0.15,0.00,12.33,-413.829,8.029
,Mixed / non conventional,72.00,65.00,20.00,19.00,-2178350.50,0.21,0.00,-113.49,334.582,8.026
,Mixed / non conventional,72.00,65.00,19.00,18.00,-1928570.63,0.21,0.00,-148.87,278.684,8.026
,Mixed / non conventional,72.00,65.00,18.00,10.00,550863.50,0.12,0.00,99.86,-496.305,8.026
,Mixed / non conventional,72.00,65.00,10.00,1.00,-85284.07,0.09,0.00,-73.69,55.811,8.026
,Mixed / non conventional,72.00,65.00,22.00,21.00,566657.31,0.22,0.00,-141.79,-98.700,8.024
,Mixed / non conventional,72.00,65.00,21.00,20.00,-649357.50,0.21,0.00,112.23,106.131,8.024
,Mixed / non conventional,72.00,65.00,20.00,12.00,1029381.25,0.20,0.00,53.74,-1038.532,8.022
,Mixed / non conventional,72.00,65.00,12.00,4.00,3336884.25,0.19,0.00,-185.49,-2188.563,8.022
,Mixed / non conventional,72.00,65.00,24.00,16.00,238402.55,0.16,0.00,-103.04,-305.829,8.013
,Mixed / non conventional,72.00,65.00,16.00,15.00,1937172.38,0.19,0.00,298.53,-234.400,8.013
,Mixed / non conventional,72.00,65.00,26.00,25.00,-799726.69,0.09,0.00,-196.60,182.503,8.033
