,El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  
,Mixed / non conventional,72.00,65.00,71.00,59.00,2034.64,0.67,0.00,242.51,45.124,0.151
,Mixed / non conventional,72.00,65.00,71.00,60.00,1007.17,0.55,0.00,-66.80,47.623,0.313
,Mixed / non conventional,72.00,65.00,71.00,61.00,422.36,0.90,0.00,-41.75,49.830,0.747
,Mixed / non conventional,72.00,65.00,71.00,62.00,0.17,25.80,0.00,106.08,0.035,1.215
,Mixed / non conventional,72.00,65.00,71.00,63.00,-209.65,0.21,0.00,178.69,-49.289,1.209
,Mixed / non conventional,72.00,65.00,71.00,64.00,-203.34,0.06,0.00,174.94,-50.360,0.911
,Mixed / non conventional,72.00,65.00,71.00,66.00,2949.08,3.69,0.00,-131.32,40.925,0.052
,Mixed / non conventional,72.00,65.00,71.00,67.00,2419.99,4.57,0.00,153.83,43.834,0.100
,Mixed / non conventional,72.00,65.00,71.00,68.00,1640.22,0.36,0.00,47.29,46.256,0.193
,Mixed / non conventional,72.00,65.00,71.00,69.00,1059.69,0.57,0.00,-17.39,48.348,0.382
,Mixed / non conventional,72.00,65.00,71.00,70.00,546.29,0.33,0.00,146.68,50.682,1.093
,Mixed / non conventional,72.00,65.00,71.00,63.00,-208.77,0.12,0.00,178.37,-49.502,1.219
,Mixed / non conventional,72.00,65.00,71.00,70.00,545.28,0.38,0.00,146.62,50.519,1.091
,Mixed / non conventional,72.00,65.00,71.00,62.00,-1.33,1.68,0.00,104.94,-0.273,1.214
,Mixed / non conventional,72.00,65.00,2.00,1.00,-9448623.00,0.82,0.00,10.72,49.944,0.710
,Mixed / non conventional,72.00,65.00,4.00,3.00,-32107680.00,0.44,0.00,-4.81,95.431,0.364
,Mixed / non conventional,72.00,65.00,3.00,2.00,-17089890.00,0.42,0.00,-18.64,48.509,0.364
,Mixed / non conventional,72.00,65.00,6.00,5.00,26175442.00,0.54,0.00,-63.29,-46.647,0.199
,Mixed / non conventional,72.00,65.00,8.00,7.00,6550443.00,0.70,0.00,-22.35,-50.004,0.772
,Mixed / non conventional,72.00,65.00,7.00,6.00,12776960.00,0.68,0.00,30.51,-92.872,0.772
,Mixed / non conventional,72.00,65.00,10.00,9.00,-4769772.00,0.24,0.00,-67.14,62.978,1.208
,Mixed / non conventional,72.00,65.00,9.00,1.00,538967.63,0.25,0.00,114.03,-45.982,1.208
,Mixed / non conventional,72.00,65.00,14.00,13.00,4772655.50,0.13,0.00,173.70,-77.949,1.209
,Mixed / non conventional,72.00,65.00,13.00,12.00,289568.47,0.31,0.00,-38.90,-4.479,1.209
,Mixed / non conventional,72.00,65.00,12.00,11.00,-8930397.00,0.39,0.00,-5.56,65.286,0.603
,Mixed / non conventional,72.00,65.00,11.00,10.00,-7171590.00,0.39,0.00,-103.59,49.752,0.603
,Mixed / non conventional,72.00,65.00,10.00,2.00,759592.69,0.16,0.00,36.49,-50.332,0.894
,Mixed / non conventional,72.00,65.00,16.00,8.00,300171.22,0.29,0.00,51.84,-36.175,1.198
