,El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  ,Name,Date
,Mixed / non conventional,72.00,65.00,71.00,1.00,-3105.55,1.75,0.00,-282.04,-52.505,0.127,MA72B65Rec,7/5/2022 6:11:01 PM
,Mixed / non conventional,72.00,65.00,71.00,2.00,-3660.28,4.95,0.00,-285.10,-53.605,0.110,MA72B65Rec,7/5/2022 6:11:03 PM
,Mixed / non conventional,72.00,65.00,71.00,3.00,-4393.70,2.49,0.00,-298.20,-55.217,0.095,MA72B65Rec,7/5/2022 6:11:05 PM
,Mixed / non conventional,72.00,65.00,71.00,4.00,-5846.29,1.58,0.00,-225.28,-58.695,0.076,MA72B65Rec,7/5/2022 6:11:07 PM
,Mixed / non conventional,72.00,65.00,71.00,5.00,-5680.78,7.49,0.00,-279.77,-58.252,0.077,MA72B65Rec,7/5/2022 6:11:10 PM
,Mixed / non conventional,72.00,65.00,71.00,6.00,-4549.23,1.68,0.00,-252.87,-55.573,0.092,MA72B65Rec,7/5/2022 6:11:12 PM
,Mixed / non conventional,72.00,65.00,71.00,7.00,-3934.09,1.91,0.00,-286.26,-54.066,0.103,MA72B65Rec,7/5/2022 6:11:14 PM
,Mixed / non conventional,72.00,65.00,71.00,8.00,-3506.29,0.47,0.00,-253.20,-53.516,0.115,MA72B65Rec,7/5/2022 6:11:16 PM
,Mixed / non conventional,72.00,65.00,71.00,9.00,-2770.84,1.25,0.00,-412.17,-52.429,0.142,MA72B65Rec,7/5/2022 6:11:18 PM
,Mixed / non conventional,72.00,65.00,71.00,10.00,-3258.54,3.42,0.00,-409.21,-52.963,0.122,MA72B65Rec,7/5/2022 6:11:20 PM
,Mixed / non conventional,72.00,65.00,71.00,11.00,-3680.96,1.05,0.00,-272.76,-53.780,0.110,MA72B65Rec,7/5/2022 6:11:23 PM
,Mixed / non conventional,72.00,65.00,71.00,12.00,-4341.58,2.02,0.00,-222.54,-54.727,0.095,MA72B65Rec,7/5/2022 6:11:25 PM
,Mixed / non conventional,72.00,65.00,71.00,13.00,-4186.60,1.93,0.00,-234.17,-54.724,0.098,MA72B65Rec,7/5/2022 6:11:27 PM
,Mixed / non conventional,72.00,65.00,71.00,14.00,-3916.49,0.54,0.00,-376.74,-54.117,0.104,MA72B65Rec,7/5/2022 6:11:29 PM
,Mixed / non conventional,72.00,65.00,71.00,15.00,-3540.61,1.32,0.00,-165.21,-53.500,0.114,MA72B65Rec,7/5/2022 6:11:31 PM
,Mixed / non conventional,72.00,65.00,71.00,16.00,-3273.92,1.83,0.00,-340.46,-53.099,0.122,MA72B65Rec,7/5/2022 6:11:33 PM
,Mixed / non conventional,72.00,65.00,71.00,17.00,-2283.98,0.90,0.00,-508.34,-51.729,0.170,MA72B65Rec,7/5/2022 6:11:35 PM
,Mixed / non conventional,72.00,65.00,71.00,18.00,-2630.78,0.78,0.00,-599.14,-52.193,0.149,MA72B65Rec,7/5/2022 6:11:37 PM
,Mixed / non conventional,72.00,65.00,71.00,19.00,-2949.27,2.19,0.00,-309.19,-52.511,0.134,MA72B65Rec,7/5/2022 6:11:39 PM
,Mixed / non conventional,72.00,65.00,71.00,20.00,-3240.06,0.40,0.00,-197.80,-53.080,0.123,MA72B65Rec,7/5/2022 6:11:41 PM
,Mixed / non conventional,72.00,65.00,71.00,21.00,-3380.82,1.16,0.00,-368.06,-53.198,0.118,MA72B65Rec,7/5/2022 6:11:43 PM
,Mixed / non conventional,72.00,65.00,71.00,22.00,-3263.15,1.63,0.00,-199.76,-53.090,0.122,MA72B65Rec,7/5/2022 6:11:45 PM
,Mixed / non conventional,72.00,65.00,71.00,23.00,-3096.17,2.18,0.00,-81.60,-52.715,0.128,MA72B65Rec,7/5/2022 6:11:47 PM
,Mixed / non conventional,72.00,65.00,71.00,24.00,-3000.37,1.83,0.00,-272.47,-52.622,0.132,MA72B65Rec,7/5/2022 6:11:49 PM
,Mixed / non conventional,72.00,65.00,71.00,25.00,-1600.53,0.67,0.00,-416.25,-51.115,0.240,MA72B65Rec,7/5/2022 6:11:51 PM
,Mixed / non conventional,72.00,65.00,71.00,26.00,-1929.14,0.80,0.00,-460.99,-51.443,0.200,MA72B65Rec,7/5/2022 6:11:53 PM
,Mixed / non conventional,72.00,65.00,71.00,27.00,-2253.50,2.49,0.00,-52.92,-51.643,0.172,MA72B65Rec,7/5/2022 6:11:55 PM
,Mixed / non conventional,72.00,65.00,71.00,28.00,-2406.58,1.92,0.00,-104.91,-51.926,0.162,MA72B65Rec,7/5/2022 6:11:58 PM
,Mixed / non conventional,72.00,65.00,71.00,29.00,-2566.64,2.66,0.00,-292.78,-52.072,0.152,MA72B65Rec,7/5/2022 6:12:00 PM
,Mixed / non conventional,72.00,65.00,71.00,30.00,-2592.99,0.35,0.00,-280.28,-52.142,0.151,MA72B65Rec,7/5/2022 6:12:02 PM
,Mixed / non conventional,72.00,65.00,71.00,31.00,-2500.27,1.29,0.00,-20.59,-52.088,0.156,MA72B65Rec,7/5/2022 6:12:04 PM
,Mixed / non conventional,72.00,65.00,71.00,32.00,-2553.81,2.72,0.00,-30.21,-51.974,0.152,MA72B65Rec,7/5/2022 6:12:06 PM
,Mixed / non conventional,72.00,65.00,71.00,33.00,-672.21,0.34,0.00,-393.40,-50.540,0.563,MA72B65Rec,7/5/2022 6:12:08 PM
,Mixed / non conventional,72.00,65.00,71.00,34.00,-983.15,0.81,0.00,-402.49,-50.864,0.387,MA72B65Rec,7/5/2022 6:12:10 PM
,Mixed / non conventional,72.00,65.00,71.00,35.00,-1304.10,0.93,0.00,129.66,-50.960,0.292,MA72B65Rec,7/5/2022 6:12:12 PM
,Mixed / non conventional,72.00,65.00,71.00,36.00,-1604.38,0.52,0.00,-58.62,-51.195,0.239,MA72B65Rec,7/5/2022 6:12:14 PM
,Mixed / non conventional,72.00,65.00,71.00,37.00,-1806.80,0.56,0.00,-332.96,-51.303,0.212,MA72B65Rec,7/5/2022 6:12:16 PM
,Mixed / non conventional,72.00,65.00,71.00,38.00,-1903.69,0.74,0.00,-306.73,-51.386,0.202,MA72B65Rec,7/5/2022 6:12:18 PM
,Mixed / non conventional,72.00,65.00,71.00,39.00,-1959.43,0.58,0.00,-8.71,-51.468,0.196,MA72B65Rec,7/5/2022 6:12:20 PM
,Mixed / non conventional,72.00,65.00,71.00,40.00,-2077.35,1.14,0.00,118.67,-51.500,0.185,MA72B65Rec,7/5/2022 6:12:22 PM
,Mixed / non conventional,72.00,65.00,71.00,41.00,394.57,0.45,0.00,-389.95,50.480,0.954,MA72B65Rec,7/5/2022 6:12:24 PM
,Mixed / non conventional,72.00,65.00,71.00,42.00,49.72,0.28,0.00,-429.58,6.978,1.045,MA72B65Rec,7/5/2022 6:12:26 PM
,Mixed / non conventional,72.00,65.00,71.00,43.00,-428.35,0.20,0.00,12.49,-50.651,0.880,MA72B65Rec,7/5/2022 6:12:28 PM
,Mixed / non conventional,72.00,65.00,71.00,44.00,-798.29,0.24,0.00,-254.09,-51.023,0.475,MA72B65Rec,7/5/2022 6:12:30 PM
,Mixed / non conventional,72.00,65.00,71.00,45.00,-1084.54,0.46,0.00,-247.44,-51.045,0.349,MA72B65Rec,7/5/2022 6:12:33 PM
,Mixed / non conventional,72.00,65.00,71.00,46.00,-1333.97,0.76,0.00,-359.60,-51.058,0.284,MA72B65Rec,7/5/2022 6:12:35 PM
