,El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  
,Mixed / non conventional,72.00,65.00,71.00,58.00,3424.91,3.01,0.00,-596.51,42.746,0.087
,Mixed / non conventional,72.00,65.00,71.00,59.00,1924.65,1.67,0.00,-13.24,45.271,0.160
,Mixed / non conventional,72.00,65.00,71.00,60.00,849.12,1.62,0.00,-398.13,48.275,0.376
,Mixed / non conventional,72.00,65.00,71.00,61.00,290.29,0.14,0.00,-440.97,50.767,1.107
,Mixed / non conventional,72.00,65.00,71.00,62.00,-111.75,0.15,0.00,-448.48,-21.453,1.131
,Mixed / non conventional,72.00,65.00,71.00,63.00,-303.14,0.82,0.00,-82.98,-50.526,0.857
,Mixed / non conventional,72.00,65.00,71.00,64.00,-332.67,0.72,0.00,-46.38,-49.680,0.549
,Mixed / non conventional,72.00,65.00,71.00,66.00,2876.38,2.12,0.00,-621.75,40.381,0.053
,Mixed / non conventional,72.00,65.00,71.00,67.00,2336.71,0.16,0.00,-109.10,43.633,0.104
,Mixed / non conventional,72.00,65.00,71.00,68.00,1588.76,0.79,0.00,-293.15,46.218,0.199
,Mixed / non conventional,72.00,65.00,71.00,69.00,1009.30,1.09,0.00,-362.32,48.587,0.403
,Mixed / non conventional,72.00,65.00,71.00,70.00,491.64,0.33,0.00,-192.83,47.353,1.135
