,El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  ,Name
,Mixed / non conventional,72.00,65.00,71.00,50.00,1491.50,1.48,0.00,-573.32,49.427,0.244,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,51.00,797.80,1.32,0.00,-120.91,50.098,0.460,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,52.00,288.59,0.00,0.00,-281.17,41.743,1.056,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,53.00,-136.24,0.33,0.00,-358.05,-19.776,1.056,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,54.00,-428.93,0.37,0.00,-350.23,-50.947,0.859,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,55.00,-639.35,0.33,0.00,10.23,-50.492,0.567,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,56.00,-702.63,0.59,0.00,-27.04,-50.152,0.509,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,57.00,3153.46,2.04,0.00,-722.79,50.314,0.112,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,58.00,2477.71,0.51,0.00,-662.41,49.513,0.139,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,59.00,1593.33,0.89,0.00,60.99,49.389,0.211,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,60.00,821.15,0.61,0.00,-314.29,49.926,0.402,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,61.00,326.85,0.15,0.00,-264.30,50.693,0.982,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,62.00,-49.69,0.70,0.00,-319.11,-9.080,1.076,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,63.00,-221.00,0.18,0.00,35.87,-46.111,1.073,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,64.00,-227.59,0.15,0.00,48.49,-50.626,0.818,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,66.00,1845.25,1.36,0.00,-367.68,50.171,0.103,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,67.00,1758.45,0.64,0.00,-131.87,49.348,0.156,MA72B65Rec
