,El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  ,Name
,Mixed / non conventional,72.00,65.00,71.00,50.00,1479.38,0.19,0.00,-126.49,47.675,0.237,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,51.00,796.27,0.54,0.00,156.99,45.971,0.423,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,52.00,283.94,0.03,0.00,54.23,47.167,1.213,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,53.00,-139.41,0.31,0.00,-15.97,-49.351,2.574,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,54.00,-432.90,0.69,0.00,-31.96,-47.170,0.788,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,55.00,-647.28,0.67,0.00,232.57,-46.756,0.519,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,56.00,-706.82,0.47,0.00,160.82,-46.528,0.469,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,57.00,3618.63,2.36,0.00,-217.16,88.385,0.172,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,58.00,2613.14,2.45,0.00,-169.23,64.450,0.171,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,59.00,1604.21,0.53,0.00,300.84,49.007,0.208,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,60.00,811.95,0.43,0.00,2.94,46.528,0.379,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,61.00,324.84,0.31,0.00,118.83,46.658,0.909,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,62.00,-50.78,0.06,0.00,186.03,-40.426,4.689,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,63.00,-220.27,0.56,0.00,296.36,-47.777,1.115,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,64.00,-225.98,0.41,0.00,284.22,-47.039,0.766,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,66.00,2139.49,2.23,0.00,-1.58,100.037,0.176,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,67.00,1832.99,2.37,0.00,162.73,57.363,0.173,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,68.00,1308.85,0.56,0.00,178.43,48.222,0.253,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,69.00,905.61,0.95,0.00,125.45,46.582,0.431,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,70.00,441.55,0.29,0.00,167.59,47.427,1.265,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,63.00,-220.45,0.42,0.00,294.87,-47.399,1.105,MA72B65Rec
