,El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  ,Name,Date
,Mixed / non conventional,72.00,65.00,71.00,1.00,-2438.40,1.87,0.00,-45.55,-53.446,0.165,MA72B65Rec,6/22/2022 5:49:01 PM
,Mixed / non conventional,72.00,65.00,71.00,2.00,-2991.19,1.80,0.00,-44.78,-66.911,0.168,MA72B65Rec,6/22/2022 5:49:03 PM
,Mixed / non conventional,72.00,65.00,71.00,3.00,-4095.74,2.02,0.00,-64.89,-91.081,0.167,MA72B65Rec,6/22/2022 5:49:05 PM
,Mixed / non conventional,72.00,65.00,71.00,4.00,-6621.96,1.55,0.00,-36.42,-146.145,0.166,MA72B65Rec,6/22/2022 5:49:08 PM
,Mixed / non conventional,72.00,65.00,71.00,5.00,-7556.65,1.74,0.00,-63.68,-169.402,0.169,MA72B65Rec,6/22/2022 5:49:10 PM
,Mixed / non conventional,72.00,65.00,71.00,6.00,-4908.31,2.01,0.00,-43.31,-109.172,0.167,MA72B65Rec,6/22/2022 5:49:12 PM
,Mixed / non conventional,72.00,65.00,71.00,7.00,-3653.35,1.49,0.00,-63.38,-81.749,0.168,MA72B65Rec,6/22/2022 5:49:14 PM
,Mixed / non conventional,72.00,65.00,71.00,8.00,-3114.50,1.99,0.00,-35.38,-69.260,0.167,MA72B65Rec,6/22/2022 5:49:16 PM
,Mixed / non conventional,72.00,65.00,71.00,9.00,-2104.47,0.97,0.00,-96.14,-48.572,0.174,MA72B65Rec,6/22/2022 5:49:18 PM
,Mixed / non conventional,72.00,65.00,71.00,10.00,-2512.61,2.32,0.00,-106.68,-57.385,0.172,MA72B65Rec,6/22/2022 5:49:20 PM
,Mixed / non conventional,72.00,65.00,71.00,11.00,-3250.38,2.21,0.00,-25.28,-72.611,0.168,MA72B65Rec,6/22/2022 5:49:22 PM
,Mixed / non conventional,72.00,65.00,71.00,12.00,-3998.21,2.27,0.00,50.07,-90.388,0.170,MA72B65Rec,6/22/2022 5:49:24 PM
,Mixed / non conventional,72.00,65.00,71.00,13.00,-4074.47,2.43,0.00,74.19,-93.052,0.172,MA72B65Rec,6/22/2022 5:49:26 PM
,Mixed / non conventional,72.00,65.00,71.00,14.00,-3726.30,0.97,0.00,-125.37,-83.927,0.169,MA72B65Rec,6/22/2022 5:49:28 PM
,Mixed / non conventional,72.00,65.00,71.00,15.00,-3254.27,2.35,0.00,60.31,-73.231,0.169,MA72B65Rec,6/22/2022 5:49:30 PM
,Mixed / non conventional,72.00,65.00,71.00,16.00,-2836.96,2.40,0.00,-106.43,-64.434,0.171,MA72B65Rec,6/22/2022 5:49:32 PM
,Mixed / non conventional,72.00,65.00,71.00,17.00,-1620.90,1.52,0.00,-159.44,-46.652,0.216,MA72B65Rec,6/22/2022 5:49:34 PM
,Mixed / non conventional,72.00,65.00,71.00,18.00,-1987.19,0.95,0.00,-191.53,-48.298,0.183,MA72B65Rec,6/22/2022 5:49:36 PM
,Mixed / non conventional,72.00,65.00,71.00,19.00,-2369.34,2.02,0.00,-51.09,-53.729,0.170,MA72B65Rec,6/22/2022 5:49:38 PM
,Mixed / non conventional,72.00,65.00,71.00,20.00,-2822.66,1.62,0.00,41.04,-63.184,0.168,MA72B65Rec,6/22/2022 5:49:40 PM
,Mixed / non conventional,72.00,65.00,71.00,21.00,-2927.37,2.28,0.00,-91.01,-67.289,0.173,MA72B65Rec,6/22/2022 5:49:43 PM
,Mixed / non conventional,72.00,65.00,71.00,22.00,-2863.05,2.40,0.00,29.47,-66.393,0.174,MA72B65Rec,6/22/2022 5:49:45 PM
