date,time,sec,weight (kg)
1/6/2022,05:40,47700,"19,59"
1/6/2022,05:45,48000,"19,59"
1/6/2022,05:50,48300,"19,59"
1/6/2022,05:55,48600,"19,59"
1/6/2022,06:00,48900,"19,59"
1/6/2022,06:05,49200,"19,59"
1/6/2022,06:10,49500,"19,59"
1/6/2022,06:15,49800,"19,59"
1/6/2022,06:20,50100,"19,59"
1/6/2022,06:25,50400,"19,59"
1/6/2022,06:30,50700,"19,59"
1/6/2022,06:35,51000,"19,59"
1/6/2022,06:40,51300,"19,59"
1/6/2022,06:45,51600,"19,59"
1/6/2022,06:50,51900,"19,59"
1/6/2022,06:55,52200,"19,59"
1/6/2022,07:00,52500,"19,59"
1/6/2022,07:05,52800,"19,59"
1/6/2022,07:10,53100,"19,59"
1/6/2022,07:15,53400,"19,59"
1/6/2022,07:20,53700,"19,59"
1/6/2022,07:25,54000,"19,59"
1/6/2022,07:30,54300,"19,59"
1/6/2022,07:35,54600,"19,59"
1/6/2022,07:40,54900,"19,59"
1/6/2022,07:45,55200,"19,59"
1/6/2022,07:50,55500,"19,59"
1/6/2022,07:55,55800,"19,59"
1/6/2022,08:00,56100,"19,59"
1/6/2022,08:05,56400,"19,59"
1/6/2022,08:10,56700,"19,58"
1/6/2022,08:15,57000,"19,58"
1/6/2022,08:20,57300,"19,59"
1/6/2022,08:25,57600,"19,58"
1/6/2022,08:30,57900,"19,58"
1/6/2022,08:35,58200,"19,58"
1/6/2022,08:40,58500,"19,58"
1/6/2022,08:45,58800,"19,58"
1/6/2022,08:50,59100,"19,58"
1/6/2022,08:55,59400,"19,58"
1/6/2022,09:00,59700,"19,58"
1/6/2022,09:05,60000,"19,58"
1/6/2022,09:10,60300,"19,58"
1/6/2022,09:15,60600,"19,58"
1/6/2022,09:20,60900,"19,58"
1/6/2022,09:25,61199,"19,58"
1/6/2022,09:30,61500,"19,58"
1/6/2022,09:35,61799,"19,58"
1/6/2022,09:40,62099,"19,58"
1/6/2022,09:45,62399,"19,58"
1/6/2022,09:50,62699,"19,57"
1/6/2022,09:55,62999,"19,58"
1/6/2022,10:00,63299,"19,58"
1/6/2022,10:05,63599,"19,6"
1/6/2022,10:10,63899,"19,59"
1/6/2022,10:15,64199,"19,59"
1/6/2022,10:20,64499,"19,59"
1/6/2022,10:25,64799,"19,59"
1/6/2022,10:30,65099,"19,59"
1/6/2022,10:35,65399,"19,59"
1/6/2022,10:40,65699,"19,59"
1/6/2022,10:45,65999,"19,59"
1/6/2022,10:50,66299,"19,59"
1/6/2022,10:55,66599,"19,59"
1/6/2022,11:00,66899,"19,59"
1/6/2022,11:05,67199,"19,59"
1/6/2022,11:10,67499,"19,59"
1/6/2022,11:15,67799,"19,59"
1/6/2022,11:20,68099,"19,59"
1/6/2022,11:25,68399,"19,59"
1/6/2022,11:30,68699,"19,59"
1/6/2022,11:35,68999,"19,59"
1/6/2022,11:40,69299,"19,58"
1/6/2022,11:45,69599,"19,59"
1/6/2022,11:50,69899,"19,59"
1/6/2022,11:55,70199,"19,59"
1/6/2022,12:00,70499,"19,59"
1/6/2022,12:05,70799,"19,59"
1/6/2022,12:10,71099,"19,58"
1/6/2022,12:15,71399,"19,58"
1/6/2022,12:20,71699,"19,58"
1/6/2022,12:25,71999,"19,58"
1/6/2022,12:30,72299,"19,58"
1/6/2022,12:35,72599,"19,58"
1/6/2022,12:40,72899,"19,58"
1/6/2022,12:45,73199,"19,58"
1/6/2022,12:50,73499,"19,58"
1/6/2022,12:55,73799,"19,58"
1/6/2022,13:00,74099,"19,58"
1/6/2022,13:05,74399,"19,58"
1/6/2022,13:10,74699,"19,58"
1/6/2022,13:15,74999,"19,58"
1/6/2022,13:20,75299,"19,58"
1/6/2022,13:25,75599,"19,58"
1/6/2022,13:30,75899,"19,58"
1/6/2022,13:35,76199,"19,58"
1/6/2022,13:40,76499,"19,58"
1/6/2022,13:45,76799,"19,58"
1/6/2022,13:50,77099,"19,58"
1/6/2022,13:55,77399,"19,58"
1/6/2022,14:00,77699,"19,58"
1/6/2022,14:05,77999,"19,58"
1/6/2022,14:10,78299,"19,58"
1/6/2022,14:15,78599,"19,58"
1/6/2022,14:20,78899,"19,58"
1/6/2022,14:25,79199,"19,58"
1/6/2022,14:30,79499,"19,57"
1/6/2022,14:35,79799,"19,57"
1/6/2022,14:40,80099,"19,57"
1/6/2022,14:45,80399,"19,59"
1/6/2022,14:50,80699,"19,59"
1/6/2022,14:55,80999,"19,59"
1/6/2022,15:00,81299,"19,59"
1/6/2022,15:05,81599,"19,58"
1/6/2022,15:10,81899,"19,58"
1/6/2022,15:15,82199,"19,58"
1/6/2022,15:20,82499,"19,58"
1/6/2022,15:25,82799,"19,58"
1/6/2022,15:30,83099,"19,58"
1/6/2022,15:35,83399,"19,58"
1/6/2022,15:40,83699,"19,59"
1/6/2022,15:45,83999,"19,59"
1/6/2022,15:50,84299,"19,59"
1/6/2022,15:55,84599,"19,59"
1/6/2022,16:00,84899,"19,59"
1/6/2022,16:05,85199,"19,65"
1/6/2022,16:10,85499,"19,78"
1/6/2022,16:15,85799,"19,88"
1/6/2022,16:20,86099,"19,88"
1/6/2022,16:25,86399,"19,88"
1/6/2022,16:30,86699,"19,89"
1/6/2022,16:35,86999,"19,89"
1/6/2022,16:40,87299,"19,87"
1/6/2022,16:45,87599,"19,87"
1/6/2022,16:50,87899,"19,87"
1/6/2022,16:55,88199,"19,87"
1/6/2022,17:00,88499,"19,87"
1/6/2022,17:05,88799,"19,87"
1/6/2022,17:10,89099,"19,87"
1/6/2022,17:15,89399,"19,86"
1/6/2022,17:20,89699,"19,86"
1/6/2022,17:25,89999,"19,86"
1/6/2022,17:30,90299,"19,86"
1/6/2022,17:35,90599,"19,86"
1/6/2022,17:40,90899,"19,86"
1/6/2022,17:45,91199,"19,86"
1/6/2022,17:50,91499,"19,86"
1/6/2022,17:55,91799,"19,86"
1/6/2022,18:00,92099,"19,86"
1/6/2022,18:05,92399,"19,86"
1/6/2022,18:10,92699,"19,86"
1/6/2022,18:15,92999,"19,86"
1/6/2022,18:20,93299,"19,86"
1/6/2022,18:25,93599,"19,86"
1/6/2022,18:30,93899,"19,86"
1/6/2022,18:35,94199,"19,86"
1/6/2022,18:40,94499,"19,84"
1/6/2022,18:45,94799,"19,84"
1/6/2022,18:50,95099,"19,84"
