0.01	0.01
0.07	0.01
0.12	0.01
0.18	0.01
0.24	0.01
0.29	0.01
0.35	0.01
0.41	0.01
0.46	0.01
0.01	0.07
0.07	0.07
0.12	0.07
0.18	0.07
0.24	0.07
0.29	0.07
0.35	0.07
0.41	0.07
0.46	0.07
0.01	0.13
0.07	0.13
0.12	0.13
0.18	0.13
0.24	0.13
0.29	0.13
0.35	0.13
0.41	0.13
0.46	0.13
0.01	0.19
0.07	0.19
0.12	0.19
0.18	0.19
0.24	0.19
0.29	0.19
0.35	0.19
0.41	0.19
0.46	0.19
0.01	0.24
0.07	0.24
0.12	0.24
0.18	0.24
0.24	0.24
0.29	0.24
0.35	0.24
0.41	0.24
0.46	0.24
0.01	0.30
0.07	0.30
0.12	0.30
0.18	0.30
0.24	0.30
0.29	0.30
0.35	0.30
0.41	0.30
0.46	0.30
0.01	0.36
0.07	0.36
0.12	0.36
0.18	0.36
0.24	0.36
0.29	0.36
0.35	0.36
0.41	0.36
0.46	0.36
0.01	0.42
0.07	0.42
0.12	0.42
0.18	0.42
0.24	0.42
0.29	0.42
0.35	0.42
0.41	0.42
0.46	0.42
0.01	0.48
0.07	0.48
0.12	0.48
0.18	0.48
0.24	0.48
0.29	0.48
0.35	0.48
0.41	0.48
0.46	0.48
