index,resist,a,b,m,n,ip,resError,phaseError,K,app,irecip,reciprocalErrRel,recipError,recipMean,reci_IP_err
54.0,-52.43341148,1 72,1 65,1 71,1 54,,,,7.232969132683476,-379.2492467561314,0,,,-52.43341148,
55.0,-92.12118687,1 72,1 65,1 71,1 55,,,,7.184808310900424,-661.8730690335871,0,,,-92.12118687,
56.0,-110.4750057,1 72,1 65,1 71,1 56,,,,7.1242416081406335,-787.0506322675136,0,,,-110.4750057,
57.0,515.882464,1 72,1 65,1 71,1 57,,,,7.0465629613229,3635.1982632183945,0,,,515.882464,
58.0,402.1055673,1 72,1 65,1 71,1 58,,,,6.944573234251121,2792.451560014943,0,,,402.1055673,
59.0,265.2559836,1 72,1 65,1 71,1 59,,,,6.806784082777885,1805.5402070300718,0,,,265.2559836,
60.0,142.6119837,1 72,1 65,1 71,1 60,,,,6.613879270715354,943.2184427490259,0,,,142.6119837,
61.0,63.49799956,1 72,1 65,1 71,1 61,,,,6.331148553799277,402.01526808344113,0,,,63.49799956,
62.0,-3.685024283,1 72,1 65,1 71,1 62,,,,5.8904862254808625,-21.706584779573994,0,,,-3.685024283,
63.0,-41.70623393,1 72,1 65,1 71,1 63,,,,5.140787978601479,-214.40290602008514,0,,,-41.70623393,
64.0,-63.39254095,1 72,1 65,1 71,1 64,,,,3.677962131031953,-233.15536500399233,0,,,-63.39254095,
65.0,529.8770836,1 72,1 65,1 71,1 66,,,,3.7699111843077517,1997.5895437720135,0,,,529.8770836,
66.0,339.7533967,1 72,1 65,1 71,1 67,,,,5.543987035746694,1883.5884266557036,0,,,339.7533967,
67.0,195.4468502,1 72,1 65,1 71,1 68,,,,6.854383971468639,1339.667757284912,0,,,195.4468502,
68.0,107.0077302,1 72,1 65,1 71,1 69,,,,8.377580409572781,896.4658641963696,0,,,107.0077302,
69.0,35.46031215,1 72,1 65,1 71,1 70,,,,11.780972450961722,417.7569605416532,0,,,35.46031215,
