0.01	0.01
0.06	0.01
0.12	0.01
0.17	0.01
0.23	0.01
0.28	0.01
0.33	0.01
0.39	0.01
0.44	0.01
0.01	0.06
0.06	0.06
0.12	0.06
0.17	0.06
0.23	0.06
0.28	0.06
0.33	0.06
0.39	0.06
0.44	0.06
0.01	0.12
0.06	0.12
0.12	0.12
0.17	0.12
0.23	0.12
0.28	0.12
0.33	0.12
0.39	0.12
0.44	0.12
0.01	0.17
0.06	0.17
0.12	0.17
0.17	0.17
0.23	0.17
0.28	0.17
0.33	0.17
0.39	0.17
0.44	0.17
0.01	0.23
0.06	0.23
0.12	0.23
0.17	0.23
0.23	0.23
0.28	0.23
0.33	0.23
0.39	0.23
0.44	0.23
0.01	0.28
0.06	0.28
0.12	0.28
0.17	0.28
0.23	0.28
0.28	0.28
0.33	0.28
0.39	0.28
0.44	0.28
0.01	0.33
0.06	0.33
0.12	0.33
0.17	0.33
0.23	0.33
0.28	0.33
0.33	0.33
0.39	0.33
0.44	0.33
0.01	0.39
0.06	0.39
0.12	0.39
0.17	0.39
0.23	0.39
0.28	0.39
0.33	0.39
0.39	0.39
0.44	0.39
0.01	0.44
0.06	0.44
0.12	0.44
0.17	0.44
0.23	0.44
0.28	0.44
0.33	0.44
0.39	0.44
0.44	0.44
0.01	0.49
0.06	0.49
0.12	0.49
0.17	0.49
0.23	0.49
0.28	0.49
0.33	0.49
0.39	0.49
0.44	0.49
