2484
1	1 1	1 3	1 2	1 4	554.3941695247427
2	1 1	1 3	1 4	1 6	-205.74021211944137
3	1 1	1 3	1 6	1 8	-36.11350326312787
4	1 1	1 3	1 8	1 10	-202.09295574359095
5	1 1	1 3	1 10	1 12	250.86071907806456
6	1 1	1 3	1 12	1 14	-36.87237724769069
7	1 1	1 3	1 14	1 16	-17.161401030388646
8	1 1	1 3	1 16	1 18	-163.32725475895165
9	1 1	1 3	1 18	1 20	151.34683066911634
10	1 1	1 3	1 20	1 22	10.755466796078586
11	1 1	1 3	1 5	1 7	-88.5085697089716
12	1 1	1 3	1 7	1 9	-494.02551137293403
13	1 1	1 3	1 9	1 11	463.32218687745
14	1 1	1 3	1 11	1 13	24.25178621763964
15	1 1	1 3	1 13	1 15	-26.831631391760457
16	1 1	1 3	1 15	1 17	-286.2165923897006
17	1 1	1 3	1 17	1 19	207.92544159603926
18	1 1	1 3	1 19	1 21	66.37427332742142
19	1 1	1 3	1 21	1 23	-6.514851557240191
20	1 1	1 3	1 23	1 25	-198.1830164647675
21	1 1	1 3	1 22	1 24	-7.322454756107437
22	1 1	1 3	1 24	1 26	-127.06217501983414
23	1 1	1 3	1 26	1 28	93.42762022916398
24	1 1	1 3	1 28	1 30	24.413644617453407
25	1 1	1 3	1 30	1 32	0.6450142269911291
26	1 1	1 3	1 32	1 34	-96.30167600433688
27	1 1	1 3	1 34	1 36	57.423385386665316
28	1 1	1 3	1 36	1 38	24.635277209698252
29	1 1	1 3	1 38	1 40	7.135903191595766
30	1 1	1 3	1 40	1 42	-75.50258688392894
31	1 1	1 3	1 25	1 27	122.29888363540846
32	1 1	1 3	1 27	1 29	55.60021535671492
33	1 1	1 3	1 29	1 31	6.570603039003117
34	1 1	1 3	1 31	1 33	-136.00113146894546
35	1 1	1 3	1 33	1 35	70.42881186820813
36	1 1	1 3	1 35	1 37	41.52064265174364
37	1 1	1 3	1 37	1 39	13.480530177799029
38	1 1	1 3	1 39	1 41	-93.13351715169831
39	1 1	1 3	1 41	1 43	39.35525913232827
40	1 1	1 3	1 43	1 45	29.789273746510908
41	1 1	1 3	1 42	1 44	37.4660805525768
42	1 1	1 3	1 44	1 46	21.376672450783186
43	1 1	1 3	1 46	1 48	9.142194697181536
44	1 1	1 3	1 48	1 50	-59.32953812109744
45	1 1	1 3	1 50	1 52	28.351151577712198
46	1 1	1 3	1 52	1 54	17.1022901995466
47	1 1	1 3	1 54	1 56	9.407751861806883
48	1 1	1 3	1 56	1 58	-46.30121654187889
49	1 1	1 3	1 58	1 60	18.649930994690017
50	1 1	1 3	1 60	1 62	14.047919627668072
51	1 1	1 3	1 45	1 47	14.618229587391326
52	1 1	1 3	1 47	1 49	-66.47820253971628
53	1 1	1 3	1 49	1 51	24.17588245921643
54	1 1	1 3	1 51	1 53	22.049908668190437
55	1 1	1 3	1 53	1 55	13.595894499627887
56	1 1	1 3	1 55	1 57	-49.495184801546884
57	1 1	1 3	1 57	1 59	15.142206823164747
58	1 1	1 3	1 59	1 61	16.772570619401208
