index,resist,a,b,m,n,ip,resError,phaseError,K,app,irecip,reciprocalErrRel,recipError,recipMean,reci_IP_err
1.0,-200.620684,1 72,1 65,1 71,1 1,,,,7.525488105557298,-1509.7685711707695,0,,,-200.620684,
2.0,-239.4781835,1 72,1 65,1 71,1 2,,,,7.525046680883054,-1802.084509890578,0,,,-239.4781835,
3.0,-302.1797505,1 72,1 65,1 71,1 3,,,,7.5245845407124206,-2273.7770791286366,0,,,-302.1797505,
4.0,-368.2586198,1 72,1 65,1 71,1 4,,,,7.524100367846867,-2770.81481669996,0,,,-368.2586198,
5.0,-474.6634164,1 72,1 65,1 71,1 5,,,,7.523592738670759,-3571.1742329396952,0,,,-474.6634164,
6.0,-589.6667278,1 72,1 65,1 71,1 6,,,,7.523060112661563,-4436.098239675843,0,,,-589.6667278,
7.0,-793.8133819,1 72,1 65,1 71,1 7,,,,7.522500820673164,-5971.46181680409,0,,,-793.8133819,
8.0,-1355.562303,1 72,1 65,1 71,1 8,,,,7.521913051825442,-10196.421779498254,0,,,-1355.562303,
9.0,-177.3578004,1 72,1 65,1 71,1 9,,,,7.5212948388072975,-1333.9603087707349,0,,,-177.3578004,
10.0,-216.563675,1 72,1 65,1 71,1 10,,,,7.520644041369752,-1628.6983119658855,0,,,-216.563675,
11.0,-337.7389696,1 72,1 65,1 71,1 12,,,,7.51995832774975,-2539.78297704914,0,,,-337.7389696,
12.0,-422.1129937,1 72,1 65,1 71,1 13,,,,7.51923515372265,-3173.9668610721474,0,,,-422.1129937,
13.0,-526.883784,1 72,1 65,1 71,1 14,,,,7.518471738930912,-3961.360839704979,0,,,-526.883784,
14.0,-665.9006151,1 72,1 65,1 71,1 15,,,,7.51766504007633,-5006.017774302594,0,,,-665.9006151,
15.0,-798.069082,1 72,1 65,1 71,1 16,,,,7.51681172049155,-5998.935029339532,0,,,-798.069082,
16.0,-133.6913649,1 72,1 65,1 71,1 17,,,,7.515908115520665,-1004.8120144269445,0,,,-133.6913649,
17.0,-174.859561,1 72,1 65,1 71,1 18,,,,7.514950193035715,-1314.0608916910905,0,,,-174.859561,
18.0,-226.3677366,1 72,1 65,1 71,1 19,,,,7.513933508291611,-1700.9121212348693,0,,,-226.3677366,
19.0,-285.4982868,1 72,1 65,1 71,1 20,,,,7.512853152171809,-2144.9067039250313,0,,,-285.4982868,
