index,resist,a,b,m,n,ip,resError,phaseError,K,app,irecip,reciprocalErrRel,recipError,recipMean,reci_IP_err
1.0,-104.1695204,1 72,1 65,1 71,1 1,,,,7.835843108260916,-816.2560185171849,0,,,-104.1695204,
2.0,-145.2636449,1 72,1 65,1 71,1 2,,,,7.835189207030852,-1138.1681426944422,0,,,-145.2636449,
3.0,-1090.114569,1 72,1 65,1 71,1 7,,,,7.834499291571701,-8540.50181856249,0,,,-1090.114569,
4.0,-2475.356727,1 72,1 65,1 71,1 8,,,,7.8337706673404774,-19391.376919176528,0,,,-2475.356727,
5.0,-83.0622263,1 72,1 65,1 71,1 9,,,,7.833000382948727,-650.6264504164739,0,,,-83.0622263,
6.0,-122.2330474,1 72,1 65,1 71,1 10,,,,7.832185200207671,-957.3518648225628,0,,,-122.2330474,
7.0,-182.8920063,1 72,1 65,1 71,1 11,,,,7.831321560016102,-1432.2861120917908,0,,,-182.8920063,
8.0,-795.0322205,1 72,1 65,1 71,1 15,,,,7.830405543418225,-6225.4247065993,0,,,-795.0322205,
9.0,-1102.918433,1 72,1 65,1 71,1 16,,,,7.829432827033533,-8635.225784870585,0,,,-1102.918433,
10.0,-41.98768417,1 72,1 65,1 71,1 17,,,,7.828398631909419,-328.6963293134728,0,,,-41.98768417,
11.0,-83.28300614,1 72,1 65,1 71,1 18,,,,7.827297664663131,-651.8808794657472,0,,,-83.28300614,
12.0,-135.4587112,1 72,1 65,1 71,1 19,,,,7.826124049555088,-1060.1166774440574,0,,,-135.4587112,
13.0,-296.4669402,1 72,1 65,1 71,1 21,,,,7.8248712498604185,-2319.815636905068,0,,,-296.4669402,
14.0,-540.7601557,1 72,1 65,1 71,1 23,,,,7.823531976566983,-4230.654369772291,0,,,-540.7601557,
15.0,-693.4778532,1 72,1 65,1 71,1 24,,,,7.822098082009768,-5424.451785431972,0,,,-693.4778532,
16.0,16.69685909,1 72,1 65,1 71,1 25,,,,7.8205604355320375,130.57879559690747,0,,,16.69685909,
17.0,-27.31243722,1 72,1 65,1 71,1 26,,,,7.818908777615561,-213.55345511753194,0,,,-27.31243722,
18.0,-77.84723061,1 72,1 65,1 71,1 27,,,,7.81713154810973,-608.5420423344044,0,,,-77.84723061,
19.0,-139.3307022,1 72,1 65,1 71,1 28,,,,7.815215683165132,-1088.8994889798505,0,,,-139.3307022,
20.0,-216.1343988,1 72,1 65,1 71,1 29,,,,7.813146374179121,-1688.6896943196043,0,,,-216.1343988,
21.0,-297.2697406,1 72,1 65,1 71,1 30,,,,7.810906780406067,-2321.9462324620927,0,,,-297.2697406,
22.0,-386.7251921,1 72,1 65,1 71,1 31,,,,7.80847768476258,-3019.735032648372,0,,,-386.7251921,
23.0,-457.9735704,1 72,1 65,1 71,1 32,,,,7.805837079618284,-3574.867077313495,0,,,-457.9735704,
24.0,99.54398964,1 72,1 65,1 71,1 33,,,,7.802959665802279,776.73773613396,0,,,99.54398964,
25.0,54.22514239,1 72,1 65,1 71,1 34,,,,7.799816243395348,422.94614641394764,0,,,54.22514239,
26.0,-2.009958196,1 72,1 65,1 71,1 35,,,,7.7963729667326165,-15.670383743557057,0,,,-2.009958196,
27.0,-66.92480713,1 72,1 65,1 71,1 36,,,,7.792590427872545,-521.5176114284543,0,,,-66.92480713,
28.0,-135.2857909,1 72,1 65,1 71,1 37,,,,7.788422521837801,-1053.6629007301995,0,,,-135.2857909,
29.0,-199.1250935,1 72,1 65,1 71,1 38,,,,7.783815032122417,-1549.9528960580817,0,,,-199.1250935,
30.0,-265.171073,1 72,1 65,1 71,1 39,,,,7.7787038547351095,-2062.687247709345,0,,,-265.171073,
31.0,-324.5557717,1 72,1 65,1 71,1 40,,,,7.773012751150003,-2522.776151883429,0,,,-324.5557717,
32.0,226.0741106,1 72,1 65,1 71,1 41,,,,7.76665048163229,1755.8385999760817,0,,,226.0741106,
33.0,162.6324733,1 72,1 65,1 71,1 42,,,,7.759507115522504,1261.9478337863734,0,,,162.6324733,
34.0,82.12212734,1 72,1 65,1 71,1 43,,,,7.75144923666411,636.5655012828759,0,,,82.12212734,
35.0,9.010762756,1 72,1 65,1 71,1 44,,,,7.7423136486573085,69.76415147059174,0,,,9.010762756,
36.0,-59.28698145,1 72,1 65,1 71,1 45,,,,7.731899017902341,-458.4009536476493,0,,,-59.28698145,
37.0,-125.2467128,1 72,1 65,1 71,1 46,,,,7.719954643633621,-966.8989420802064,0,,,-125.2467128,
38.0,-175.0672053,1 72,1 65,1 71,1 47,,,,7.706165166584749,-1349.096799294201,0,,,-175.0672053,
39.0,-219.8210482,1 72,1 65,1 71,1 48,,,,7.690129444114096,-1690.452315198844,0,,,-219.8210482,
40.0,396.4711269,1 72,1 65,1 71,1 49,,,,7.671330898300658,3041.461206072051,0,,,396.4711269,
41.0,309.9989594,1 72,1 65,1 71,1 50,,,,7.649095156566453,2371.2115388871803,0,,,309.9989594,
42.0,191.1473398,1 72,1 65,1 71,1 51,,,,7.622528344171698,1457.026015538519,0,,,191.1473398,
43.0,91.84515066,1 72,1 65,1 71,1 52,,,,7.590425203304197,697.1437463709351,0,,,91.84515066,
44.0,13.10551695,1 72,1 65,1 71,1 53,,,,7.551128871738962,98.96144742020935,0,,,13.10551695,
45.0,-54.71025461,1 72,1 65,1 71,1 54,,,,7.502310814542789,-410.4533348269925,0,,,-54.71025461,
46.0,-111.1377625,1 72,1 65,1 71,1 55,,,,7.440614179554772,-826.9332115414906,0,,,-111.1377625,
47.0,-143.1187171,1 72,1 65,1 71,1 56,,,,7.361053916361021,-1053.50459301352,0,,,-143.1187171,
48.0,502.5555221,1 72,1 65,1 71,1 58,,,,7.2559627278342935,3646.5241370249037,0,,,502.5555221,
49.0,318.2953306,1 72,1 65,1 71,1 59,,,,7.113039970391984,2264.047408946931,0,,,318.2953306,
50.0,176.6615861,1 72,1 65,1 71,1 60,,,,6.911503837897544,1220.9972303392174,0,,,176.6615861,
51.0,83.99324244,1 72,1 65,1 71,1 61,,,,6.613879270715353,555.521165054085,0,,,83.99324244,
52.0,1.68113304,1 72,1 65,1 71,1 62,,,,6.1465943222409,10.333242798595585,0,,,1.68113304,
53.0,-49.04498381,1 72,1 65,1 71,1 63,,,,5.347391750791137,-262.26274184327883,0,,,-49.04498381,
54.0,-83.55350685,1 72,1 65,1 71,1 64,,,,3.7915773405394053,-316.799583295064,0,,,-83.55350685,
55.0,429.7542867,1 72,1 65,1 71,1 67,,,,3.9269908169872414,1687.6411374318022,0,,,429.7542867,
56.0,254.7345278,1 72,1 65,1 71,1 68,,,,5.983986006837701,1524.3278498136092,0,,,254.7345278,
57.0,140.6627955,1 72,1 65,1 71,1 69,,,,7.853981633974483,1104.7630124405084,0,,,140.6627955,
58.0,50.94877638,1 72,1 65,1 71,1 70,,,,11.423973285781065,582.0374603083533,0,,,50.94877638,
