index,resist,a,b,m,n,ip,resError,phaseError,K,app,irecip,reciprocalErrRel,recipError,recipMean,reci_IP_err
1.0,-132.5784105,1 72,1 65,1 71,1 1,,,,7.833000382948727,-1038.4867402172335,0,,,-132.5784105,
2.0,-169.9672866,1 72,1 65,1 71,1 2,,,,7.832185200207671,-1331.2152666279756,0,,,-169.9672866,
3.0,-1685.546529,1 72,1 65,1 71,1 8,,,,7.831321560016102,-13200.056872968005,0,,,-1685.546529,
4.0,-113.1976828,1 72,1 65,1 71,1 9,,,,7.830405543418225,-886.3837628992178,0,,,-113.1976828,
5.0,-150.0688577,1 72,1 65,1 71,1 10,,,,7.829432827033533,-1174.954040791804,0,,,-150.0688577,
6.0,-206.0189211,1 72,1 65,1 71,1 11,,,,7.828398631909419,-1612.7982400866945,0,,,-206.0189211,
7.0,-932.3595822,1 72,1 65,1 71,1 16,,,,7.827297664663131,-7297.855980380353,0,,,-932.3595822,
8.0,-70.92416276,1 72,1 65,1 71,1 17,,,,7.826124049555088,-555.0612958705954,0,,,-70.92416276,
9.0,-109.1401012,1 72,1 65,1 71,1 18,,,,7.8248712498604185,-854.0072400867366,0,,,-109.1401012,
10.0,-161.5340087,1 72,1 65,1 71,1 19,,,,7.823531976566983,-1263.766482367499,0,,,-161.5340087,
11.0,-637.6377542,1 72,1 65,1 71,1 24,,,,7.822098082009768,-4987.665054144836,0,,,-637.6377542,
12.0,-9.850857067,1 72,1 65,1 71,1 25,,,,7.8205604355320375,-77.03922303426137,0,,,-9.850857067,
13.0,-47.27599074,1 72,1 65,1 71,1 26,,,,7.818908777615561,-369.64665896745794,0,,,-47.27599074,
14.0,-99.57023848,1 72,1 65,1 71,1 27,,,,7.81713154810973,-778.3536524748174,0,,,-99.57023848,
15.0,-157.1507469,1 72,1 65,1 71,1 28,,,,7.815215683165132,-1228.1669817939942,0,,,-157.1507469,
16.0,-223.0761411,1 72,1 65,1 71,1 29,,,,7.813146374179121,-1742.926543001335,0,,,-223.0761411,
17.0,-296.4106724,1 72,1 65,1 71,1 30,,,,7.810906780406067,-2315.2361308338814,0,,,-296.4106724,
18.0,-376.7172786,1 72,1 65,1 71,1 31,,,,7.80847768476258,-2941.5884634125878,0,,,-376.7172786,
19.0,-439.1805892,1 72,1 65,1 71,1 32,,,,7.805837079618284,-3428.172127825965,0,,,-439.1805892,
20.0,67.28162816,1 72,1 65,1 71,1 33,,,,7.802959665802279,524.9958307819868,0,,,67.28162816,
21.0,28.66247649,1 72,1 65,1 71,1 34,,,,7.799816243395348,223.56204970263929,0,,,28.66247649,
22.0,-24.13020375,1 72,1 65,1 71,1 35,,,,7.7963729667326165,-188.12806819825,0,,,-24.13020375,
23.0,-82.99554924,1 72,1 65,1 71,1 36,,,,7.792590427872545,-646.7503225636485,0,,,-82.99554924,
24.0,-142.2822836,1 72,1 65,1 71,1 37,,,,7.788422521837801,-1108.1545420487532,0,,,-142.2822836,
25.0,-196.1454564,1 72,1 65,1 71,1 38,,,,7.783815032122417,-1526.7599520088322,0,,,-196.1454564,
