index,resist,a,b,m,n,ip,resError,phaseError,K,app,irecip,reciprocalErrRel,recipError,recipMean,reci_IP_err
1.0,-258.0125488,1 72,1 65,1 71,1 1,,,,7.525910034924181,-1941.779230150285,0,,,-258.0125488,
2.0,-312.081108,1 72,1 65,1 71,1 2,,,,7.525488105557298,-2348.5626662231425,0,,,-312.081108,
3.0,-393.63026,1 72,1 65,1 71,1 3,,,,7.525046680883054,-2962.0860815081337,0,,,-393.63026,
4.0,-490.9775788,1 72,1 65,1 71,1 4,,,,7.5245845407124206,-3694.402299274894,0,,,-490.9775788,
5.0,-634.6709523,1 72,1 65,1 71,1 5,,,,7.524100367846867,-4775.327945662151,0,,,-634.6709523,
6.0,-850.4074806,1 72,1 65,1 71,1 6,,,,7.523592738670759,-6398.119545953455,0,,,-850.4074806,
7.0,-1371.300659,1 72,1 65,1 71,1 7,,,,7.523060112661563,-10316.377290189415,0,,,-1371.300659,
8.0,-1961.422366,1 72,1 65,1 71,1 8,,,,7.522500820673164,-14754.801357921699,0,,,-1961.422366,
9.0,-223.7369915,1 72,1 65,1 71,1 9,,,,7.521913051825442,-1682.930196540008,0,,,-223.7369915,
10.0,-273.5414453,1 72,1 65,1 71,1 10,,,,7.5212948388072975,-2057.385860734779,0,,,-273.5414453,
11.0,-350.8731769,1 72,1 65,1 71,1 11,,,,7.520644041369752,-2638.7922671294596,0,,,-350.8731769,
12.0,-437.2060392,1 72,1 65,1 71,1 12,,,,7.51995832774975,-3287.7711954245237,0,,,-437.2060392,
13.0,-555.9487205,1 72,1 65,1 71,1 13,,,,7.51923515372265,-4180.309162850728,0,,,-555.9487205,
14.0,-744.2254996,1 72,1 65,1 71,1 14,,,,7.518471738930912,-5595.4383861343385,0,,,-744.2254996,
15.0,-966.017486,1 72,1 65,1 71,1 15,,,,7.51766504007633,-7262.195882604625,0,,,-966.017486,
16.0,-1143.315695,1 72,1 65,1 71,1 16,,,,7.51681172049155,-8594.088816397942,0,,,-1143.315695,
17.0,-160.7471972,1 72,1 65,1 71,1 17,,,,7.515908115520665,-1208.1611639826806,0,,,-160.7471972,
18.0,-213.2884816,1 72,1 65,1 71,1 18,,,,7.514950193035715,-1602.8523159722147,0,,,-213.2884816,
19.0,-280.7310694,1 72,1 65,1 71,1 19,,,,7.513933508291611,-2109.394589183198,0,,,-280.7310694,
20.0,-358.7548784,1 72,1 65,1 71,1 20,,,,7.512853152171809,-2695.272719044454,0,,,-358.7548784,
21.0,-461.7514501,1 72,1 65,1 71,1 21,,,,7.511703691694722,-3468.540072361561,0,,,-461.7514501,
22.0,-589.534692,1 72,1 65,1 71,1 22,,,,7.510479101428526,-4427.687983833102,0,,,-589.534692,
23.0,-721.3517674,1 72,1 65,1 71,1 23,,,,7.509172684190236,-5416.754987452429,0,,,-721.3517674,
24.0,-823.0365623,1 72,1 65,1 71,1 24,,,,7.507776979070689,-6179.174955369419,0,,,-823.0365623,
25.0,-77.47170423,1 72,1 65,1 71,1 25,,,,7.506283654414926,-581.5245871413166,0,,,-77.47170423,
26.0,-131.481104,1 72,1 65,1 71,1 26,,,,7.504683382876283,-986.7240563510283,0,,,-131.481104,
27.0,-192.4611578,1 72,1 65,1 71,1 27,,,,7.502965695025903,-1444.029464598367,0,,,-192.4611578,
28.0,-262.6098317,1 72,1 65,1 71,1 28,,,,7.501118807202419,-1969.8675475211317,0,,,-262.6098317,
29.0,-346.5289386,1 72,1 65,1 71,1 29,,,,7.499129418283731,-2598.665357741897,0,,,-346.5289386,
30.0,-446.0443896,1 72,1 65,1 71,1 30,,,,7.496982468793824,-3343.9869691350423,0,,,-446.0443896,
31.0,-539.2952182,1 72,1 65,1 71,1 31,,,,7.494660854142906,-4041.834760669997,0,,,-539.2952182,
32.0,-596.5536653,1 72,1 65,1 71,1 32,,,,7.492145081731756,-4469.466609466447,0,,,-596.5536653,
33.0,27.77289428,1 72,1 65,1 71,1 33,,,,7.489412858987701,208.00267155193796,0,,,27.77289428,
34.0,-25.76707976,1 72,1 65,1 71,1 34,,,,7.486438595944928,-192.9036604200554,0,,,-25.76707976,
35.0,-88.84537597,1 72,1 65,1 71,1 35,,,,7.48319280146925,-664.8470779025331,0,,,-88.84537597,
36.0,-159.8575245,1 72,1 65,1 71,1 36,,,,7.47964134628904,-1195.6769497656132,0,,,-159.8575245,
37.0,-235.3459879,1 72,1 65,1 71,1 37,,,,7.475744558117355,-1759.386488318178,0,,,-235.3459879,
38.0,-307.4704124,1 72,1 65,1 71,1 38,,,,7.471456103615104,-2297.251689407033,0,,,-307.4704124,
39.0,-389.796037,1 72,1 65,1 71,1 39,,,,7.466721597728649,-2910.498488176936,0,,,-389.796037,
40.0,-443.410234,1 72,1 65,1 71,1 40,,,,7.461476861569028,-3308.4952011739083,0,,,-443.410234,
41.0,152.2095265,1 72,1 65,1 71,1 41,,,,7.455645723351854,1134.8203053031357,0,,,152.2095265,
42.0,98.13211202,1 72,1 65,1 71,1 42,,,,7.449137219852086,730.9995681108762,0,,,98.13211202,
43.0,21.12570615,1 72,1 65,1 71,1 43,,,,7.441842003676811,157.21416738440354,0,,,21.12570615,
44.0,-52.18129927,1 72,1 65,1 71,1 44,,,,7.433627687367397,-387.8963510162761,0,,,-52.18129927,
45.0,-129.2331464,1 72,1 65,1 71,1 45,,,,7.424332748089664,-959.4698809561859,0,,,-129.2331464,
46.0,-203.5688386,1 72,1 65,1 71,1 46,,,,7.413758459586104,-1509.2101992788682,0,,,-203.5688386,
47.0,-263.954058,1 72,1 65,1 71,1 47,,,,7.4016580843738575,-1953.697687298986,0,,,-263.954058,
48.0,-313.9944812,1 72,1 65,1 71,1 48,,,,7.387722205559858,-2319.7040011844874,0,,,-313.9944812,
49.0,309.7808914,1 72,1 65,1 71,1 49,,,,7.371558532546507,2283.5679732195326,0,,,309.7808914,
50.0,243.8688565,1 72,1 65,1 71,1 50,,,,7.352663657337813,1793.0856783440804,0,,,243.8688565,
51.0,146.0884681,1 72,1 65,1 71,1 51,,,,7.330382858376184,1070.8844023666759,0,,,146.0884681,
52.0,50.22798792,1 72,1 65,1 71,1 52,,,,7.303851772876419,366.85777861750734,0,,,50.22798792,
53.0,-29.23996965,1 72,1 65,1 71,1 53,,,,7.271909898664698,-212.63042473449033,0,,,-29.23996965,
54.0,-104.1326272,1 72,1 65,1 71,1 54,,,,7.232969132683476,-753.1880782428358,0,,,-104.1326272,
55.0,-166.6177269,1 72,1 65,1 71,1 55,,,,7.184808310900424,-1197.1164289744572,0,,,-166.6177269,
