index,resist,a,b,m,n,ip,resError,phaseError,K,app,irecip,reciprocalErrRel,recipError,recipMean,reci_IP_err
1.0,-102.9087653,1 72,1 65,1 71,1 1,,,,7.525910034924181,-774.4821094529274,0,,,-102.9087653,
2.0,-139.9603308,1 72,1 65,1 71,1 2,,,,7.525488105557298,-1053.269804685265,0,,,-139.9603308,
3.0,-200.0209417,1 72,1 65,1 71,1 3,,,,7.525046680883054,-1505.1669234466879,0,,,-200.0209417,
4.0,-276.0506498,1 72,1 65,1 71,1 4,,,,7.5245845407124206,-2077.166451938698,0,,,-276.0506498,
5.0,-392.2883148,1 72,1 65,1 71,1 5,,,,7.524100367846867,-2951.616653688708,0,,,-392.2883148,
6.0,-527.5786203,1 72,1 65,1 71,1 6,,,,7.523592738670759,-3969.2866767670175,0,,,-527.5786203,
7.0,-767.0798714,1 72,1 65,1 71,1 7,,,,7.523060112661563,-5770.787983754901,0,,,-767.0798714,
8.0,-1058.615572,1 72,1 65,1 71,1 8,,,,7.522500820673164,-7963.43650914739,0,,,-1058.615572,
9.0,-79.18860755,1 72,1 65,1 71,1 9,,,,7.521913051825442,-595.6498206862277,0,,,-79.18860755,
10.0,-115.0639873,1 72,1 65,1 71,1 10,,,,7.5212948388072975,-865.4301738120784,0,,,-115.0639873,
11.0,-174.270656,1 72,1 65,1 71,1 11,,,,7.520644041369752,-1310.6275706319977,0,,,-174.270656,
12.0,-243.2087586,1 72,1 65,1 71,1 12,,,,7.51995832774975,-1828.9197296157488,0,,,-243.2087586,
13.0,-329.7474545,1 72,1 65,1 71,1 13,,,,7.51923515372265,-2479.44865172696,0,,,-329.7474545,
14.0,-433.4364064,1 72,1 65,1 71,1 14,,,,7.518471738930912,-3258.7793721421735,0,,,-433.4364064,
15.0,-556.3756085,1 72,1 65,1 71,1 15,,,,7.51766504007633,-4182.6454611716445,0,,,-556.3756085,
16.0,-644.6099877,1 72,1 65,1 71,1 16,,,,7.51681172049155,-4845.411910689274,0,,,-644.6099877,
17.0,-38.65275303,1 72,1 65,1 71,1 17,,,,7.515908115520665,-290.510540185393,0,,,-38.65275303,
18.0,-76.01292748,1 72,1 65,1 71,1 18,,,,7.514950193035715,-571.2333640390358,0,,,-76.01292748,
19.0,-129.2163067,1 72,1 65,1 71,1 19,,,,7.513933508291611,-970.9227367308157,0,,,-129.2163067,
20.0,-193.4117252,1 72,1 65,1 71,1 20,,,,7.512853152171809,-1453.0738893358077,0,,,-193.4117252,
21.0,-267.3383317,1 72,1 65,1 71,1 21,,,,7.511703691694722,-2008.1663331623984,0,,,-267.3383317,
22.0,-339.9251167,1 72,1 65,1 71,1 22,,,,7.510479101428526,-2553.000485026003,0,,,-339.9251167,
23.0,-410.6900952,1 72,1 65,1 71,1 23,,,,7.509172684190236,-3083.9428445433277,0,,,-410.6900952,
24.0,-463.8563269,1 72,1 65,1 71,1 24,,,,7.507776979070689,-3482.5298526961083,0,,,-463.8563269,
25.0,19.02681227,1 72,1 65,1 71,1 25,,,,7.506283654414926,142.82064993792235,0,,,19.02681227,
26.0,-22.06904831,1 72,1 65,1 71,1 26,,,,7.504683382876283,-165.6212201279509,0,,,-22.06904831,
27.0,-73.47470562,1 72,1 65,1 71,1 27,,,,7.502965695025903,-551.2781957189869,0,,,-73.47470562,
28.0,-130.6480621,1 72,1 65,1 71,1 28,,,,7.501118807202419,-980.0066357428595,0,,,-130.6480621,
29.0,-195.3781515,1 72,1 65,1 71,1 29,,,,7.499129418283731,-1465.1660436035456,0,,,-195.3781515,
30.0,-252.9514152,1 72,1 65,1 71,1 30,,,,7.496982468793824,-1896.3723252109878,0,,,-252.9514152,
31.0,-299.2819597,1 72,1 65,1 71,1 31,,,,7.494660854142906,-2243.016787714765,0,,,-299.2819597,
32.0,-331.0770329,1 72,1 65,1 71,1 32,,,,7.492145081731756,-2480.477163716078,0,,,-331.0770329,
33.0,93.80824633,1 72,1 65,1 71,1 33,,,,7.489412858987701,702.5686863429878,0,,,93.80824633,
34.0,53.87383339,1 72,1 65,1 71,1 34,,,,7.486438595944928,403.3231456024026,0,,,53.87383339,
35.0,-0.9339842143,1 72,1 65,1 71,1 35,,,,7.48319280146925,-6.989183949135673,0,,,-0.9339842143,
36.0,-62.2277601,1 72,1 65,1 71,1 36,,,,7.47964134628904,-465.4413273309154,0,,,-62.2277601,
37.0,-122.1442671,1 72,1 65,1 71,1 37,,,,7.475744558117355,-913.1193400780576,0,,,-122.1442671,
38.0,-170.9109625,1 72,1 65,1 71,1 38,,,,7.471456103615104,-1276.9537539453572,0,,,-170.9109625,
39.0,-209.3019101,1 72,1 65,1 71,1 39,,,,7.466721597728649,-1562.7990925895301,0,,,-209.3019101,
40.0,-237.9543217,1 72,1 65,1 71,1 40,,,,7.461476861569028,-1775.490665474903,0,,,-237.9543217,
41.0,194.4830579,1 72,1 65,1 71,1 41,,,,7.455645723351854,1449.996778896526,0,,,194.4830579,
42.0,146.2032495,1 72,1 65,1 71,1 42,,,,7.449137219852086,1089.088067513771,0,,,146.2032495,
43.0,77.41728314,1 72,1 65,1 71,1 43,,,,7.441842003676811,576.1271894817926,0,,,77.41728314,
44.0,8.617745542,1 72,1 65,1 71,1 44,,,,7.433627687367397,64.06111186369816,0,,,8.617745542,
45.0,-55.43549915,1 72,1 65,1 71,1 45,,,,7.424332748089664,-411.5715917460417,0,,,-55.43549915,
46.0,-109.1201742,1 72,1 65,1 71,1 46,,,,7.413758459586104,-808.9906145867593,0,,,-109.1201742,
47.0,-141.1099316,1 72,1 65,1 71,1 47,,,,7.4016580843738575,-1044.447466012582,0,,,-141.1099316,
48.0,-161.4797785,1 72,1 65,1 71,1 48,,,,7.387722205559858,-1192.9677453733375,0,,,-161.4797785,
49.0,328.322684,1 72,1 65,1 71,1 49,,,,7.371558532546507,2420.24988266877,0,,,328.322684,
50.0,263.1217328,1 72,1 65,1 71,1 50,,,,7.352663657337813,1934.6456022143109,0,,,263.1217328,
51.0,169.4114023,1 72,1 65,1 71,1 51,,,,7.330382858376184,1241.8504394333916,0,,,169.4114023,
52.0,80.05524719,1 72,1 65,1 71,1 52,,,,7.303851772876419,584.7116591167414,0,,,80.05524719,
53.0,7.688747617,1 72,1 65,1 71,1 53,,,,7.271909898664698,55.911879904396905,0,,,7.688747617,
54.0,-49.51256034,1 72,1 65,1 71,1 54,,,,7.232969132683476,-358.1228206193481,0,,,-49.51256034,
55.0,-87.14597265,1 72,1 65,1 71,1 55,,,,7.184808310900424,-626.127108557221,0,,,-87.14597265,
56.0,-105.937005,1 72,1 65,1 71,1 56,,,,7.1242416081406335,-754.7208188628023,0,,,-105.937005,
57.0,523.074107,1 72,1 65,1 71,1 57,,,,7.0465629613229,3685.8746284132517,0,,,523.074107,
58.0,404.6911954,1 72,1 65,1 71,1 58,,,,6.944573234251121,2810.4076437119306,0,,,404.6911954,
59.0,267.6690333,1 72,1 65,1 71,1 59,,,,6.806784082777885,1821.9653153189838,0,,,267.6690333,
60.0,147.5445952,1 72,1 65,1 71,1 60,,,,6.613879270715354,975.8421396993681,0,,,147.5445952,
