index,resist,a,b,m,n,ip,resError,phaseError,K,app,irecip,reciprocalErrRel,recipError,recipMean,reci_IP_err
54.0,-124.173615,1 72,1 65,1 71,1 55,,,,7.184808310900424,-892.1636210465496,0,,,-124.173615,
55.0,-158.5763341,1 72,1 65,1 71,1 56,,,,7.1242416081406335,-1129.7361174616303,0,,,-158.5763341,
56.0,584.0766712,1 72,1 65,1 71,1 57,,,,7.0465629613229,4115.733037850694,0,,,584.0766712,
57.0,468.3422167,1 72,1 65,1 71,1 58,,,,6.944573234251121,3252.436822564658,0,,,468.3422167,
58.0,322.3429843,1 72,1 65,1 71,1 59,,,,6.806784082777885,2194.1190947283617,0,,,322.3429843,
59.0,180.0338497,1 72,1 65,1 71,1 60,,,,6.613879270715354,1190.7221465579137,0,,,180.0338497,
60.0,86.2651349,1 72,1 65,1 71,1 61,,,,6.331148553799277,546.1573840654346,0,,,86.2651349,
61.0,0.03827599785,1 72,1 65,1 71,1 62,,,,5.8904862254808625,0.22546423810196012,0,,,0.03827599785,
62.0,-55.9551414,1 72,1 65,1 71,1 63,,,,5.140787978601479,-287.653518250066,0,,,-55.9551414,
63.0,-93.36833037,1 72,1 65,1 71,1 64,,,,3.677962131031953,-343.40518333854055,0,,,-93.36833037,
64.0,622.5955938,1 72,1 65,1 71,1 66,,,,3.7699111843077517,2347.1300923673457,0,,,622.5955938,
65.0,415.7603419,1 72,1 65,1 71,1 67,,,,5.543987035746694,2304.969945471213,0,,,415.7603419,
66.0,252.9248186,1 72,1 65,1 71,1 68,,,,6.854383971468639,1733.6438225984532,0,,,252.9248186,
67.0,144.4043662,1 72,1 65,1 71,1 69,,,,8.377580409572781,1209.7591893338938,0,,,144.4043662,
68.0,53.84109303,1 72,1 65,1 71,1 70,,,,11.780972450961722,634.3004337160972,0,,,53.84109303,
