index,resist,a,b,m,n,ip,resError,phaseError,K,app,irecip,reciprocalErrRel,recipError,recipMean,reci_IP_err
1.0,-286.2910422,1 72,1 65,1 71,1 10,,,,7.512853152171809,-2150.8625588308223,0,,,-286.2910422,
2.0,-344.4942266,1 72,1 65,1 71,1 11,,,,7.511703691694722,-2587.738553718738,0,,,-344.4942266,
3.0,-1081.860274,1 72,1 65,1 71,1 16,,,,7.510479101428526,-8125.288978542738,0,,,-1081.860274,
4.0,-202.783753,1 72,1 65,1 71,1 17,,,,7.509172684190236,-1522.7382188251797,0,,,-202.783753,
5.0,-240.059994,1 72,1 65,1 71,1 18,,,,7.507776979070689,-1802.3168965490477,0,,,-240.059994,
6.0,-765.8162381,1 72,1 65,1 71,1 24,,,,7.506283654414926,-5748.433910335559,0,,,-765.8162381,
7.0,-138.6309071,1 72,1 65,1 71,1 25,,,,7.504683382876283,-1040.3810648664357,0,,,-138.6309071,
8.0,-174.0462489,1 72,1 65,1 71,1 26,,,,7.502965695025903,-1305.8630348446397,0,,,-174.0462489,
9.0,-217.0459193,1 72,1 65,1 71,1 27,,,,7.501118807202419,-1628.0872272877684,0,,,-217.0459193,
10.0,-266.3381872,1 72,1 65,1 71,1 28,,,,7.499129418283731,-1997.3045348438795,0,,,-266.3381872,
11.0,-400.7184219,1 72,1 65,1 71,1 30,,,,7.496982468793824,-3004.1789839070275,0,,,-400.7184219,
12.0,-484.5536572,1 72,1 65,1 71,1 31,,,,7.494660854142906,-3631.5653263486206,0,,,-484.5536572,
13.0,-544.1251323,1 72,1 65,1 71,1 32,,,,7.492145081731756,-4076.6644338080864,0,,,-544.1251323,
14.0,-61.81354676,1 72,1 65,1 71,1 33,,,,7.489412858987701,-462.9471719639816,0,,,-61.81354676,
15.0,-95.12137465,1 72,1 65,1 71,1 34,,,,7.486438595944928,-712.1203304790974,0,,,-95.12137465,
16.0,-134.2286654,1 72,1 65,1 71,1 35,,,,7.48319280146925,-1004.4589826721046,0,,,-134.2286654,
17.0,-178.7299712,1 72,1 65,1 71,1 36,,,,7.47964134628904,-1336.8360824085694,0,,,-178.7299712,
18.0,-227.6053666,1 72,1 65,1 71,1 37,,,,7.475744558117355,-1701.5195807582554,0,,,-227.6053666,
19.0,-276.4232572,1 72,1 65,1 71,1 38,,,,7.471456103615104,-2065.284232188108,0,,,-276.4232572,
20.0,-336.8781858,1 72,1 65,1 71,1 39,,,,7.466721597728649,-2515.3756257165046,0,,,-336.8781858,
21.0,-386.1074109,1 72,1 65,1 71,1 40,,,,7.461476861569028,-2880.931512510675,0,,,-386.1074109,
22.0,26.73594096,1 72,1 65,1 71,1 41,,,,7.455645723351854,199.33370387821165,0,,,26.73594096,
23.0,-11.43711125,1 72,1 65,1 71,1 42,,,,7.449137219852086,-85.19661109996402,0,,,-11.43711125,
24.0,-56.04991511,1 72,1 65,1 71,1 43,,,,7.441842003676811,-417.1146125681176,0,,,-56.04991511,
25.0,-97.31327798,1 72,1 65,1 71,1 44,,,,7.433627687367397,-723.3906775406081,0,,,-97.31327798,
26.0,-140.1048033,1 72,1 65,1 71,1 45,,,,7.424332748089664,-1040.1846793048508,0,,,-140.1048033,
27.0,-187.4513727,1 72,1 65,1 71,1 46,,,,7.413758459586104,-1389.7192001156527,0,,,-187.4513727,
28.0,-224.5506331,1 72,1 65,1 71,1 47,,,,7.4016580843738575,-1662.047008835883,0,,,-224.5506331,
29.0,-261.9284399,1 72,1 65,1 71,1 48,,,,7.387722205559858,-1935.0545517168807,0,,,-261.9284399,
30.0,122.251709,1 72,1 65,1 71,1 49,,,,7.371558532546507,901.1856285973427,0,,,122.251709,
31.0,80.29398555,1 72,1 65,1 71,1 50,,,,7.352663657337813,590.3746694562925,0,,,80.29398555,
32.0,26.69141729,1 72,1 65,1 71,1 51,,,,7.330382858376184,195.6583077683817,0,,,26.69141729,
33.0,-17.04758443,1 72,1 65,1 71,1 52,,,,7.303851772876419,-124.51302976231594,0,,,-17.04758443,
34.0,-58.407235,1 72,1 65,1 71,1 53,,,,7.271909898664698,-424.7321503501352,0,,,-58.407235,
35.0,-101.7143874,1 72,1 65,1 71,1 54,,,,7.232969132683476,-735.6970244140092,0,,,-101.7143874,
36.0,-141.80294,1 72,1 65,1 71,1 55,,,,7.184808310900424,-1018.8269418221142,0,,,-141.80294,
37.0,-167.8360512,1 72,1 65,1 71,1 56,,,,7.1242416081406335,-1195.7045793050618,0,,,-167.8360512,
38.0,248.5082197,1 72,1 65,1 71,1 57,,,,7.0465629613229,1751.1288165223139,0,,,248.5082197,
39.0,174.6698028,1 72,1 65,1 71,1 58,,,,6.944573234251121,1213.0072373568016,0,,,174.6698028,
40.0,105.251595,1 72,1 65,1 71,1 59,,,,6.806784082777885,716.4248815329844,0,,,105.251595,
41.0,52.19126961,1 72,1 65,1 71,1 60,,,,6.613879270715354,345.1867561858952,0,,,52.19126961,
42.0,12.06127885,1 72,1 65,1 71,1 61,,,,6.331148553799277,76.36174814814731,0,,,12.06127885,
43.0,-26.03414131,1 72,1 65,1 71,1 62,,,,5.8904862254808625,-153.35375077877728,0,,,-26.03414131,
44.0,-58.59715274,1 72,1 65,1 71,1 63,,,,5.140787978601479,-301.2355383860667,0,,,-58.59715274,
45.0,-84.54885834,1 72,1 65,1 71,1 64,,,,3.677962131031953,-310.96749919650506,0,,,-84.54885834,
46.0,238.3019551,1 72,1 65,1 71,1 66,,,,3.7699111843077517,898.3772057738936,0,,,238.3019551,
47.0,152.1683944,1 72,1 65,1 71,1 67,,,,5.543987035746694,843.6196058039899,0,,,152.1683944,
48.0,93.69885765,1 72,1 65,1 71,1 68,,,,6.854383971468639,642.2479480210817,0,,,93.69885765,
49.0,54.06811478,1 72,1 65,1 71,1 69,,,,8.377580409572781,452.95997916346056,0,,,54.06811478,
50.0,20.41521144,1 72,1 65,1 71,1 70,,,,11.780972450961722,240.51104355519857,0,,,20.41521144,
