index,resist,a,b,m,n,ip,resError,phaseError,K,app,irecip,reciprocalErrRel,recipError,recipMean,reci_IP_err
1.0,-128.5803026,1 72,1 65,1 71,1 1,,,,8.33567155309668,-1071.803170671383,0,,,-128.5803026,
2.0,-164.2309213,1 72,1 65,1 71,1 2,,,,8.333278027713591,-1368.58192794045,0,,,-164.2309213,
3.0,-225.3281203,1 72,1 65,1 71,1 3,,,,8.330673464390403,-1877.1349925641784,0,,,-225.3281203,
4.0,-307.945876,1 72,1 65,1 71,1 4,,,,8.32783230737817,-2564.521615076672,0,,,-307.945876,
5.0,-598.7914188,1 72,1 65,1 71,1 6,,,,8.32472501266696,-4984.773901454697,0,,,-598.7914188,
6.0,-1038.181364,1 72,1 65,1 71,1 7,,,,8.321317277204933,-8639.036521125385,0,,,-1038.181364,
7.0,-1574.674565,1 72,1 65,1 71,1 8,,,,8.317569088587303,-13097.464486428658,0,,,-1574.674565,
8.0,-139.5662935,1 72,1 65,1 71,1 10,,,,8.313433545793512,-1160.275106244963,0,,,-139.5662935,
9.0,-195.3429044,1 72,1 65,1 71,1 11,,,,8.30885538570426,-1623.0759432830525,0,,,-195.3429044,
10.0,-265.8185682,1 72,1 65,1 71,1 12,,,,8.30376912843117,-2207.2960203829357,0,,,-265.8185682,
11.0,-353.4517233,1 72,1 65,1 71,1 13,,,,8.29809672447247,-2932.97658737488,0,,,-353.4517233,
12.0,-477.3165751,1 72,1 65,1 71,1 14,,,,8.291744544720602,-3957.787107690147,0,,,-477.3165751,
13.0,-686.187048,1 72,1 65,1 71,1 15,,,,8.284599494927134,-5684.7848712863415,0,,,-686.187048,
14.0,-845.7505558,1 72,1 65,1 71,1 16,,,,8.276523951073713,-6999.874731712605,0,,,-845.7505558,
15.0,-147.0798767,1 72,1 65,1 71,1 19,,,,8.267349088394193,-1215.9606845568753,0,,,-147.0798767,
16.0,-211.2975139,1 72,1 65,1 71,1 20,,,,8.256865994449253,-1744.6552572325784,0,,,-211.2975139,
17.0,-282.7416257,1 72,1 65,1 71,1 21,,,,8.24481368358906,-2331.152024491576,0,,,-282.7416257,
18.0,-361.1132174,1 72,1 65,1 71,1 22,,,,8.230862714133679,-2972.273316678509,0,,,-361.1132174,
19.0,-472.5621358,1 72,1 65,1 71,1 23,,,,8.21459246386125,-3881.9053594488564,0,,,-472.5621358,
20.0,-568.456443,1 72,1 65,1 71,1 24,,,,8.1954590963212,-4658.761526646744,0,,,-568.456443,
21.0,-208.6342355,1 72,1 65,1 71,1 29,,,,8.172749592712812,-1705.1153632085739,0,,,-208.6342355,
22.0,-265.261919,1 72,1 65,1 71,1 30,,,,8.145514470249436,-2160.6947996206336,0,,,-265.261919,
23.0,-329.7420906,1 72,1 65,1 71,1 31,,,,8.112467105472376,-2675.021863282192,0,,,-329.7420906,
24.0,-387.4006068,1 72,1 65,1 71,1 32,,,,8.07182929973436,-3127.0315687031098,0,,,-387.4006068,
25.0,-185.0860177,1 72,1 65,1 71,1 38,,,,8.021087626186706,-1484.5911663536438,0,,,-185.0860177,
26.0,-267.1419328,1 72,1 65,1 71,1 40,,,,7.9565964693932445,-2125.5405593433675,0,,,-267.1419328,
27.0,-116.5090835,1 72,1 65,1 71,1 46,,,,7.872906890923819,-917.2651663423686,0,,,-116.5090835,
28.0,-153.8038447,1 72,1 65,1 71,1 47,,,,7.7615818500453715,-1193.7611294907172,0,,,-153.8038447,
29.0,-181.0541348,1 72,1 65,1 71,1 48,,,,7.608995050896381,-1377.6400156375262,0,,,-181.0541348,
30.0,-92.62100301,1 72,1 65,1 71,1 55,,,,7.3919827143289245,-684.6528532337272,0,,,-92.62100301,
31.0,-116.281017,1 72,1 65,1 71,1 56,,,,7.0685834705770345,-821.9420747080871,0,,,-116.281017,
32.0,271.5347641,1 72,1 65,1 71,1 59,,,,6.55636727705696,1780.2816419286212,0,,,271.5347641,
33.0,-38.32336389,1 72,1 65,1 71,1 63,,,,5.675135116162207,-217.4902681816017,0,,,-38.32336389,
34.0,-62.13458586,1 72,1 65,1 71,1 64,,,,3.968327562429212,-246.57038964836238,0,,,-62.13458586,
35.0,223.9525624,1 72,1 65,1 71,1 68,,,,4.1887902047863905,938.0902997179329,0,,,223.9525624,
36.0,123.4318129,1 72,1 65,1 71,1 69,,,,6.854383971468639,846.049039911076,0,,,123.4318129,
37.0,46.46509926,1 72,1 65,1 71,1 70,,,,10.771174812307864,500.4837068006968,0,,,46.46509926,
