322
1	1 72	1 65	1 71	1 1
2	1 72	1 65	1 71	1 9
3	1 72	1 65	1 71	1 11
4	1 72	1 65	1 71	1 16
5	1 72	1 65	1 71	1 17
6	1 72	1 65	1 71	1 18
7	1 72	1 65	1 71	1 25
8	1 72	1 65	1 71	1 26
9	1 72	1 65	1 71	1 27
10	1 72	1 65	1 71	1 28
11	1 72	1 65	1 71	1 30
12	1 72	1 65	1 71	1 31
13	1 72	1 65	1 71	1 32
14	1 72	1 65	1 71	1 33
15	1 72	1 65	1 71	1 34
16	1 72	1 65	1 71	1 35
17	1 72	1 65	1 71	1 36
18	1 72	1 65	1 71	1 37
19	1 72	1 65	1 71	1 38
20	1 72	1 65	1 71	1 39
21	1 72	1 65	1 71	1 40
22	1 72	1 65	1 71	1 41
23	1 72	1 65	1 71	1 42
24	1 72	1 65	1 71	1 43
25	1 72	1 65	1 71	1 44
26	1 72	1 65	1 71	1 45
27	1 72	1 65	1 71	1 46
28	1 72	1 65	1 71	1 47
29	1 72	1 65	1 71	1 48
30	1 72	1 65	1 71	1 49
31	1 72	1 65	1 71	1 50
32	1 72	1 65	1 71	1 51
33	1 72	1 65	1 71	1 52
34	1 72	1 65	1 71	1 53
35	1 72	1 65	1 71	1 54
36	1 72	1 65	1 71	1 55
37	1 72	1 65	1 71	1 56
38	1 72	1 65	1 71	1 59
39	1 72	1 65	1 71	1 60
40	1 72	1 65	1 71	1 61
41	1 72	1 65	1 71	1 62
42	1 72	1 65	1 71	1 63
43	1 72	1 65	1 71	1 64
44	1 72	1 65	1 71	1 67
45	1 72	1 65	1 71	1 68
46	1 72	1 65	1 71	1 69
47	1 72	1 65	1 71	1 70
48	1 72	1 65	1 2	1 1
49	1 72	1 65	1 4	1 3
50	1 72	1 65	1 3	1 2
51	1 72	1 65	1 6	1 5
52	1 72	1 65	1 8	1 7
53	1 72	1 65	1 7	1 6
54	1 72	1 65	1 10	1 9
55	1 72	1 65	1 9	1 1
56	1 72	1 65	1 14	1 13
57	1 72	1 65	1 13	1 12
58	1 72	1 65	1 12	1 11
59	1 72	1 65	1 11	1 10
