       26699        7640           1           0           4
         1           6031      6344      3254      6345              1         1
         2           5035      6287      6309      6555              2         1
         3           3977      6418      3149      6484              3         1
         4           5244      6225      6125      6669              4         1
         5           6290      6599      5063      6674              5         1
         6           6247      6573      6265      6889              6         1
         7           3802      3895      2447      6334              7         1
         8           3904      2329      3088      6892              8         1
         9           6267      6346      6229      6746              9         1
        10           2327      3916      3880      6791             10         1
        11           5213      6620      6382      6756             11         1
        12           3655      3026      3891      6454             12         1
        13           3655      3891      2656      6454             13         1
        14           2828      6286      6285      6602             14         1
        15           3877      2314      3912      6453             15         1
        16           6031      3254      2877      6345             16         1
        17           2595      3977      3149      6484             17         1
        18           3986      2595      3149      6484             18         1
        19           5233      5636      6768      6815             19         1
        20           4242      4229      4256      6545             20         1
        21           2698      3636      3011      6435             21         1
        22           5365      6654      6344      6690             22         1
        23           3557      2450      3017      6650             23         1
        24           6023      6125      6225      6669             24         1
        25           2671      3557      3017      6292             25         1
        26           6481      6642      6382      6689             26         1
        27           6536      6543      6449      6646             27         1
        28           6235      6555      6367      6932             28         1
        29           4268      4241      4230      6545             29         1
        30           6250      6468      6288      6917             30         1
        31           5390      6285      5592      6384             31         1
        32           2828      6285      6286      6814             32         1
        33           2628      3181      4043      6252             33         1
        34           3845      3181      2628      6252             34         1
        35           2984      3693      3688      6854             35         1
        36           2651      3493      3002      6388             36         1
        37           3290      6423      6369      6563             37         1
        38           5135      6309      5551      6762             38         1
        39           5437      6306      5516      6389             39         1
        40           2481      2978      3531      6823             40         1
        41           6244      6438      2903      6577             41         1
        42           5082      6274      6236      6538             42         1
        43           2450      3132      3850      6650             43         1
        44           3801      3068      2652      6354             44         1
        45           5551      6309      5345      6762             45         1
        46           5650      2741      4218      6858             46         1
        47           2863      3262        28      6813             47         1
        48           3292      6287      2581      6650             48         1
        49           5233      6768      6222      6815             49         1
        50           3807      3001      2457      6297             50         1
        51           2457      3001      3982      6297             51         1
        52           2967      2457      3982      6297             52         1
        53           3066      2443      3760      6379             53         1
        54           3731      2443      3066      6379             54         1
        55           5621      6473      6279      6799             55         1
        56           4268      4230      6381      6545             56         1
        57           6194      6465      4146      6562             57         1
        58           2316      4045      4043      6493             58         1
        59           4045      3182      4043      6493             59         1
        60           6324      6659      6376      6712             60         1
        61           3329      4094      2734      6240             61         1
        62           5437      6384      6306      6784             62         1
        63           5437      6306      6389      6784             63         1
        64           2828      6814      6286      6867             64         1
        65           3690      2681      3000      6371             65         1
        66           2681      3808      3000      6371             66         1
        67           2917      3535      3536      6283             67         1
        68           3996      3903      2724      6424             68         1
        69           3099      3903      3996      6424             69         1
        70           2864      6194      4146      6562             70         1
        71           2814      3194      2508      6551             71         1
