58
1	1 72	1 65	1 71	1 1
2	1 72	1 65	1 71	1 2
3	1 72	1 65	1 71	1 3
4	1 72	1 65	1 71	1 6
5	1 72	1 65	1 71	1 7
6	1 72	1 65	1 71	1 8
7	1 72	1 65	1 71	1 10
8	1 72	1 65	1 71	1 11
9	1 72	1 65	1 71	1 15
10	1 72	1 65	1 71	1 16
11	1 72	1 65	1 71	1 17
12	1 72	1 65	1 71	1 18
13	1 72	1 65	1 71	1 19
14	1 72	1 65	1 71	1 20
15	1 72	1 65	1 71	1 21
16	1 72	1 65	1 71	1 24
17	1 72	1 65	1 71	1 25
18	1 72	1 65	1 71	1 26
19	1 72	1 65	1 71	1 27
20	1 72	1 65	1 71	1 28
21	1 72	1 65	1 71	1 29
22	1 72	1 65	1 71	1 30
23	1 72	1 65	1 71	1 31
24	1 72	1 65	1 71	1 32
25	1 72	1 65	1 71	1 33
26	1 72	1 65	1 71	1 34
27	1 72	1 65	1 71	1 35
28	1 72	1 65	1 71	1 36
29	1 72	1 65	1 71	1 37
30	1 72	1 65	1 71	1 38
31	1 72	1 65	1 71	1 39
32	1 72	1 65	1 71	1 40
33	1 72	1 65	1 71	1 41
34	1 72	1 65	1 71	1 42
35	1 72	1 65	1 71	1 43
36	1 72	1 65	1 71	1 44
37	1 72	1 65	1 71	1 45
38	1 72	1 65	1 71	1 46
39	1 72	1 65	1 71	1 47
40	1 72	1 65	1 71	1 48
41	1 72	1 65	1 71	1 49
42	1 72	1 65	1 71	1 50
43	1 72	1 65	1 71	1 51
44	1 72	1 65	1 71	1 52
45	1 72	1 65	1 71	1 53
46	1 72	1 65	1 71	1 54
47	1 72	1 65	1 71	1 55
48	1 72	1 65	1 71	1 56
49	1 72	1 65	1 71	1 59
50	1 72	1 65	1 71	1 60
51	1 72	1 65	1 71	1 61
52	1 72	1 65	1 71	1 62
53	1 72	1 65	1 71	1 63
54	1 72	1 65	1 71	1 64
55	1 72	1 65	1 71	1 67
56	1 72	1 65	1 71	1 68
57	1 72	1 65	1 71	1 69
58	1 72	1 65	1 71	1 70
