index,resist,a,b,m,n,ip,resError,phaseError,K,app,irecip,reciprocalErrRel,recipError,recipMean,reci_IP_err
1.0,-291.4650699,1 72,1 65,1 71,1 1,,,,7.5245845407124206,-2193.153559127205,0,,,-291.4650699,
2.0,-339.8179238,1 72,1 65,1 71,1 2,,,,7.524100367846867,-2556.824165464539,0,,,-339.8179238,
3.0,-414.9002709,1 72,1 65,1 71,1 3,,,,7.523592738670759,-3121.540665415771,0,,,-414.9002709,
4.0,-505.3881842,1 72,1 65,1 71,1 4,,,,7.523060112661563,-3802.0656899654746,0,,,-505.3881842,
5.0,-671.285946,1 72,1 65,1 71,1 5,,,,7.522500820673164,-5049.749079691361,0,,,-671.285946,
6.0,-919.3986992,1 72,1 65,1 71,1 6,,,,7.521913051825442,-6915.637075343814,0,,,-919.3986992,
7.0,-1490.532476,1 72,1 65,1 71,1 7,,,,7.5212948388072975,-11210.734218813463,0,,,-1490.532476,
8.0,-2135.23861,1 72,1 65,1 71,1 8,,,,7.520644041369752,-16058.369529199132,0,,,-2135.23861,
9.0,-259.5827454,1 72,1 65,1 71,1 9,,,,7.51995832774975,-1952.0514280108732,0,,,-259.5827454,
10.0,-304.1650073,1 72,1 65,1 71,1 10,,,,7.51923515372265,-2287.0882154224664,0,,,-304.1650073,
11.0,-459.2597308,1 72,1 65,1 71,1 12,,,,7.518471738930912,-3452.9313068488186,0,,,-459.2597308,
12.0,-579.0320387,1 72,1 65,1 71,1 13,,,,7.51766504007633,-4352.968914419115,0,,,-579.0320387,
13.0,-778.4788672,1 72,1 65,1 71,1 14,,,,7.51681172049155,-5851.679073123944,0,,,-778.4788672,
14.0,-1043.657369,1 72,1 65,1 71,1 15,,,,7.515908115520665,-7844.032889490045,0,,,-1043.657369,
15.0,-203.1854473,1 72,1 65,1 71,1 17,,,,7.514950193035715,-1526.928516409183,0,,,-203.1854473,
16.0,-248.4954212,1 72,1 65,1 71,1 18,,,,7.513933508291611,-1867.1780720117176,0,,,-248.4954212,
17.0,-310.3886036,1 72,1 65,1 71,1 19,,,,7.512853152171809,-2331.9039989544663,0,,,-310.3886036,
18.0,-383.5240016,1 72,1 65,1 71,1 20,,,,7.511703691694722,-2880.9186586722526,0,,,-383.5240016,
19.0,-480.1471013,1 72,1 65,1 71,1 21,,,,7.510479101428526,-3606.1347699251355,0,,,-480.1471013,
20.0,-611.3611365,1 72,1 65,1 71,1 22,,,,7.509172684190236,-4590.816346381299,0,,,-611.3611365,
21.0,-766.27449,1 72,1 65,1 71,1 23,,,,7.507776979070689,-5753.017975671133,0,,,-766.27449,
22.0,-126.9311529,1 72,1 65,1 71,1 25,,,,7.506283654414926,-952.7812382493117,0,,,-126.9311529,
23.0,-170.330141,1 72,1 65,1 71,1 26,,,,7.504683382876283,-1278.2737787656743,0,,,-170.330141,
24.0,-224.8671283,1 72,1 65,1 71,1 27,,,,7.502965695025903,-1687.1703495738884,0,,,-224.8671283,
25.0,-288.8586848,1 72,1 65,1 71,1 28,,,,7.501118807202419,-2166.7633131770353,0,,,-288.8586848,
26.0,-364.9125776,1 72,1 65,1 71,1 29,,,,7.499129418283731,-2736.5266457819052,0,,,-364.9125776,
27.0,-458.5808905,1 72,1 65,1 71,1 30,,,,7.496982468793824,-3437.9728966023604,0,,,-458.5808905,
28.0,-560.0250033,1 72,1 65,1 71,1 31,,,,7.494660854142906,-4197.197469573762,0,,,-560.0250033,
29.0,-627.9867039,1 72,1 65,1 71,1 32,,,,7.492145081731756,-4704.967495017321,0,,,-627.9867039,
