1493
1	1 1	1 3	1 2	1 4	307.6986273174021
2	1 1	1 3	1 4	1 6	-155.43471414861415
3	1 1	1 3	1 6	1 8	-35.87971957343063
4	1 1	1 3	1 20	1 22	8.65415227377915
5	1 1	1 3	1 5	1 7	-63.51649148198622
6	1 1	1 3	1 7	1 9	-246.24001706643406
7	1 1	1 3	1 13	1 15	-22.106619009607346
8	1 1	1 3	1 28	1 30	17.50116842566443
9	1 1	1 3	1 36	1 38	16.491802557260847
10	1 1	1 3	1 38	1 40	4.5407214897256525
11	1 1	1 3	1 37	1 39	8.601595871173412
12	1 1	1 3	1 46	1 48	5.431450876631928
13	1 1	1 3	1 54	1 56	5.734938385053875
14	1 1	1 3	1 60	1 62	10.395066385628951
15	1 1	1 3	1 45	1 47	9.402685809483126
16	1 1	1 3	1 53	1 55	9.31728783629229
17	1 1	1 3	1 61	1 63	8.36830249685243
18	1 1	1 3	1 63	1 65	-25.119466398049592
19	1 1	1 3	1 62	1 64	5.150245546848939
20	1 1	1 3	1 64	1 66	-25.61157250206308
21	1 1	1 3	1 68	1 70	8.960876602560752
22	1 1	1 3	1 70	1 72	3.8160083163273217
23	1 1	1 3	1 67	1 69	9.826706901050576
24	1 1	1 3	1 69	1 71	7.047173462200822
25	1 2	1 4	1 3	1 5	364.3369415306915
26	1 2	1 4	1 5	1 7	-214.0008326148737
27	1 2	1 4	1 7	1 9	-329.1238446738447
28	1 2	1 4	1 11	1 13	157.49926718162013
29	1 2	1 4	1 13	1 15	-31.040324380074082
30	1 2	1 4	1 15	1 17	-230.27689456756622
31	1 2	1 4	1 19	1 21	100.78901616778387
32	1 2	1 4	1 6	1 8	-100.1003166978566
33	1 2	1 4	1 12	1 14	15.293009214050581
34	1 2	1 4	1 14	1 16	-37.18430333046558
35	1 2	1 4	1 16	1 18	-180.10360396117915
36	1 2	1 4	1 20	1 22	49.52054811431919
37	1 2	1 4	1 22	1 24	-11.169752156038314
38	1 2	1 4	1 24	1 26	-130.36216583987328
39	1 2	1 4	1 23	1 25	-158.9553172864959
40	1 2	1 4	1 27	1 29	63.60362695475985
