filename,PRD_MALM_11_080622,PRD_MALM2_11_080622,PRD_MALM_12_150622,PRD_MALM2_12_150622,PRD_MALM_13_150622,PRD_MALM2_13_150622,PRD_MALM_14_220622,PRD_MALM2_14_220622,PRD_MALM_15_220622,PRD_MALM2_15_220622,PRD_MALM_16_230622,PRD_MALM2_16_230622,PRD_MALM_17_230622,PRD_MALM2_17_230622,PRD_MALM_18_290622,PRD_MALM2_18_290622,PRD_MALM_19_290622,PRD_MALM2_19_290622,PRD_MALM_20_050722,PRD_MALM2_20_050722,PRD_MALM_21_050722,PRD_MALM2_21_050722,PRD_MALM_22_070722,PRD_MALM2_22_070722,PRD_MALM_23_110722,PRD_MALM2_23_110722,PRD_MALM_24_110722,PRD_MALM2_24_110722,PRD_MALM_25_120722,PRD_MALM2_25_120722
datetime,2022-06-08 12:05:00,2022-06-08 12:15:00,2022-06-15 17:05:00,2022-06-15 17:15:00,2022-06-15 18:25:00,2022-06-15 18:35:00,2022-06-22 16:44:00,2022-06-22 16:58:00,2022-06-22 17:52:00,2022-06-22 18:00:00,2022-06-23 11:30:00,2022-06-23 11:44:00,2022-06-23 16:10:00,2022-06-23 16:26:00,2022-06-29 10:14:00,2022-06-29 10:24:00,2022-06-29 14:50:00,2022-06-29 15:02:00,2022-07-05 17:15:00,2022-07-05 17:55:00,2022-07-05 19:15:00,2022-07-05 19:35:00,2022-07-07 13:50:00,2022-07-07 14:20:00,2022-07-11 12:05:00,2022-07-11 12:15:00,2022-07-11 16:30:00,2022-07-11 16:40:00,2022-07-12 12:40:00,2022-07-12 12:50:00
injection,Stem,Soil,Stem,Soil,Stem,Soil,Stem,Soil,Stem,Soil,Stem,Soil,Stem,Soil,Stem,Soil,Stem,Soil,Stem,Soil,Stem,Soil,Stem,Soil,Stem,Soil,Stem,Soil,Stem,Soil
11,4.9978922382823906e-42,6.739614233531073e-28,0.0002662822119989558,2.2991677102733205e-29,6.415421579830662e-05,1.6926632277492785e-25,2.281385637096678e-38,0.018809469848015063,5.661492126530336e-27,5.430931537970125e-22,0.00011763197675982695,1.5926237905219645e-39,9.385646354377927e-34,0.0033914412084753644,4.54079692809649e-26,3.453924303568373e-27,0.0002779726153176116,8.278264362097172e-12,7.831642466849904e-05,1.3108737056179519e-20,0.0008205938766297883,3.740444925751105e-27,1.7807699225396243e-05,2.1675895423972202e-32,0.00046689197552931346,1.5319117825332727e-24,6.784494626264209e-05,2.106299157765431e-27,3.138075802482342e-05,1.2900853981392346e-25
12,3.399686559181927e-42,7.997042007622624e-28,0.0002897915006394002,2.0557942485528034e-29,4.441849279213971e-05,1.7357443084529579e-25,5.76600431005334e-40,7.359003048610785e-25,1.1122899652568226e-27,8.024360998719374e-23,7.241807959692135e-05,4.9480527974000996e-40,4.445736349722182e-34,0.0008284460490443352,1.0791553690741774e-27,9.139903378427525e-28,0.0004123644647522104,0.0012372275514072168,6.525586689354528e-05,1.8819640270640076e-21,0.0006694760696121383,5.311999335246116e-28,2.9194968189741082e-05,4.4262571217801206e-33,0.000324435087726218,2.997095725453429e-25,4.848874526697419e-05,7.471181912728035e-28,2.1738433066260283e-05,2.1550257438781118e-26
13,1.9289188801122192e-42,1.802055237773967e-27,8.734187729112343e-05,1.6165226807882313e-30,1.4926544241504998e-05,2.7069665512087405e-25,1.033747398803242e-40,5.731844260698846e-26,2.685236205648878e-29,3.8092246727936836e-24,2.0585417919576933e-05,1.6367702433735885e-40,3.0789997931391643e-35,0.00010212145814092897,1.4355298965057605e-30,4.2198288299306033e-29,1.8874760280786318e-05,0.0002800761679656683,1.1274975491605744e-05,4.395151860797045e-23,0.00041520739757724745,1.997293174341617e-29,7.15576223649002e-06,4.968289321887786e-34,0.00016004158021737508,1.7691151142294392e-26,2.473240672595839e-05,1.4190085417860897e-28,9.044606430551819e-06,1.139117747144566e-27
14,2.122972439466768e-42,6.565047449852266e-27,1.566742287447026e-05,2.9777277042551656e-32,3.61673199891512e-06,3.7663792446409535e-25,8.390293760295667e-42,3.986670406095983e-28,5.060588250724281e-31,2.6309020063747328e-25,3.185116951825387e-06,2.2192455615707567e-41,4.446562724314362e-37,1.739812297949529e-05,1.132238657613275e-31,5.256973135095256e-30,2.801800448467508e-06,0.00011849040033670961,4.9103567139209345e-06,5.8179700713460996e-24,0.00015739605871974716,1.8679528644153437e-30,2.7144030744012134e-06,5.597217370486096e-35,8.088301298914235e-05,1.1289915204605938e-27,1.5098339481552905e-05,2.8327910350522653e-29,4.280844443145468e-06,5.232671988594998e-29
15,8.53853813241543e-42,3.508742950637247e-26,4.9489476271394015e-06,1.7308777072859122e-33,9.280300614734713e-07,3.767036526012374e-25,1.1315242071609721e-42,2.4550135282034674e-29,1.9347764874351784e-32,1.8827757199845008e-26,7.018269408567321e-07,1.9514631940672726e-42,5.891339613771872e-38,4.666761982473868e-06,2.5368693538603193e-32,1.1436665580104685e-30,9.74148701260821e-07,7.74860892341082e-05,3.214762884023568e-06,1.980100571768192e-24,5.608267545938133e-05,2.7992398485676227e-31,1.0755985041131985e-06,6.332505158137264e-36,3.488749032288854e-05,5.368869165132118e-29,9.74286997180162e-06,3.0782971491537053e-30,1.76500009168871e-06,9.406959370139002e-31
16,2.1828952990687694e-45,2.1423381853243138e-36,6.249588351297158e-07,2.2715519481087908e-35,1.7323858332086477e-07,1.7934130373716073e-25,3.858972340407959e-44,8.915612785645405e-31,5.24767134183977e-34,1.0768262511090842e-27,7.828615170488528e-08,2.594234741839318e-48,3.4360226996878896e-39,9.410403780316655e-07,3.471681411126172e-33,1.5074440093658845e-31,4.013929800778393e-07,5.476473353818766e-05,1.989717441115898e-06,5.743828927265091e-25,2.6779257427597535e-05,2.5121145801572247e-32,2.8254809455131905e-07,3.389174636414391e-37,9.113820729824376e-06,1.1542324556924673e-30,5.389097901611129e-06,6.289444412343744e-34,5.098310966159139e-07,4.195366154049622e-33
17,1.7083256513234485e-45,7.407160361575895e-31,1.2969475236034669e-06,1.0487327966753767e-34,3.441466228891653e-07,4.739312398818412e-25,1.3810918555000349e-43,4.149286569785877e-30,1.4110539072960382e-33,2.035869707644766e-27,1.60836896245592e-07,8.823354930455429e-44,1.207278867959289e-38,1.6016460349394813e-06,7.662950681094718e-33,3.36667056228717e-31,6.654101414864853e-07,0.0001219300043663366,2.609054111528351e-06,1.0115257673474123e-24,4.0423964248830415e-05,5.172726744342188e-32,4.459688117631854e-07,7.875654308250305e-37,1.3203558675478777e-05,2.8962093126294104e-30,6.706189353362018e-06,1.0234207054311257e-31,7.065725973426451e-07,1.4850080378023438e-32
18,1.4162506796096022e-46,6.783423183991511e-34,2.3149921128135477e-06,3.5528463042221777e-34,5.779349902961513e-07,7.004655063243635e-25,7.909237251673489e-43,1.3745892031739545e-29,2.9821986738085315e-33,3.2861064160747554e-27,2.780843098378092e-07,2.6206646028156113e-43,3.259019959018753e-38,2.4079973766761956e-06,1.5577653595131406e-32,6.826842864000401e-31,9.881414633903e-07,0.0001176525595576737,3.2624325553825738e-06,1.6311902230615094e-24,5.4697770800548275e-05,7.420123096142229e-32,6.634289278942336e-07,1.4975757851446374e-36,1.847693372402554e-05,6.576953711268807e-30,8.012116915982345e-06,2.6904899254233596e-31,9.351816567053e-07,3.300303245689269e-32
19,8.841803120987863e-42,6.058798600043293e-28,0.00024345785409367907,2.835737901896066e-35,3.601983007673325e-05,3.322110324190413e-26,1.914801903318283e-36,1.7191039921809832e-21,1.47311242312778e-25,2.8071524694604927e-21,1.7955215503507436e-11,2.2835033184395825e-40,6.446864451079997e-33,2.3508678580776947e-11,4.688381653683133e-27,3.166879801732067e-30,5.033716033558042e-12,7.101684074439046e-05,1.5665622288310838e-11,5.672254414758333e-22,0.0007109066257094753,5.688279296175356e-25,4.3236252527752946e-11,3.009038338556929e-30,1.6436558422695652e-10,4.563914722859648e-28,0.00012199331672506615,4.8929305550470754e-26,1.1065787064416263e-11,1.2527794944751171e-23
20,7.388539802974138e-42,5.111815476010686e-28,0.05952716728036372,0.053847575189214444,1.6146037513924724e-05,1.1451663997651063e-26,0.08978759209559295,0.048725349875446494,8.401275110223439e-25,6.136540989104982e-28,3.933384542284615e-05,0.06104612640459922,1.4863252459288355e-39,0.052582966947807494,0.10202675896539595,0.07166341137593495,0.057581126257874544,0.028007568601374787,0.09775103849309089,0.0768220681589264,2.1578741513739604e-10,2.552627671550359e-25,0.04383059450623479,0.005177168349029421,0.04787677623132539,0.004132677151443938,0.023312430892352316,2.180485651963048e-21,0.0385655964670604,4.981882074889554e-22
21,3.410798118080414e-42,7.8775478346863945e-28,0.003096100274931377,5.762716723007893e-29,0.0001015268859389617,1.6425198389767288e-25,3.892195333553404e-38,3.844766107851785e-23,0.006321502539602657,2.871343779532477e-22,0.0297401474470051,1.3987736117334286e-51,0.04247578464818471,0.0016525535501165506,6.803113902572168e-29,5.841445271661207e-28,8.163843906168571e-05,1.5377872124274493e-05,2.3556852872402994e-05,2.9121286314332132e-22,0.005934414983315972,2.192362103447257e-26,4.96575617877148e-05,1.831134553453874e-32,0.00031991975647792956,2.8160224729766237e-24,0.00010533364692734527,1.859700636940235e-26,5.524179321628262e-05,4.887758059187973e-24
