PRD_MALM_19_290622,PRD_MALM2_19_290622,PRD_MALM_20_050722,PRD_MALM2_20_050722
2022-06-29 14:50:00,2022-06-29 15:02:00,2022-07-05 17:15:00,2022-07-05 17:55:00
Stem,Soil,Stem,Soil
0.004411635764188722,0.0006724405111676125,0.0007363893947085861,4.821590103587502e-23
0.010070123146647226,0.0011394262741357018,0.0008884322413501573,9.728750881060814e-23
0.025484204689184057,0.0005620837504321635,0.042733927522983044,2.139063902770401e-22
0.1413303622756074,8.249791706480615e-09,0.11677007720745433,4.281482933079811e-28
0.05778964818599886,0.04129738264867385,0.07677763179893246,3.158245531706604e-18
0.05291484274379498,0.0003912885246697164,0.020646345176195798,2.456617507195793e-27
0.045383313208084794,0.0002858299075831777,0.022929736699554473,3.0883891023097286e-21
0.004133355334415447,0.0002761268152971681,0.001265795615573484,3.756349258634588e-21
0.002058190525184645,0.00015242494426764955,0.001325201870795004,2.423488999016676e-21
0.0022535748746944986,0.0011100930009133314,0.0006095917142398301,5.350813180284893e-23
0.0018316625324212362,0.0010774222553171604,0.0007782620461669704,3.189308367294101e-23
0.010546012947612775,0.0015136798868771312,0.03221888383190698,6.115710807713828e-23
0.019833749720115236,0.23288593915291528,0.011765634279234891,3.6700650642107697e-22
0.044101816841087244,0.6175665773672064,0.008688215008870228,0.616718166302928
0.03574961989331531,6.933429147883994e-11,0.009780684731100497,0.19862357927712168
0.02367151891616948,0.00023188946675309195,0.059696077753568465,1.7133129746819404e-21
0.000736470717632003,0.0006784856229986165,0.0019914806186789587,3.574218091175327e-21
