PRD_MALM_19_290622,PRD_MALM2_19_290622,PRD_MALM_20_050722,PRD_MALM2_20_050722
2022-06-29 14:50:00,2022-06-29 15:02:00,2022-07-05 17:15:00,2022-07-05 17:55:00
Stem,Soil,Stem,Soil
0.0011750208767600735,0.0009852329900495763,2.98169582816564e-09,8.020067374130604e-21
0.00013780933539587855,0.001695545839461882,5.688520882404571e-05,5.708355417156893e-21
0.000136888574017128,8.76204638073229e-11,4.8221196893998594e-05,2.164789880182512e-28
5.291835663689446e-05,0.0004162140513137398,2.5622286418582207e-05,2.6502802944058013e-22
1.0420990351411877e-05,0.00022626144506910492,9.9400438985952e-06,2.867969156313237e-23
2.493331706304937e-06,0.00012383238279328239,4.9683522174819985e-06,5.655111489674285e-24
1.033911917776489e-06,8.363594724779895e-05,3.307382515897421e-06,2.076047390935727e-24
6.704734258728073e-07,0.00012504327412711833,2.654037668940055e-06,1.154046678571625e-24
6.603799431020502e-07,9.533773570353139e-05,2.612013699803516e-06,1.0563290031962279e-24
7.793939263131229e-07,0.0003138626017444718,2.7892210774364007e-06,2.0438666546108492e-24
2.0397169783275774e-06,0.0003799577445472733,4.3495464978843525e-08,7.239678979097389e-21
0.0002779726153176116,8.278264362097172e-12,7.831642466849904e-05,1.3108737056179519e-20
0.0004123644647522104,0.0012372275514072168,6.525586689354528e-05,1.8819640270640076e-21
1.8874760280786318e-05,0.0002800761679656683,1.1274975491605744e-05,4.395151860797045e-23
2.801800448467508e-06,0.00011849040033670961,4.9103567139209345e-06,5.8179700713460996e-24
9.74148701260821e-07,7.74860892341082e-05,3.214762884023568e-06,1.980100571768192e-24
4.013929800778393e-07,5.476473353818766e-05,1.989717441115898e-06,5.743828927265091e-25
6.654101414864853e-07,0.0001219300043663366,2.609054111528351e-06,1.0115257673474123e-24
9.881414633903e-07,0.0001176525595576737,3.2624325553825738e-06,1.6311902230615094e-24
5.033716033558042e-12,7.101684074439046e-05,1.5665622288310838e-11,5.672254414758333e-22
0.057581126257874544,0.028007568601374787,0.09775103849309089,0.0768220681589264
8.163843906168571e-05,1.5377872124274493e-05,2.3556852872402994e-05,2.9121286314332132e-22
3.130357017041612e-05,0.00020286723297343383,1.2336054083089071e-05,2.5003348720056468e-23
3.542682814105763e-05,0.0001432402367302587,9.253365661258337e-06,1.8207963458136676e-23
1.1818391399323856e-05,0.000826540271069859,1.1691861049313268e-05,4.977281635528939e-23
6.931653353106068e-06,0.0008023460302989155,1.0816816383198193e-05,5.054744042775334e-24
1.6011896259193468e-05,0.0002047256588298064,1.2040099583677198e-05,1.0241340264971932e-23
5.230752286575038e-06,0.00011459840798554681,1.0073039994948088e-05,1.3912617794427182e-23
9.522929071336636e-13,0.0002581591066347656,2.4645329831616797e-05,5.8294728192311374e-21
4.668994177078368e-05,0.0003471526453882534,2.4699349084391874e-05,2.7951829870496705e-21
