2230
1	1 1	1 3	1 2	1 4	630.2434782608696
2	1 1	1 3	1 4	1 6	-252.43469979296066
3	1 1	1 3	1 6	1 8	-40.863688696836064
4	1 1	1 3	1 12	1 14	-47.1180742549531
5	1 1	1 3	1 14	1 16	-19.769834442431467
6	1 1	1 3	1 16	1 18	-181.72420701974605
7	1 1	1 3	1 18	1 20	166.53869877618536
8	1 1	1 3	1 20	1 22	14.16437433334971
9	1 1	1 3	1 5	1 7	-91.52865870661901
10	1 1	1 3	1 9	1 11	539.1669826589596
11	1 1	1 3	1 11	1 13	17.508479677319265
12	1 1	1 3	1 13	1 15	-30.67437566253374
13	1 1	1 3	1 17	1 19	232.81340982533433
14	1 1	1 3	1 19	1 21	74.51282663502892
15	1 1	1 3	1 21	1 23	-6.777042554908392
16	1 1	1 3	1 22	1 24	-8.923525662750016
17	1 1	1 3	1 24	1 26	-139.93608607559563
18	1 1	1 3	1 26	1 28	95.95616037125794
19	1 1	1 3	1 28	1 30	31.471428050660336
20	1 1	1 3	1 30	1 32	1.5178395662117563
21	1 1	1 3	1 32	1 34	-107.14616831079542
22	1 1	1 3	1 34	1 36	58.59387440986251
23	1 1	1 3	1 36	1 38	29.718324038405793
24	1 1	1 3	1 38	1 40	10.429567109873027
25	1 1	1 3	1 40	1 42	-85.32088677080657
26	1 1	1 3	1 25	1 27	126.53185115951953
27	1 1	1 3	1 27	1 29	61.43350421364892
28	1 1	1 3	1 29	1 31	10.60551976344153
29	1 1	1 3	1 31	1 33	-149.89384181392379
30	1 1	1 3	1 33	1 35	72.2445749415057
31	1 1	1 3	1 35	1 37	44.68387254977088
32	1 1	1 3	1 37	1 39	18.20522717117626
33	1 1	1 3	1 39	1 41	-102.70730336977647
34	1 1	1 3	1 41	1 43	40.57679628161681
35	1 1	1 3	1 43	1 45	32.38853865432813
36	1 1	1 3	1 42	1 44	38.34244367672621
37	1 1	1 3	1 44	1 46	25.17413085593168
38	1 1	1 3	1 46	1 48	12.148524947596686
39	1 1	1 3	1 48	1 50	-67.31098225404733
40	1 1	1 3	1 50	1 52	26.900750263414714
41	1 1	1 3	1 52	1 54	19.847932835587486
42	1 1	1 3	1 54	1 56	11.723563416956694
43	1 1	1 3	1 56	1 58	-52.786433579806214
44	1 1	1 3	1 58	1 60	20.090077275829504
45	1 1	1 3	1 60	1 62	16.188990184827095
46	1 1	1 3	1 45	1 47	17.94594830160637
47	1 1	1 3	1 47	1 49	-72.70614479168054
48	1 1	1 3	1 49	1 51	24.392713203970544
49	1 1	1 3	1 51	1 53	24.3544437553291
50	1 1	1 3	1 53	1 55	16.264206203188742
51	1 1	1 3	1 55	1 57	-54.93885780619624
52	1 1	1 3	1 57	1 59	15.785327333648159
53	1 1	1 3	1 59	1 61	18.648920242186982
54	1 1	1 3	1 61	1 63	13.609673750959782
55	1 1	1 3	1 63	1 65	-42.1865941835143
56	1 1	1 3	1 62	1 64	9.861434451394022
57	1 1	1 3	1 64	1 66	-41.76726032430247
58	1 1	1 3	1 66	1 68	14.859806330747574
59	1 1	1 3	1 68	1 70	13.448752658193598
60	1 1	1 3	1 70	1 72	6.891680648598337
61	1 1	1 3	1 72	1 2	-226.53934850852778
62	1 1	1 3	1 65	1 67	11.54527101023061
63	1 1	1 3	1 67	1 69	14.884658851658102
