3096
1	1 1	1 3	1 2	1 4	1200.3005112606563
2	1 1	1 3	1 6	1 8	-95.47675680989806
3	1 1	1 3	1 8	1 10	-623.8327437576429
4	1 1	1 3	1 10	1 12	764.5835598739766
5	1 1	1 3	1 14	1 16	-57.63941377290725
6	1 1	1 3	1 16	1 18	-523.6990263547405
7	1 1	1 3	1 18	1 20	450.957016002017
8	1 1	1 3	1 20	1 22	54.23699565959959
9	1 1	1 3	1 5	1 7	-189.87005269143617
10	1 1	1 3	1 13	1 15	-93.53048600427452
11	1 1	1 3	1 15	1 17	-820.2643042055447
12	1 1	1 3	1 17	1 19	565.6821750605375
13	1 1	1 3	1 19	1 21	211.30181818059663
14	1 1	1 3	1 24	1 26	-416.6606547285087
15	1 1	1 3	1 26	1 28	271.3650253737943
16	1 1	1 3	1 28	1 30	92.90563030458307
17	1 1	1 3	1 34	1 36	171.39772127695622
18	1 1	1 3	1 36	1 38	89.80295479646233
19	1 1	1 3	1 38	1 40	25.66886222775385
20	1 1	1 3	1 25	1 27	286.9320200674156
21	1 1	1 3	1 27	1 29	181.96451065092504
22	1 1	1 3	1 29	1 31	39.138949492856995
23	1 1	1 3	1 33	1 35	163.05345511441573
24	1 1	1 3	1 35	1 37	136.64028785963552
25	1 1	1 3	1 37	1 39	51.394031539227264
26	1 1	1 3	1 41	1 43	98.23121206283048
27	1 1	1 3	1 43	1 45	98.80672263659201
28	1 1	1 3	1 42	1 44	110.62364164241245
29	1 1	1 3	1 44	1 46	74.83367338335184
30	1 1	1 3	1 46	1 48	29.311741115461466
31	1 1	1 3	1 50	1 52	73.757305185747
32	1 1	1 3	1 52	1 54	59.28430270299356
33	1 1	1 3	1 54	1 56	27.597495405164594
34	1 1	1 3	1 56	1 58	-141.82162142733426
35	1 1	1 3	1 58	1 60	52.13538104182232
36	1 1	1 3	1 60	1 62	47.47947235971627
37	1 1	1 3	1 45	1 47	50.024967664226395
38	1 1	1 3	1 49	1 51	62.278602416128194
39	1 1	1 3	1 51	1 53	71.98038833187051
40	1 1	1 3	1 53	1 55	42.54970997328218
41	1 1	1 3	1 55	1 57	-149.31398234211525
42	1 1	1 3	1 57	1 59	42.48741649317492
43	1 1	1 3	1 59	1 61	53.34445558975433
44	1 1	1 3	1 61	1 63	37.170429762362936
45	1 1	1 3	1 63	1 65	-117.64241655868148
46	1 1	1 3	1 62	1 64	25.130157912306167
47	1 1	1 3	1 64	1 66	-113.83056095106402
48	1 1	1 3	1 66	1 68	40.61410412485395
49	1 1	1 3	1 68	1 70	39.72179385094678
50	1 1	1 3	1 70	1 72	22.655975156808424
51	1 1	1 3	1 65	1 67	32.139919071269894
52	1 1	1 3	1 67	1 69	43.00963713616939
53	1 1	1 3	1 69	1 71	32.51508815535384
54	1 2	1 4	1 3	1 5	1092.8002364413492
55	1 2	1 4	1 7	1 9	-1433.1179430597558
56	1 2	1 4	1 9	1 11	754.1572159267453
57	1 2	1 4	1 11	1 13	730.369821851396
58	1 2	1 4	1 15	1 17	-1040.104952311373
59	1 2	1 4	1 17	1 19	453.40285870558364
60	1 2	1 4	1 19	1 21	450.4143424238057
61	1 2	1 4	1 6	1 8	-192.54386716570593
62	1 2	1 4	1 14	1 16	-93.33539585827273
63	1 2	1 4	1 16	1 18	-844.8981245390908
64	1 2	1 4	1 18	1 20	582.1090428983146
65	1 2	1 4	1 20	1 22	206.46691952210992
66	1 2	1 4	1 24	1 26	-625.648168727246
67	1 2	1 4	1 23	1 25	-740.3448091828297
68	1 2	1 4	1 25	1 27	269.39590098141093
