a,b,m,n
15,17,23,25
15,17,29,31
15,17,31,33
15,17,35,37
15,17,37,39
15,17,36,38
15,17,38,40
15,17,40,42
15,17,42,44
15,17,44,46
15,17,46,48
15,17,48,50
15,17,50,52
15,17,52,54
15,17,54,56
15,17,39,41
15,17,41,43
15,17,43,45
15,17,45,47
15,17,47,49
15,17,49,51
15,17,51,53
15,17,53,55
15,17,55,57
15,17,57,59
15,17,56,58
15,17,58,60
15,17,60,62
15,17,62,64
15,17,64,66
15,17,66,68
15,17,68,70
15,17,70,72
15,17,72,2
15,17,2,4
15,17,59,61
15,17,61,63
15,17,63,65
15,17,65,67
15,17,67,69
15,17,69,71
15,17,71,1
15,17,5,7
16,18,19,21
16,18,21,23
16,18,23,25
16,18,27,29
16,18,29,31
16,18,31,33
16,18,33,35
16,18,35,37
16,18,20,22
16,18,22,24
16,18,24,26
16,18,30,32
16,18,32,34
16,18,34,36
16,18,36,38
16,18,38,40
16,18,37,39
16,18,39,41
16,18,41,43
16,18,43,45
16,18,45,47
16,18,47,49
16,18,49,51
16,18,51,53
16,18,53,55
16,18,55,57
16,18,40,42
16,18,42,44
16,18,44,46
16,18,46,48
16,18,48,50
16,18,50,52
16,18,52,54
16,18,54,56
16,18,56,58
16,18,58,60
16,18,57,59
16,18,59,61
16,18,61,63
16,18,63,65
16,18,65,67
16,18,67,69
16,18,69,71
16,18,1,3
16,18,3,5
16,18,60,62
16,18,62,64
16,18,64,66
16,18,66,68
16,18,68,70
16,18,70,72
16,18,6,8
17,19,20,22
17,19,22,24
17,19,26,28
17,19,28,30
17,19,30,32
17,19,34,36
17,19,36,38
17,19,21,23
17,19,25,27
17,19,27,29
17,19,29,31
17,19,33,35
17,19,35,37
17,19,37,39
17,19,39,41
17,19,38,40
17,19,40,42
17,19,42,44
17,19,44,46
17,19,46,48
17,19,48,50
17,19,50,52
17,19,52,54
17,19,54,56
17,19,56,58
17,19,41,43
17,19,43,45
17,19,45,47
17,19,47,49
17,19,49,51
17,19,51,53
17,19,53,55
17,19,55,57
17,19,57,59
17,19,59,61
17,19,58,60
17,19,60,62
17,19,62,64
17,19,64,66
17,19,66,68
17,19,68,70
17,19,70,72
17,19,72,2
17,19,4,6
17,19,61,63
17,19,63,65
17,19,65,67
17,19,67,69
17,19,69,71
17,19,1,3
17,19,3,5
17,19,5,7
18,20,21,23
18,20,23,25
18,20,29,31
18,20,31,33
18,20,33,35
18,20,35,37
18,20,37,39
18,20,22,24
18,20,26,28
18,20,28,30
18,20,30,32
18,20,34,36
18,20,36,38
18,20,38,40
18,20,40,42
18,20,39,41
18,20,41,43
18,20,43,45
18,20,45,47
18,20,47,49
18,20,49,51
18,20,51,53
18,20,53,55
18,20,55,57
18,20,57,59
18,20,42,44
18,20,44,46
18,20,46,48
18,20,48,50
18,20,50,52
18,20,52,54
18,20,54,56
18,20,56,58
18,20,58,60
18,20,60,62
18,20,59,61
18,20,61,63
18,20,63,65
18,20,65,67
18,20,67,69
18,20,69,71
18,20,71,1
18,20,1,3
18,20,3,5
18,20,62,64
18,20,64,66
18,20,66,68
18,20,68,70
18,20,72,2
18,20,2,4
18,20,4,6
18,20,6,8
19,21,20,22
19,21,22,24
19,21,24,26
19,21,28,30
19,21,30,32
19,21,32,34
19,21,34,36
19,21,36,38
19,21,38,40
19,21,25,27
19,21,27,29
19,21,29,31
19,21,31,33
19,21,33,35
19,21,35,37
19,21,37,39
19,21,39,41
19,21,41,43
19,21,40,42
19,21,42,44
19,21,44,46
19,21,46,48
19,21,48,50
19,21,50,52
19,21,52,54
19,21,54,56
19,21,56,58
19,21,58,60
19,21,43,45
19,21,45,47
19,21,47,49
19,21,49,51
19,21,51,53
19,21,53,55
19,21,55,57
19,21,57,59
19,21,59,61
19,21,61,63
19,21,60,62
19,21,62,64
19,21,64,66
19,21,66,68
19,21,68,70
19,21,70,72
19,21,72,2
19,21,4,6
19,21,6,8
19,21,63,65
19,21,65,67
19,21,67,69
19,21,69,71
19,21,71,1
19,21,1,3
19,21,3,5
19,21,5,7
19,21,9,11
20,22,21,23
20,22,23,25
20,22,25,27
20,22,27,29
20,22,29,31
20,22,31,33
20,22,33,35
20,22,35,37
20,22,37,39
20,22,39,41
20,22,26,28
20,22,28,30
20,22,30,32
20,22,32,34
20,22,34,36
20,22,36,38
20,22,38,40
20,22,40,42
20,22,42,44
20,22,41,43
20,22,43,45
20,22,45,47
20,22,47,49
20,22,49,51
20,22,51,53
20,22,53,55
20,22,55,57
20,22,57,59
20,22,59,61
20,22,44,46
20,22,46,48
20,22,48,50
20,22,50,52
20,22,52,54
20,22,54,56
20,22,56,58
20,22,58,60
20,22,60,62
20,22,62,64
20,22,61,63
20,22,63,65
20,22,65,67
20,22,67,69
20,22,69,71
20,22,71,1
20,22,1,3
20,22,3,5
20,22,5,7
20,22,7,9
20,22,64,66
20,22,66,68
20,22,68,70
20,22,70,72
20,22,72,2
20,22,2,4
20,22,4,6
20,22,6,8
20,22,10,12
21,23,22,24
21,23,24,26
21,23,26,28
21,23,28,30
21,23,30,32
21,23,32,34
21,23,34,36
21,23,36,38
21,23,38,40
21,23,40,42
21,23,25,27
21,23,27,29
21,23,29,31
21,23,31,33
21,23,35,37
21,23,37,39
21,23,39,41
21,23,41,43
21,23,43,45
21,23,42,44
21,23,44,46
21,23,46,48
21,23,48,50
21,23,50,52
21,23,52,54
21,23,54,56
21,23,56,58
21,23,58,60
21,23,60,62
21,23,45,47
21,23,47,49
21,23,49,51
21,23,51,53
21,23,53,55
21,23,55,57
21,23,57,59
21,23,59,61
21,23,61,63
21,23,63,65
21,23,62,64
21,23,64,66
21,23,66,68
21,23,68,70
21,23,70,72
21,23,72,2
21,23,4,6
21,23,8,10
21,23,65,67
21,23,67,69
21,23,69,71
21,23,71,1
21,23,1,3
21,23,3,5
21,23,5,7
21,23,7,9
21,23,9,11
22,24,25,27
22,24,27,29
22,24,29,31
22,24,31,33
22,24,35,37
22,24,37,39
22,24,39,41
22,24,41,43
22,24,26,28
22,24,28,30
22,24,30,32
22,24,32,34
22,24,34,36
22,24,36,38
22,24,38,40
22,24,40,42
22,24,42,44
22,24,44,46
22,24,43,45
22,24,45,47
22,24,47,49
22,24,49,51
22,24,51,53
22,24,53,55
22,24,55,57
22,24,57,59
22,24,59,61
22,24,61,63
22,24,46,48
22,24,48,50
22,24,50,52
22,24,52,54
22,24,54,56
22,24,56,58
22,24,58,60
22,24,60,62
22,24,62,64
22,24,64,66
22,24,63,65
22,24,65,67
22,24,67,69
22,24,69,71
22,24,71,1
22,24,1,3
22,24,5,7
22,24,7,9
22,24,9,11
22,24,66,68
22,24,68,70
22,24,70,72
22,24,72,2
22,24,2,4
22,24,4,6
22,24,6,8
22,24,8,10
22,24,10,12
23,25,24,26
23,25,26,28
23,25,28,30
23,25,30,32
23,25,32,34
23,25,34,36
23,25,36,38
23,25,38,40
23,25,40,42
23,25,42,44
23,25,27,29
23,25,29,31
23,25,31,33
23,25,37,39
23,25,39,41
23,25,43,45
23,25,45,47
23,25,44,46
23,25,46,48
23,25,48,50
23,25,50,52
23,25,52,54
23,25,54,56
23,25,56,58
23,25,58,60
23,25,60,62
23,25,62,64
23,25,47,49
23,25,49,51
23,25,51,53
23,25,53,55
23,25,55,57
23,25,57,59
23,25,59,61
23,25,61,63
23,25,63,65
23,25,65,67
23,25,64,66
23,25,66,68
23,25,68,70
23,25,70,72
23,25,72,2
23,25,2,4
23,25,4,6
23,25,6,8
23,25,8,10
23,25,10,12
23,25,67,69
23,25,69,71
23,25,71,1
23,25,5,7
23,25,7,9
23,25,13,15
24,26,27,29
24,26,29,31
24,26,31,33
24,26,35,37
24,26,37,39
24,26,39,41
24,26,41,43
24,26,43,45
24,26,28,30
24,26,30,32
24,26,32,34
24,26,36,38
24,26,38,40
24,26,40,42
24,26,44,46
24,26,46,48
24,26,45,47
24,26,47,49
24,26,49,51
24,26,51,53
24,26,53,55
24,26,55,57
24,26,57,59
24,26,59,61
24,26,61,63
24,26,63,65
24,26,48,50
24,26,50,52
24,26,52,54
24,26,54,56
24,26,56,58
24,26,58,60
24,26,60,62
24,26,62,64
24,26,64,66
24,26,66,68
24,26,65,67
24,26,67,69
24,26,69,71
24,26,71,1
24,26,1,3
24,26,3,5
24,26,5,7
24,26,7,9
24,26,11,13
24,26,68,70
24,26,70,72
24,26,6,8
24,26,14,16
25,27,26,28
25,27,28,30
25,27,30,32
25,27,32,34
25,27,34,36
25,27,36,38
25,27,38,40
25,27,40,42
25,27,42,44
25,27,44,46
25,27,29,31
25,27,31,33
25,27,33,35
25,27,35,37
25,27,37,39
25,27,41,43
25,27,43,45
25,27,45,47
25,27,47,49
25,27,46,48
25,27,48,50
25,27,50,52
25,27,52,54
25,27,54,56
25,27,56,58
25,27,58,60
25,27,60,62
25,27,62,64
25,27,64,66
25,27,49,51
25,27,51,53
25,27,53,55
25,27,55,57
25,27,57,59
25,27,59,61
25,27,61,63
25,27,63,65
25,27,65,67
25,27,67,69
25,27,66,68
25,27,68,70
25,27,70,72
25,27,72,2
25,27,2,4
25,27,4,6
25,27,6,8
25,27,8,10
25,27,10,12
25,27,12,14
25,27,69,71
25,27,71,1
25,27,1,3
25,27,3,5
25,27,5,7
25,27,9,11
25,27,11,13
26,28,27,29
26,28,29,31
26,28,31,33
26,28,37,39
26,28,39,41
26,28,41,43
26,28,43,45
26,28,45,47
26,28,30,32
26,28,38,40
26,28,40,42
26,28,42,44
26,28,44,46
26,28,46,48
26,28,48,50
26,28,47,49
26,28,49,51
26,28,51,53
26,28,53,55
26,28,55,57
26,28,57,59
26,28,59,61
26,28,61,63
26,28,63,65
26,28,65,67
26,28,50,52
26,28,52,54
26,28,54,56
26,28,56,58
26,28,58,60
26,28,60,62
26,28,62,64
26,28,64,66
26,28,66,68
26,28,68,70
26,28,67,69
26,28,69,71
26,28,71,1
26,28,1,3
26,28,3,5
26,28,5,7
26,28,7,9
26,28,9,11
26,28,11,13
26,28,13,15
26,28,70,72
26,28,72,2
26,28,2,4
26,28,4,6
26,28,6,8
26,28,8,10
26,28,10,12
26,28,12,14
26,28,14,16
27,29,28,30
27,29,30,32
27,29,32,34
27,29,36,38
27,29,38,40
27,29,40,42
27,29,42,44
27,29,44,46
27,29,46,48
27,29,33,35
27,29,35,37
27,29,37,39
27,29,39,41
27,29,41,43
27,29,43,45
27,29,45,47
27,29,47,49
27,29,49,51
27,29,48,50
27,29,50,52
27,29,52,54
27,29,54,56
27,29,56,58
27,29,58,60
27,29,60,62
27,29,62,64
27,29,64,66
27,29,66,68
27,29,51,53
27,29,53,55
27,29,55,57
27,29,57,59
27,29,59,61
27,29,61,63
27,29,63,65
27,29,65,67
27,29,67,69
27,29,69,71
27,29,68,70
27,29,70,72
27,29,72,2
27,29,2,4
27,29,4,6
27,29,6,8
27,29,8,10
27,29,10,12
27,29,12,14
27,29,14,16
27,29,71,1
27,29,1,3
27,29,3,5
27,29,5,7
27,29,7,9
27,29,9,11
27,29,11,13
27,29,13,15
27,29,17,19
28,30,29,31
28,30,31,33
28,30,33,35
28,30,35,37
28,30,39,41
28,30,41,43
28,30,43,45
28,30,45,47
28,30,47,49
28,30,36,38
28,30,38,40
28,30,42,44
28,30,44,46
28,30,46,48
28,30,48,50
28,30,50,52
28,30,49,51
28,30,51,53
28,30,53,55
28,30,55,57
28,30,57,59
28,30,59,61
28,30,61,63
28,30,63,65
28,30,65,67
28,30,67,69
28,30,52,54
28,30,54,56
28,30,56,58
28,30,58,60
28,30,60,62
28,30,62,64
28,30,64,66
28,30,66,68
28,30,68,70
28,30,70,72
28,30,69,71
28,30,71,1
28,30,1,3
28,30,3,5
28,30,5,7
28,30,7,9
28,30,9,11
28,30,11,13
28,30,13,15
28,30,15,17
28,30,72,2
28,30,2,4
28,30,4,6
28,30,6,8
28,30,8,10
28,30,10,12
28,30,12,14
28,30,14,16
28,30,18,20
29,31,30,32
29,31,32,34
29,31,34,36
29,31,36,38
29,31,40,42
29,31,42,44
29,31,44,46
29,31,46,48
29,31,48,50
29,31,33,35
29,31,37,39
29,31,39,41
29,31,43,45
29,31,45,47
29,31,47,49
29,31,49,51
29,31,51,53
29,31,50,52
29,31,52,54
29,31,54,56
29,31,56,58
29,31,58,60
29,31,60,62
29,31,62,64
29,31,64,66
29,31,66,68
29,31,68,70
29,31,53,55
29,31,55,57
29,31,57,59
29,31,59,61
29,31,61,63
29,31,63,65
29,31,65,67
29,31,67,69
29,31,69,71
29,31,71,1
29,31,70,72
29,31,72,2
29,31,2,4
29,31,4,6
29,31,6,8
29,31,8,10
29,31,10,12
29,31,12,14
29,31,14,16
29,31,16,18
30,32,31,33
30,32,33,35
30,32,35,37
30,32,37,39
30,32,39,41
30,32,43,45
30,32,45,47
30,32,47,49
30,32,49,51
30,32,34,36
30,32,36,38
30,32,38,40
30,32,40,42
30,32,42,44
30,32,44,46
30,32,46,48
30,32,48,50
30,32,50,52
30,32,52,54
30,32,51,53
30,32,53,55
30,32,55,57
30,32,57,59
30,32,59,61
30,32,61,63
30,32,63,65
30,32,65,67
30,32,67,69
30,32,69,71
30,32,54,56
30,32,56,58
30,32,58,60
30,32,60,62
30,32,62,64
30,32,64,66
30,32,66,68
30,32,68,70
30,32,70,72
30,32,72,2
30,32,71,1
30,32,1,3
30,32,3,5
30,32,5,7
30,32,7,9
30,32,9,11
30,32,11,13
30,32,13,15
30,32,15,17
30,32,17,19
31,33,32,34
31,33,34,36
31,33,36,38
31,33,40,42
31,33,42,44
31,33,44,46
31,33,46,48
31,33,48,50
31,33,50,52
31,33,35,37
31,33,37,39
31,33,39,41
31,33,41,43
31,33,45,47
31,33,47,49
31,33,51,53
31,33,53,55
31,33,52,54
31,33,54,56
31,33,56,58
31,33,58,60
31,33,60,62
31,33,62,64
31,33,64,66
31,33,66,68
31,33,68,70
31,33,70,72
31,33,55,57
31,33,57,59
31,33,59,61
31,33,61,63
31,33,63,65
31,33,65,67
31,33,67,69
31,33,69,71
31,33,71,1
31,33,1,3
31,33,72,2
31,33,2,4
31,33,4,6
31,33,6,8
31,33,8,10
31,33,10,12
31,33,12,14
31,33,14,16
31,33,16,18
31,33,18,20
32,34,35,37
32,34,37,39
