a,b,m,n
1,3,2,4
1,3,4,6
1,3,6,8
1,3,12,14
1,3,14,16
1,3,16,18
1,3,18,20
1,3,20,22
1,3,5,7
1,3,9,11
1,3,11,13
1,3,13,15
1,3,17,19
1,3,19,21
1,3,21,23
1,3,22,24
1,3,24,26
1,3,26,28
1,3,28,30
1,3,30,32
1,3,32,34
1,3,34,36
1,3,36,38
1,3,38,40
1,3,40,42
1,3,25,27
1,3,27,29
1,3,29,31
1,3,31,33
1,3,33,35
1,3,35,37
1,3,37,39
1,3,39,41
1,3,41,43
1,3,43,45
1,3,42,44
1,3,44,46
1,3,46,48
1,3,48,50
1,3,50,52
1,3,52,54
1,3,54,56
1,3,56,58
1,3,58,60
1,3,60,62
1,3,45,47
1,3,47,49
1,3,49,51
1,3,51,53
1,3,53,55
1,3,55,57
1,3,57,59
1,3,59,61
1,3,61,63
1,3,63,65
1,3,62,64
1,3,64,66
1,3,66,68
1,3,68,70
1,3,70,72
1,3,72,2
1,3,65,67
1,3,67,69
1,3,69,71
2,4,3,5
2,4,5,7
2,4,7,9
2,4,11,13
2,4,13,15
2,4,15,17
2,4,6,8
2,4,10,12
2,4,12,14
2,4,14,16
2,4,18,20
2,4,20,22
2,4,22,24
2,4,23,25
2,4,25,27
2,4,27,29
2,4,29,31
2,4,31,33
2,4,33,35
2,4,35,37
2,4,37,39
2,4,39,41
2,4,41,43
2,4,26,28
2,4,28,30
2,4,30,32
2,4,32,34
2,4,34,36
2,4,36,38
2,4,38,40
2,4,40,42
2,4,42,44
2,4,44,46
2,4,43,45
2,4,45,47
2,4,47,49
2,4,49,51
2,4,51,53
2,4,53,55
2,4,55,57
2,4,57,59
2,4,59,61
2,4,61,63
2,4,46,48
2,4,48,50
2,4,50,52
2,4,52,54
2,4,54,56
2,4,56,58
2,4,58,60
2,4,60,62
2,4,62,64
2,4,64,66
2,4,63,65
2,4,65,67
2,4,67,69
2,4,69,71
2,4,71,1
2,4,1,3
2,4,66,68
2,4,68,70
2,4,70,72
3,5,4,6
3,5,6,8
3,5,8,10
3,5,10,12
3,5,12,14
3,5,14,16
3,5,16,18
3,5,18,20
3,5,20,22
3,5,9,11
3,5,11,13
3,5,17,19
3,5,19,21
3,5,21,23
3,5,25,27
3,5,24,26
3,5,26,28
3,5,28,30
3,5,30,32
3,5,32,34
3,5,34,36
3,5,36,38
3,5,38,40
3,5,40,42
3,5,42,44
3,5,27,29
3,5,29,31
3,5,33,35
3,5,35,37
3,5,37,39
3,5,39,41
3,5,41,43
3,5,43,45
3,5,45,47
3,5,44,46
3,5,46,48
3,5,48,50
3,5,50,52
3,5,52,54
3,5,54,56
3,5,56,58
3,5,58,60
3,5,60,62
3,5,62,64
3,5,47,49
3,5,49,51
3,5,51,53
3,5,53,55
3,5,55,57
3,5,57,59
3,5,59,61
3,5,61,63
3,5,63,65
3,5,65,67
3,5,64,66
3,5,66,68
3,5,68,70
3,5,70,72
3,5,2,4
3,5,67,69
3,5,69,71
4,6,5,7
4,6,7,9
4,6,9,11
4,6,11,13
4,6,15,17
4,6,17,19
4,6,19,21
4,6,21,23
4,6,23,25
4,6,12,14
4,6,14,16
4,6,18,20
4,6,20,22
4,6,22,24
4,6,26,28
4,6,25,27
4,6,27,29
4,6,29,31
4,6,31,33
4,6,33,35
4,6,35,37
4,6,37,39
4,6,39,41
4,6,41,43
4,6,43,45
4,6,28,30
4,6,30,32
4,6,34,36
4,6,36,38
4,6,38,40
4,6,40,42
4,6,42,44
4,6,44,46
4,6,46,48
4,6,45,47
4,6,47,49
4,6,49,51
4,6,51,53
4,6,53,55
4,6,55,57
4,6,57,59
4,6,59,61
4,6,61,63
