Unnamed: 0,El-array,a,b,m,n,Rho,dev,ip,sp,vp,i,resist,resError,phaseError,K,app,irecip,reciprocalErrRel,recipError,recipMean,reci_IP_err,resInvError
,Mixed / non conventional,5,7,13,15,-140889.42,1.66,0.0,53.19,56.687,0.152,372.9407894736842,,,-376.99111843077526,-140595.3653321405,289,0.009952753723800795,3.730351465913145,374.8059652066408,0.0,-1.20497
,Mixed / non conventional,5,7,15,17,264468.0,1.63,0.0,-290.68,-53.204,0.152,-350.0263157894737,,,-753.9822368615518,263913.6245393553,290,-0.03064245727431566,-10.563815789473722,-344.7444078947368,0.0,-1.17398
,Mixed / non conventional,5,7,19,21,-89015.16,0.05,0.0,-27.27,325.562,7.721,42.165781634503304,,,-2111.150263212339,-89018.30099623566,292,-0.005702008583137714,-0.23974613154472735,42.04590856873094,0.0,-0.13358
,Mixed / non conventional,5,7,21,23,-506894.06,0.96,0.0,217.53,39.609,0.247,160.3603238866397,,,-3166.7253948185225,-507817.10997314524,293,-0.014007451138536254,-2.23061677366897,159.24501549980522,0.0,-0.50642
,Mixed / non conventional,5,7,23,25,850645.0,0.94,0.0,-169.11,-46.528,0.247,-188.37246963562754,,,-4523.893421169273,852176.9761140241,294,-0.01081092046289174,-2.0255308601173283,-187.35970420556887,0.0,-0.79287
,Mixed / non conventional,5,7,27,29,-333050.63,0.05,0.0,-106.58,254.088,6.327,40.15931721194879,,,-8293.804605477077,-333073.5300452757,296,-0.008238857970642915,-0.32950951964109265,39.99456245212824,0.0,-0.38179
,Mixed / non conventional,5,7,26,28,-129852.13,0.2,0.0,-7.51,48.59,2.697,18.016314423433446,,,-7207.598945498374,-129854.36884010605,297,-0.020663818762896254,-0.3684787667936824,17.832075040036607,0.0,0.10892
,Mixed / non conventional,5,7,28,30,-697153.69,0.27,0.0,-39.9,198.261,2.697,73.51167964404894,,,-9483.682823024179,-697161.4535319231,298,0.0007768222226107347,0.05712769540059526,73.54024349174924,0.0,-0.31666
,Mixed / non conventional,5,7,30,32,-901249.81,0.31,0.0,-0.39,44.145,0.597,73.94472361809046,,,-12193.306486745501,-901630.6781530657,299,-0.035335722166875805,-2.567527490446153,72.66095987286738,0.0,0.55431
,Mixed / non conventional,5,7,32,34,2346736.5,0.3,0.0,-89.36,-91.165,0.597,-152.70519262981577,,,-15374.169048504882,2347715.4460752895,300,0.008819329275254967,1.3527224280992982,-153.38155384386542,0.0,-0.36505
,Mixed / non conventional,5,7,34,36,-339040.91,0.03,0.0,99.5,48.31,2.716,17.78718703976436,,,-19063.969620146378,-339094.3933539291,301,-0.011770165790996066,-0.2081332589313618,17.683120410298677,0.0,0.39796
,Mixed / non conventional,5,7,36,38,-1230559.13,0.08,0.0,-27.25,143.464,2.716,52.82179675994109,,,-23300.40731351191,-1230769.379538171,302,-0.02629447177364756,-1.3708977281291936,52.13634789587649,0.0,-0.21837
,Mixed / non conventional,5,7,38,40,-1458901.0,0.32,0.0,74.3,45.452,0.876,51.885844748858446,,,-28121.181240446072,-1459091.2439962954,303,-0.036897558394344575,-1.8797813160226298,50.94595409084713,0.0,-0.11825
,Mixed / non conventional,5,7,40,42,3794399.75,0.33,0.0,-56.22,-99.046,0.876,-113.0662100456621,,,-33563.99051278921,3794953.201289635,304,-0.0206804583941511,-2.314330346413996,-111.9090448724551,0.0,-0.33173
,Mixed / non conventional,5,7,42,44,-703986.88,0.12,0.0,-8.35,48.3,2.722,17.744305657604702,,,-39666.53424238932,-703855.1079747995,305,-0.04713474647358841,-0.8171160691418109,17.335747623033797,0.0,-0.46278
,Mixed / non conventional,5,7,44,46,-1720403.75,0.12,0.0,-185.97,100.763,2.722,37.018001469507716,,,-46466.51154108182,-1720097.392510664,306,-0.028089656713246796,-1.0254210902826557,36.50529092436639,0.0,-0.23795
,Mixed / non conventional,5,7,29,31,-1010965.38,1.79,0.0,63.59,42.74,0.456,93.7280701754386,,,-10781.945987120022,-1010570.990108574,307,-0.01448817039912638,-1.348181907282168,93.05397922179752,0.0,-0.52482
,Mixed / non conventional,5,7,31,33,1794074.13,1.79,0.0,-275.19,-59.594,0.456,-130.68859649122805,,,-13722.476710880474,1793371.2217285326,308,-0.0063568171755422585,-0.8281313749490096,-130.27453080375355,0.0,-0.75521
,Mixed / non conventional,5,7,33,35,-195298.89,0.07,0.0,320.14,49.721,4.367,11.38561941836501,,,-17153.095888600008,-195298.6216343213,309,-0.029167637710616454,-0.32731807479495245,11.221960380967534,0.0,0.02532
,Mixed / non conventional,5,7,35,37,-710453.81,0.06,0.0,-195.7,146.961,4.367,33.652621937256704,,,-21111.502632123484,-710457.4166062514,310,-0.02458518808580835,-0.8173091898299418,33.24396734234173,0.0,-0.02563
,Mixed / non conventional,5,7,37,39,-1579535.5,0.55,0.0,175.27,44.74,0.726,61.625344352617084,,,-25635.396053292803,-1579790.1093998898,311,-0.022052872543822915,-1.3441941928726777,60.953247256180745,0.0,-0.75429
,Mixed / non conventional,5,7,39,41,2971283.5,0.55,0.0,-194.23,-70.133,0.726,-96.60192837465564,,,-30762.475263951364,2971714.4320753454,312,-0.01766553671767106,-1.6915835470694276,-95.75613660112093,0.0,-0.74185
,Mixed / non conventional,5,7,41,43,-370438.81,0.09,0.0,215.94,49.938,4.925,10.139695431472083,,,-36530.43937594186,-370407.52924990555,313,-0.024377965833063966,-0.24420849560509872,10.017591183669534,0.0,-0.06927
,Mixed / non conventional,5,7,43,45,-1218530.63,0.07,0.0,-0.96,139.626,4.925,28.35045685279188,,,-42976.98750110756,-1218417.2298131257,314,-0.037259863544489985,-1.0370146417366044,27.831949531923577,0.0,-0.44754
,Mixed / non conventional,5,7,45,47,-1987463.38,0.4,0.0,13.77,46.278,1.168,39.62157534246575,,,-50139.81875129532,-1986618.6063120249,315,-0.029023352845625495,-1.1335019479703448,39.05482436848058,0.0,-0.21088
,Mixed / non conventional,5,7,47,49,4075997.25,0.41,0.0,-349.34,-81.968,1.168,-70.17808219178083,,,-58056.632238336875,4074303.108999998,316,-0.03478673833911023,-2.3995306597473984,-68.97831686190713,0.0,-0.41601
,Mixed / non conventional,5,7,46,48,-1958051.5,0.13,0.0,58.43,46.453,1.281,36.26307572209212,,,-54001.6215207197,-1958264.890321618,317,-0.03782219428356931,-1.3460929997996658,35.590029222192285,0.0,-0.47594
,Mixed / non conventional,5,7,48,50,5225615.0,0.14,0.0,109.06,-107.442,1.281,-83.8735362997658,,,-62309.563293135114,5226123.418689323,318,-0.026372783538856696,-2.183190215977106,-82.78194119177725,0.0,-0.63784
,Mixed / non conventional,5,7,52,54,-2040197.38,0.15,0.0,-8.84,77.575,3.095,25.064620355411954,,,-81394.73866369428,-2040128.223533468,320,-0.042464366465916156,-1.0422245220786195,24.543508094372644,0.0,0.04313
,Mixed / non conventional,5,7,54,56,-2372707.25,0.27,0.0,106.05,47.375,1.842,25.719326818675352,,,-92247.37048551715,-2372540.2696804423,321,-0.03883984943370555,-0.9799050979419235,25.22937426970439,0.0,-0.71586
,Mixed / non conventional,5,7,56,58,6337712.5,0.25,0.0,-114.87,-112.214,1.842,-60.91965255157437,,,-104023.63054750494,6337083.430107339,322,-0.03811611034765112,-2.2785946170655578,-59.7803552430416,0.0,-0.48326
,Mixed / non conventional,5,7,51,53,-1698362.0,0.16,0.0,-274.52,122.816,5.518,22.257339615802827,,,-76303.00237038826,-1698301.8374631398,328,-0.044217703985709546,-0.9628802771075655,21.775899477249045,0.0,-0.47722
,Mixed / non conventional,5,7,53,55,-2450515.5,0.37,0.0,253.56,47.347,1.675,28.266865671641792,,,-86707.95723907575,-2450962.179939415,329,-0.04949817715935699,-1.3653667423056035,27.58418230048899,0.0,-0.64083
,Mixed / non conventional,5,7,55,57,5238369.0,0.38,0.0,-212.46,-89.538,1.675,-53.4555223880597,,,-98017.69079200295,5239586.864557827,330,-0.0405040982672572,-2.1221890547263698,-52.39442786069651,0.0,-0.74528
,Mixed / non conventional,5,7,61,63,-2735486.25,0.07,0.0,25.73,48.313,2.433,19.85737772297575,,,-137752.55467460307,-2735404.5104784626,333,-0.04333900508550444,-0.842345780097137,19.43620483292718,0.0,-0.9297
,Mixed / non conventional,5,7,63,65,6105423.5,0.0,0.0,28.22,-97.056,2.433,-39.89149198520345,,,-153058.3940828975,6105727.700826016,334,-0.049857003403207006,-1.9404965793841598,-38.92124369551137,0.0,-0.68138
,Mixed / non conventional,5,7,72,2,6464.57,0.26,0.0,-1.45,-650.746,4.727,-137.66574994711232,,,-46.96213732168267,6465.077853508717,340,0.04066701103615006,5.714653511100948,-140.5230767026628,0.0,0.06332
