x,z,y,buried,remote,label
0.05,0.485,-0.005,False,False,1
0.1,0.485,-0.005,False,False,2
0.15,0.485,-0.005,False,False,3
0.2,0.485,-0.005,False,False,4
0.25,0.485,-0.005,False,False,5
0.3,0.485,-0.005,False,False,6
0.35,0.485,-0.005,False,False,7
0.4,0.485,-0.005,False,False,8
0.05,0.425,0.0,True,False,9
0.1,0.425,0.0,True,False,10
0.15,0.425,0.0,True,False,11
0.2,0.425,0.0,True,False,12
0.25,0.425,0.0,True,False,13
0.3,0.425,0.0,True,False,14
0.35,0.425,0.0,True,False,15
0.4,0.425,0.0,True,False,16
0.05,0.375,0.0,True,False,17
0.1,0.375,0.0,True,False,18
0.15,0.375,0.0,True,False,19
0.2,0.375,0.0,True,False,20
0.25,0.375,0.0,True,False,21
0.3,0.375,0.0,True,False,22
0.35,0.375,0.0,True,False,23
0.4,0.375,0.0,True,False,24
0.05,0.325,0.0,True,False,25
0.1,0.325,0.0,True,False,26
0.15,0.325,0.0,True,False,27
0.2,0.325,0.0,True,False,28
0.25,0.325,0.0,True,False,29
0.3,0.325,0.0,True,False,30
0.35,0.325,0.0,True,False,31
0.4,0.325,0.0,True,False,32
0.05,0.275,0.0,True,False,33
0.1,0.275,0.0,True,False,34
0.15,0.275,0.0,True,False,35
0.2,0.275,0.0,True,False,36
0.25,0.275,0.0,True,False,37
0.3,0.275,0.0,True,False,38
0.35,0.275,0.0,True,False,39
0.4,0.275,0.0,True,False,40
0.05,0.225,0.0,True,False,41
0.1,0.225,0.0,True,False,42
0.15,0.225,0.0,True,False,43
0.2,0.225,0.0,True,False,44
0.25,0.225,0.0,True,False,45
0.3,0.225,0.0,True,False,46
0.35,0.225,0.0,True,False,47
0.4,0.225,0.0,True,False,48
0.05,0.175,0.0,True,False,49
0.1,0.175,0.0,True,False,50
0.15,0.175,0.0,True,False,51
0.2,0.175,0.0,True,False,52
0.25,0.175,0.0,True,False,53
0.3,0.175,0.0,True,False,54
0.35,0.175,0.0,True,False,55
0.4,0.175,0.0,True,False,56
0.05,0.125,0.0,True,False,57
0.1,0.125,0.0,True,False,58
0.15,0.125,0.0,True,False,59
0.2,0.125,0.0,True,False,60
0.25,0.125,0.0,True,False,61
0.3,0.125,0.0,True,False,62
0.35,0.125,0.0,True,False,63
0.4,0.125,0.0,True,False,64
0.05,0.075,0.0,True,False,65
0.1,0.075,0.0,True,False,66
0.15,0.075,0.0,True,False,67
0.2,0.075,0.0,True,False,68
0.25,0.075,0.0,True,False,69
0.3,0.075,0.0,True,False,70
0.35,0.075,0.0,True,False,71
0.4,0.075,0.0,True,False,72
