,El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  ,Name
,Mixed / non conventional,1.00,3.00,2.00,4.00,5380.43,0.23,0.00,-11.22,1911.335,3.348,ERT72
,Mixed / non conventional,1.00,3.00,4.00,6.00,2675.43,0.28,0.00,29.39,-760.332,3.348,ERT72
,Mixed / non conventional,1.00,3.00,6.00,8.00,4444.64,0.29,0.00,-21.01,-180.446,3.348,ERT72
,Mixed / non conventional,1.00,3.00,8.00,10.00,53798.96,0.28,0.00,-304.63,-728.055,3.348,ERT72
,Mixed / non conventional,1.00,3.00,10.00,12.00,-153180.83,0.28,0.00,17.39,942.264,3.348,ERT72
,Mixed / non conventional,1.00,3.00,12.00,14.00,45878.74,0.29,0.00,-3.58,-151.962,3.348,ERT72
,Mixed / non conventional,1.00,3.00,14.00,16.00,44661.63,0.29,0.00,-105.67,-88.758,3.348,ERT72
,Mixed / non conventional,1.00,3.00,16.00,18.00,463559.81,0.29,0.00,-0.79,-596.104,3.348,ERT72
,Mixed / non conventional,1.00,3.00,18.00,20.00,-627150.00,0.29,0.00,134.30,551.798,3.348,ERT72
,Mixed / non conventional,1.00,3.00,20.00,22.00,-76347.23,0.29,0.00,-28.11,47.981,3.348,ERT72
,Mixed / non conventional,1.00,3.00,5.00,7.00,3642.63,0.08,0.00,-24.30,-561.402,5.810,ERT72
,Mixed / non conventional,1.00,3.00,7.00,9.00,82434.77,0.08,0.00,-256.38,-3176.210,5.810,ERT72
,Mixed / non conventional,1.00,3.00,9.00,11.00,-206219.31,0.07,0.00,47.28,3178.253,5.810,ERT72
,Mixed / non conventional,1.00,3.00,11.00,13.00,-14229.39,0.07,0.00,1.98,109.652,5.810,ERT72
,Mixed / non conventional,1.00,3.00,13.00,15.00,42945.33,0.07,0.00,-36.28,-189.107,5.810,ERT72
,Mixed / non conventional,1.00,3.00,15.00,17.00,666540.69,0.07,0.00,-113.82,-1834.412,5.810,ERT72
,Mixed / non conventional,1.00,3.00,17.00,19.00,-734206.63,0.08,0.00,18.57,1347.099,5.810,ERT72
,Mixed / non conventional,1.00,3.00,19.00,21.00,-330623.06,0.08,0.00,18.69,424.630,5.810,ERT72
,Mixed / non conventional,1.00,3.00,21.00,23.00,50239.72,0.09,0.00,110.74,-46.927,5.810,ERT72
,Mixed / non conventional,1.00,3.00,23.00,25.00,1747100.13,0.07,0.00,-101.64,-1223.921,5.810,ERT72
,Mixed / non conventional,1.00,3.00,22.00,24.00,92579.41,0.00,0.00,-46.82,-73.994,5.761,ERT72
,Mixed / non conventional,1.00,3.00,24.00,26.00,1304649.13,0.00,0.00,94.97,-792.486,5.761,ERT72
,Mixed / non conventional,1.00,3.00,26.00,28.00,-1187369.13,0.03,0.00,-17.62,560.974,5.761,ERT72
,Mixed / non conventional,1.00,3.00,28.00,30.00,-438084.63,0.00,0.00,-27.34,164.150,5.761,ERT72
,Mixed / non conventional,1.00,3.00,30.00,32.00,22129.12,0.03,0.00,1.98,-6.687,5.761,ERT72
,Mixed / non conventional,1.00,3.00,32.00,34.00,2406070.25,0.05,0.00,-10.71,-594.003,5.752,ERT72
,Mixed / non conventional,1.00,3.00,34.00,36.00,-1687906.38,0.06,0.00,7.44,345.263,5.752,ERT72
,Mixed / non conventional,1.00,3.00,36.00,38.00,-893114.25,0.07,0.00,-37.81,153.065,5.752,ERT72
,Mixed / non conventional,1.00,3.00,38.00,40.00,-280849.25,0.05,0.00,96.47,40.727,5.752,ERT72
,Mixed / non conventional,1.00,3.00,40.00,42.00,3729243.75,0.05,0.00,-67.41,-461.655,5.752,ERT72
,Mixed / non conventional,1.00,3.00,25.00,27.00,-1374953.38,0.04,0.00,64.23,732.788,5.746,ERT72
,Mixed / non conventional,1.00,3.00,27.00,29.00,-834362.94,0.06,0.00,-61.81,349.389,5.746,ERT72
,Mixed / non conventional,1.00,3.00,29.00,31.00,-127149.52,0.05,0.00,39.64,42.595,5.746,ERT72
,Mixed / non conventional,1.00,3.00,31.00,33.00,3094411.75,0.05,0.00,-69.27,-842.255,5.746,ERT72
,Mixed / non conventional,1.00,3.00,33.00,35.00,-1925033.75,0.06,0.00,130.74,431.511,5.746,ERT72
,Mixed / non conventional,1.00,3.00,35.00,37.00,-1360638.75,0.06,0.00,-111.38,254.161,5.746,ERT72
,Mixed / non conventional,1.00,3.00,37.00,39.00,-494975.16,0.06,0.00,71.03,77.860,5.746,ERT72
,Mixed / non conventional,1.00,3.00,39.00,41.00,4265978.50,0.04,0.00,-62.53,-570.388,5.746,ERT72
,Mixed / non conventional,1.00,3.00,41.00,43.00,-2148261.25,0.04,0.00,91.10,246.202,5.746,ERT72
,Mixed / non conventional,1.00,3.00,43.00,45.00,-1848315.88,0.03,0.00,-30.74,182.942,5.746,ERT72
,Mixed / non conventional,1.00,3.00,42.00,44.00,-2145119.00,0.07,0.00,-3.36,227.646,5.731,ERT72
,Mixed / non conventional,1.00,3.00,44.00,46.00,-1456373.13,0.08,0.00,-66.25,133.945,5.731,ERT72
,Mixed / non conventional,1.00,3.00,46.00,48.00,-598291.19,0.08,0.00,21.67,48.000,5.731,ERT72
