,El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  ,Name
,Mixed / non conventional,1.00,3.00,51.00,53.00,-2774016.50,0.38,0.00,-144.77,100.181,3.540,ERT72
,Mixed / non conventional,1.00,3.00,53.00,55.00,-1636352.50,0.38,0.00,163.43,52.526,3.540,ERT72
,Mixed / non conventional,1.00,3.00,55.00,57.00,7014508.50,0.39,0.00,-229.12,-201.047,3.540,ERT72
,Mixed / non conventional,1.00,3.00,57.00,59.00,-2147746.75,0.40,0.00,306.87,55.187,3.540,ERT72
,Mixed / non conventional,1.00,3.00,59.00,61.00,-3556291.25,0.38,0.00,-45.46,82.248,3.540,ERT72
,Mixed / non conventional,1.00,3.00,61.00,63.00,-2359198.50,0.39,0.00,11.61,49.277,3.540,ERT72
,Mixed / non conventional,1.00,3.00,63.00,65.00,8730227.00,0.38,0.00,-76.16,-165.272,3.540,ERT72
,Mixed / non conventional,1.00,3.00,62.00,64.00,-1197552.88,0.04,0.00,-76.17,40.903,6.082,ERT72
,Mixed / non conventional,1.00,3.00,64.00,66.00,8808947.00,0.04,0.00,-224.48,-273.065,6.082,ERT72
,Mixed / non conventional,1.00,3.00,66.00,68.00,-4125722.25,0.05,0.00,158.84,116.447,6.082,ERT72
,Mixed / non conventional,1.00,3.00,68.00,70.00,-3923393.75,0.05,0.00,94.51,101.109,6.082,ERT72
,Mixed / non conventional,1.00,3.00,70.00,72.00,-1438687.63,0.08,0.00,-175.82,33.940,6.082,ERT72
,Mixed / non conventional,1.00,3.00,72.00,2.00,4327848.50,0.10,0.00,-49.58,-1710.421,6.082,ERT72
,Mixed / non conventional,1.00,3.00,65.00,67.00,-2513219.50,0.11,0.00,25.22,50.171,4.106,ERT72
,Mixed / non conventional,1.00,3.00,67.00,69.00,-4356065.50,0.13,0.00,-91.76,79.284,4.106,ERT72
,Mixed / non conventional,1.00,3.00,69.00,71.00,-2953121.25,0.08,0.00,-93.25,49.145,4.106,ERT72
,Mixed / non conventional,2.00,4.00,3.00,5.00,3697.79,0.39,0.00,-435.99,589.664,1.503,ERT72
,Mixed / non conventional,2.00,4.00,5.00,7.00,1915.89,0.20,0.00,-9.54,-244.412,1.503,ERT72
,Mixed / non conventional,2.00,4.00,7.00,9.00,44405.20,0.21,0.00,-66.95,-809.259,1.503,ERT72
,Mixed / non conventional,2.00,4.00,9.00,11.00,-85725.83,0.21,0.00,53.64,520.767,1.503,ERT72
,Mixed / non conventional,2.00,4.00,11.00,13.00,-112986.23,0.20,0.00,72.06,311.986,1.503,ERT72
,Mixed / non conventional,2.00,4.00,13.00,15.00,32488.88,0.22,0.00,-41.56,-48.306,1.503,ERT72
,Mixed / non conventional,2.00,4.00,15.00,17.00,594113.94,0.21,0.00,-137.23,-530.012,1.503,ERT72
,Mixed / non conventional,2.00,4.00,17.00,19.00,-470419.69,0.21,0.00,72.30,271.546,1.503,ERT72
,Mixed / non conventional,2.00,4.00,19.00,21.00,-544550.31,0.21,0.00,-19.76,215.074,1.503,ERT72
,Mixed / non conventional,2.00,4.00,21.00,23.00,-37613.50,0.05,0.00,139.74,31.924,4.522,ERT72
,Mixed / non conventional,2.00,4.00,6.00,8.00,2504.05,0.17,0.00,11.20,-297.409,4.478,ERT72
,Mixed / non conventional,2.00,4.00,8.00,10.00,66267.76,0.17,0.00,-128.36,-1967.669,4.478,ERT72
,Mixed / non conventional,2.00,4.00,10.00,12.00,-169506.00,0.17,0.00,131.62,2013.239,4.478,ERT72
,Mixed / non conventional,2.00,4.00,12.00,14.00,-4915.20,0.21,0.00,-130.94,29.189,4.478,ERT72
,Mixed / non conventional,2.00,4.00,14.00,16.00,34161.57,0.17,0.00,-41.36,-115.926,4.478,ERT72
,Mixed / non conventional,2.00,4.00,16.00,18.00,585491.56,0.17,0.00,-40.01,-1241.772,4.478,ERT72
,Mixed / non conventional,2.00,4.00,18.00,20.00,-667887.63,0.16,0.00,206.22,944.356,4.478,ERT72
,Mixed / non conventional,2.00,4.00,20.00,22.00,-262836.59,0.17,0.00,-14.02,260.144,4.478,ERT72
,Mixed / non conventional,2.00,4.00,22.00,24.00,39268.20,0.16,0.00,-137.40,-28.266,4.478,ERT72
,Mixed / non conventional,2.00,4.00,24.00,26.00,1450604.25,1.34,0.00,-23.07,-54.724,0.313,ERT72
,Mixed / non conventional,2.00,4.00,23.00,25.00,1750986.00,0.12,0.00,-211.34,-555.374,2.286,ERT72
,Mixed / non conventional,2.00,4.00,25.00,27.00,-1052126.50,0.12,0.00,280.92,253.620,2.286,ERT72
,Mixed / non conventional,2.00,4.00,27.00,29.00,-1117319.50,0.11,0.00,-118.27,209.484,2.286,ERT72
,Mixed / non conventional,2.00,4.00,29.00,31.00,-333034.69,0.11,0.00,-4.17,49.521,2.286,ERT72
,Mixed / non conventional,2.00,4.00,31.00,33.00,3210445.75,0.12,0.00,-77.81,-384.986,2.286,ERT72
,Mixed / non conventional,2.00,4.00,33.00,35.00,-1603985.00,0.11,0.00,316.91,157.375,2.286,ERT72
,Mixed / non conventional,2.00,4.00,35.00,37.00,-1700623.13,0.12,0.00,-295.71,138.249,2.286,ERT72
,Mixed / non conventional,2.00,4.00,37.00,39.00,-781808.81,0.12,0.00,52.74,53.250,2.286,ERT72
,Mixed / non conventional,2.00,4.00,39.00,41.00,4630313.00,0.12,0.00,-102.87,-266.856,2.286,ERT72
,Mixed / non conventional,2.00,4.00,41.00,43.00,-1938510.38,0.11,0.00,386.35,95.371,2.286,ERT72
,Mixed / non conventional,2.00,4.00,26.00,28.00,-1214732.88,0.04,0.00,246.64,501.527,4.452,ERT72
,Mixed / non conventional,2.00,4.00,28.00,30.00,-776417.06,0.03,0.00,-113.45,251.868,4.452,ERT72
,Mixed / non conventional,2.00,4.00,30.00,32.00,-99211.45,0.05,0.00,25.51,25.747,4.452,ERT72
,Mixed / non conventional,2.00,4.00,32.00,34.00,2860424.25,0.03,0.00,-107.89,-603.141,4.452,ERT72
,Mixed / non conventional,2.00,4.00,34.00,36.00,-1736368.00,0.05,0.00,162.94,301.522,4.452,ERT72
,Mixed / non conventional,2.00,4.00,36.00,38.00,-1339447.75,0.04,0.00,-32.61,193.827,4.452,ERT72
,Mixed / non conventional,2.00,4.00,38.00,40.00,-422915.66,0.05,0.00,-10.50,51.536,4.452,ERT72
,Mixed / non conventional,2.00,4.00,40.00,42.00,4382717.50,0.04,0.00,-120.27,-453.961,4.452,ERT72
,Mixed / non conventional,2.00,4.00,42.00,44.00,-2284281.50,0.03,0.00,153.47,202.804,4.452,ERT72
,Mixed / non conventional,2.00,4.00,44.00,46.00,-2051564.63,0.00,0.00,-162.65,157.306,4.452,ERT72
,Mixed / non conventional,2.00,4.00,43.00,45.00,-2344965.25,0.54,0.00,-255.98,128.130,2.951,ERT72
,Mixed / non conventional,2.00,4.00,45.00,47.00,-1350195.25,0.56,0.00,63.80,63.938,2.951,ERT72
,Mixed / non conventional,2.00,4.00,47.00,49.00,6106092.50,0.54,0.00,-211.81,-252.232,2.951,ERT72
,Mixed / non conventional,2.00,4.00,49.00,51.00,-2105950.25,0.54,0.00,257.04,76.344,2.951,ERT72
,Mixed / non conventional,2.00,4.00,51.00,53.00,-3129458.50,0.54,0.00,-148.90,100.100,2.951,ERT72
,Mixed / non conventional,2.00,4.00,53.00,55.00,-2066106.13,0.56,0.00,165.47,58.604,2.951,ERT72
,Mixed / non conventional,2.00,4.00,55.00,57.00,7836093.50,0.53,0.00,-232.59,-198.021,2.951,ERT72
,Mixed / non conventional,2.00,4.00,57.00,59.00,-2198250.00,0.55,0.00,313.63,49.705,2.951,ERT72
,Mixed / non conventional,2.00,4.00,59.00,61.00,-3977797.75,0.56,0.00,-51.38,80.792,2.951,ERT72
,Mixed / non conventional,2.00,4.00,61.00,63.00,-2870055.00,0.57,0.00,11.09,52.559,2.951,ERT72
,Mixed / non conventional,2.00,4.00,46.00,48.00,-688886.25,0.09,0.00,64.80,45.965,4.455,ERT72
,Mixed / non conventional,2.00,4.00,48.00,50.00,6042158.50,0.09,0.00,-23.00,-352.763,4.455,ERT72
,Mixed / non conventional,2.00,4.00,50.00,52.00,-2879594.00,0.09,0.00,77.81,147.943,4.455,ERT72
,Mixed / non conventional,2.00,4.00,52.00,54.00,-2803482.75,0.10,0.00,-38.63,127.420,4.455,ERT72
,Mixed / non conventional,2.00,4.00,54.00,56.00,-1141839.38,0.10,0.00,130.55,46.128,4.455,ERT72
,Mixed / non conventional,2.00,4.00,56.00,58.00,7938616.50,0.09,0.00,-190.92,-286.359,4.455,ERT72
,Mixed / non conventional,2.00,4.00,58.00,60.00,-3681940.25,0.09,0.00,74.72,119.067,4.455,ERT72
,Mixed / non conventional,2.00,4.00,60.00,62.00,-3620433.25,0.10,0.00,261.90,105.379,4.455,ERT72
,Mixed / non conventional,2.00,4.00,62.00,64.00,-1517740.75,0.09,0.00,-77.68,39.897,4.455,ERT72
,Mixed / non conventional,2.00,4.00,64.00,66.00,10067101.00,0.10,0.00,-227.79,-239.853,4.455,ERT72
,Mixed / non conventional,2.00,4.00,63.00,65.00,9836239.00,0.21,0.00,-70.40,-198.904,3.601,ERT72
,Mixed / non conventional,2.00,4.00,65.00,67.00,-2703069.25,0.21,0.00,22.61,49.608,3.601,ERT72
,Mixed / non conventional,2.00,4.00,67.00,69.00,-4919805.50,0.20,0.00,-93.86,82.211,3.601,ERT72
,Mixed / non conventional,2.00,4.00,69.00,71.00,-3489161.25,0.22,0.00,-95.31,53.236,3.601,ERT72
,Mixed / non conventional,2.00,4.00,71.00,1.00,7123.75,0.20,0.00,-18.44,-2723.402,3.601,ERT72
,Mixed / non conventional,2.00,4.00,1.00,3.00,5816.26,0.21,0.00,323.34,2222.111,3.601,ERT72
,Mixed / non conventional,2.00,4.00,66.00,68.00,-4539285.00,0.03,0.00,165.45,98.816,4.478,ERT72
,Mixed / non conventional,2.00,4.00,68.00,70.00,-4520699.50,0.05,0.00,99.90,89.726,4.478,ERT72
,Mixed / non conventional,2.00,4.00,70.00,72.00,-1753421.88,0.05,0.00,-183.22,31.820,4.478,ERT72
,Mixed / non conventional,3.00,5.00,4.00,6.00,4957.61,0.26,0.00,-484.83,2847.979,5.414,ERT72
,Mixed / non conventional,3.00,5.00,6.00,8.00,2181.55,0.16,0.00,29.32,-1002.579,5.414,ERT72
,Mixed / non conventional,3.00,5.00,8.00,10.00,39461.23,0.15,0.00,-70.36,-2590.758,5.414,ERT72
,Mixed / non conventional,3.00,5.00,10.00,12.00,-63129.79,0.14,0.00,96.04,1381.557,5.414,ERT72
,Mixed / non conventional,3.00,5.00,12.00,14.00,-127914.27,0.17,0.00,-157.70,1272.423,5.414,ERT72
,Mixed / non conventional,3.00,5.00,14.00,16.00,32057.71,0.16,0.00,-36.00,-171.711,5.414,ERT72
,Mixed / non conventional,3.00,5.00,16.00,18.00,557227.25,0.16,0.00,0.64,-1790.814,5.414,ERT72
,Mixed / non conventional,3.00,5.00,18.00,20.00,-390593.00,0.15,0.00,187.31,812.241,5.414,ERT72
,Mixed / non conventional,3.00,5.00,20.00,22.00,-546619.63,0.16,0.00,-32.33,777.746,5.414,ERT72
