,El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  
,Mixed / non conventional,1.00,3.00,2.00,4.00,4724.90,1.10,0.00,-50.66,97.074,0.194
,Mixed / non conventional,1.00,3.00,4.00,6.00,2207.27,0.42,0.00,49.37,-36.279,0.194
,Mixed / non conventional,1.00,3.00,6.00,8.00,2449.77,0.28,0.00,-30.10,-46.358,1.561
,Mixed / non conventional,1.00,3.00,8.00,10.00,49955.62,0.27,0.00,-258.98,-315.109,1.561
,Mixed / non conventional,1.00,3.00,10.00,12.00,-131333.47,0.25,0.00,28.61,371.261,1.539
,Mixed / non conventional,1.00,3.00,12.00,14.00,30730.39,0.28,0.00,-45.37,-46.776,1.539
,Mixed / non conventional,1.00,3.00,14.00,16.00,23173.57,0.08,0.00,-71.93,-48.955,3.559
,Mixed / non conventional,1.00,3.00,16.00,18.00,428419.31,0.06,0.00,-23.02,-585.623,3.559
,Mixed / non conventional,1.00,3.00,18.00,20.00,-552079.19,0.04,0.00,171.23,381.132,2.627
,Mixed / non conventional,1.00,3.00,20.00,22.00,-97528.51,0.07,0.00,-5.94,48.092,2.627
,Mixed / non conventional,1.00,3.00,5.00,7.00,2384.57,0.00,0.00,10.97,-45.357,0.717
,Mixed / non conventional,1.00,3.00,7.00,9.00,71558.22,0.10,0.00,-178.02,-340.275,0.717
,Mixed / non conventional,1.00,3.00,9.00,11.00,-172497.09,0.24,0.00,-50.15,994.026,2.172
,Mixed / non conventional,1.00,3.00,11.00,13.00,-16626.26,0.23,0.00,54.90,47.905,2.172
,Mixed / non conventional,1.00,3.00,13.00,15.00,26525.39,0.08,0.00,-1.35,-48.428,2.409
,Mixed / non conventional,1.00,3.00,15.00,17.00,591922.00,0.08,0.00,-135.19,-675.421,2.409
,Mixed / non conventional,1.00,3.00,17.00,19.00,-650519.50,0.29,0.00,7.52,135.202,0.658
,Mixed / non conventional,1.00,3.00,19.00,21.00,-311118.81,0.32,0.00,46.22,45.263,0.658
,Mixed / non conventional,1.00,3.00,21.00,23.00,14480.88,0.11,0.00,97.57,-51.616,22.172
,Mixed / non conventional,1.00,3.00,23.00,25.00,1584286.63,0.12,0.00,-221.08,-4235.315,22.172
,Mixed / non conventional,1.00,3.00,22.00,24.00,48016.53,0.11,0.00,-38.52,-50.138,7.526
,Mixed / non conventional,1.00,3.00,24.00,26.00,1220236.75,0.12,0.00,-72.38,-968.351,7.526
,Mixed / non conventional,1.00,3.00,26.00,28.00,-1078426.75,0.19,0.00,123.55,139.169,1.574
,Mixed / non conventional,1.00,3.00,28.00,30.00,-471911.69,0.19,0.00,-42.62,48.299,1.574
,Mixed / non conventional,1.00,3.00,30.00,32.00,-30903.74,0.18,0.00,23.28,50.516,31.163
,Mixed / non conventional,1.00,3.00,32.00,34.00,2307266.00,0.19,0.00,-174.25,-3085.833,31.163
,Mixed / non conventional,1.00,3.00,34.00,36.00,-1520283.75,0.12,0.00,94.52,99.259,1.836
,Mixed / non conventional,1.00,3.00,36.00,38.00,-890255.81,0.12,0.00,-2.56,48.700,1.836
,Mixed / non conventional,1.00,3.00,38.00,40.00,-434344.53,0.08,0.00,18.29,50.198,4.584
,Mixed / non conventional,1.00,3.00,40.00,42.00,3627301.00,0.06,0.00,-111.71,-357.867,4.584
,Mixed / non conventional,1.00,3.00,25.00,27.00,-1236009.13,0.08,0.00,108.44,94.102,0.821
,Mixed / non conventional,1.00,3.00,27.00,29.00,-781907.13,0.07,0.00,-34.31,46.773,0.821
,Mixed / non conventional,1.00,3.00,29.00,31.00,-202561.73,0.14,0.00,36.03,50.071,4.240
,Mixed / non conventional,1.00,3.00,31.00,33.00,2874677.25,0.13,0.00,-153.59,-577.351,4.240
,Mixed / non conventional,1.00,3.00,33.00,35.00,-1689627.50,0.19,0.00,170.49,77.014,1.168
,Mixed / non conventional,1.00,3.00,35.00,37.00,-1261964.63,0.15,0.00,-88.63,47.934,1.168
,Mixed / non conventional,1.00,3.00,37.00,39.00,-631687.56,0.25,0.00,70.71,49.458,2.860
,Mixed / non conventional,1.00,3.00,39.00,41.00,3957127.00,0.25,0.00,-123.20,-263.348,2.860
,Mixed / non conventional,1.00,3.00,41.00,43.00,-1803800.38,0.11,0.00,123.51,60.448,1.680
,Mixed / non conventional,1.00,3.00,43.00,45.00,-1685207.50,0.05,0.00,29.73,48.773,1.680
,Mixed / non conventional,1.00,3.00,42.00,44.00,-1885421.75,0.18,0.00,82.17,78.267,2.242
,Mixed / non conventional,1.00,3.00,44.00,46.00,-1367545.13,0.16,0.00,-98.79,49.199,2.242
,Mixed / non conventional,1.00,3.00,46.00,48.00,-788184.75,0.06,0.00,41.48,50.233,4.552
,Mixed / non conventional,1.00,3.00,48.00,50.00,4802223.00,0.05,0.00,-42.23,-268.594,4.552
,Mixed / non conventional,1.00,3.00,50.00,52.00,-2167371.25,0.14,0.00,81.12,67.502,2.873
,Mixed / non conventional,1.00,3.00,52.00,54.00,-1795336.38,0.13,0.00,-17.65,49.583,2.873
,Mixed / non conventional,1.00,3.00,54.00,56.00,-1181536.63,0.18,0.00,50.90,50.357,4.976
,Mixed / non conventional,1.00,3.00,56.00,58.00,5882513.00,0.17,0.00,-33.76,-224.332,4.976
,Mixed / non conventional,1.00,3.00,58.00,60.00,-2437442.50,0.20,0.00,43.91,60.585,3.611
,Mixed / non conventional,1.00,3.00,60.00,62.00,-2233040.75,0.22,0.00,82.70,50.044,3.611
,Mixed / non conventional,1.00,3.00,45.00,47.00,-1047055.25,0.15,0.00,-1.00,49.798,3.175
,Mixed / non conventional,1.00,3.00,47.00,49.00,4852128.50,0.14,0.00,-155.32,-201.923,3.175
,Mixed / non conventional,1.00,3.00,49.00,51.00,-1857824.38,0.10,0.00,128.12,50.087,2.338
,Mixed / non conventional,1.00,3.00,51.00,53.00,-2070925.88,0.12,0.00,-100.66,49.393,2.338
,Mixed / non conventional,1.00,3.00,53.00,55.00,-1581355.00,0.09,0.00,93.69,49.906,3.480
,Mixed / non conventional,1.00,3.00,55.00,57.00,5782681.00,0.09,0.00,-86.64,-162.951,3.480
,Mixed / non conventional,1.00,3.00,57.00,59.00,-1799259.00,0.05,0.00,190.57,50.065,3.833
,Mixed / non conventional,1.00,3.00,59.00,61.00,-2403891.00,0.04,0.00,-101.20,60.205,3.833
,Mixed / non conventional,1.00,3.00,61.00,63.00,-1981074.63,0.28,0.00,-7.41,50.186,4.293
,Mixed / non conventional,1.00,3.00,63.00,65.00,6560843.00,0.28,0.00,182.48,-150.639,4.293
,Mixed / non conventional,1.00,3.00,62.00,64.00,-1469738.63,0.00,0.00,-82.12,50.421,6.109
,Mixed / non conventional,1.00,3.00,64.00,66.00,6820484.00,0.04,0.00,60.42,-212.356,6.109
,Mixed / non conventional,1.00,3.00,66.00,68.00,-2595777.75,0.23,0.00,12.34,54.353,4.512
,Mixed / non conventional,1.00,3.00,68.00,70.00,-2638011.50,0.25,0.00,-28.76,50.435,4.512
,Mixed / non conventional,1.00,3.00,70.00,72.00,-1562479.38,0.05,0.00,137.79,51.190,8.446
,Mixed / non conventional,1.00,3.00,72.00,2.00,3182859.25,0.16,0.00,67.02,-1746.922,8.446
,Mixed / non conventional,1.00,3.00,65.00,67.00,-1926998.00,0.10,0.00,-91.77,50.643,5.406
,Mixed / non conventional,1.00,3.00,67.00,69.00,-2751116.00,0.08,0.00,-0.19,65.921,5.406
,Mixed / non conventional,1.00,3.00,69.00,71.00,-2215475.25,0.10,0.00,-4.44,50.593,5.634
,Mixed / non conventional,2.00,4.00,3.00,5.00,4457.48,2.75,0.00,-759.05,89.247,0.189
,Mixed / non conventional,2.00,4.00,5.00,7.00,2401.71,0.60,0.00,1.43,-38.470,0.189
,Mixed / non conventional,2.00,4.00,7.00,9.00,43570.14,1.33,0.00,-194.90,-66.348,0.126
,Mixed / non conventional,2.00,4.00,9.00,11.00,-74240.60,1.34,0.00,-33.88,37.684,0.126
,Mixed / non conventional,2.00,4.00,11.00,13.00,-112814.27,0.04,0.00,58.64,525.696,2.536
,Mixed / non conventional,2.00,4.00,13.00,15.00,19158.03,0.03,0.00,-1.88,-48.070,2.536
,Mixed / non conventional,2.00,4.00,15.00,17.00,586000.38,1.52,0.00,-146.42,-92.376,0.266
,Mixed / non conventional,2.00,4.00,17.00,19.00,-412649.28,1.54,0.00,8.86,42.090,0.266
,Mixed / non conventional,2.00,4.00,19.00,21.00,-542596.81,0.13,0.00,51.89,501.853,3.520
,Mixed / non conventional,2.00,4.00,21.00,23.00,-74532.98,0.15,0.00,99.00,49.240,3.520
,Mixed / non conventional,2.00,4.00,6.00,8.00,2801.32,0.44,0.00,-31.61,-45.636,0.614
,Mixed / non conventional,2.00,4.00,8.00,10.00,60447.63,0.45,0.00,-266.48,-246.188,0.614
,Mixed / non conventional,2.00,4.00,10.00,12.00,-141880.47,0.23,0.00,38.90,549.270,1.459
,Mixed / non conventional,2.00,4.00,12.00,14.00,-24346.05,0.24,0.00,-44.72,47.126,1.459
,Mixed / non conventional,2.00,4.00,14.00,16.00,30686.43,0.16,0.00,-72.96,-48.075,2.067
,Mixed / non conventional,2.00,4.00,16.00,18.00,560047.81,0.17,0.00,-35.00,-548.371,2.067
,Mixed / non conventional,2.00,4.00,18.00,20.00,-593343.75,0.18,0.00,177.51,122.768,0.655
,Mixed / non conventional,2.00,4.00,20.00,22.00,-316244.84,0.13,0.00,-4.43,45.804,0.655
,Mixed / non conventional,2.00,4.00,22.00,24.00,29906.51,0.15,0.00,-38.53,-51.861,10.787
,Mixed / non conventional,2.00,4.00,24.00,26.00,1591885.50,0.11,0.00,-94.89,-2070.370,10.787
,Mixed / non conventional,2.00,4.00,23.00,25.00,1778051.50,0.31,0.00,-117.16,-108.688,0.441
,Mixed / non conventional,2.00,4.00,25.00,27.00,-965409.63,0.30,0.00,108.55,44.850,0.441
,Mixed / non conventional,2.00,4.00,27.00,29.00,-1116607.75,0.29,0.00,-32.14,139.707,1.526
,Mixed / non conventional,2.00,4.00,29.00,31.00,-485394.78,0.28,0.00,35.98,48.166,1.526
,Mixed / non conventional,2.00,4.00,31.00,33.00,3394879.25,0.52,0.00,-148.97,-128.780,0.723
