,El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  
,Mixed / non conventional,72.00,65.00,71.00,58.00,2012.05,3.21,0.00,-401.42,49.577,0.171
,Mixed / non conventional,72.00,65.00,71.00,59.00,1309.02,1.92,0.00,210.99,49.344,0.257
,Mixed / non conventional,72.00,65.00,71.00,60.00,670.30,0.57,0.00,-152.19,49.901,0.492
,Mixed / non conventional,72.00,65.00,71.00,61.00,240.14,0.72,0.00,-148.74,44.340,1.169
,Mixed / non conventional,72.00,65.00,71.00,62.00,-100.49,0.17,0.00,-34.88,-19.760,1.158
,Mixed / non conventional,72.00,65.00,71.00,63.00,-253.62,0.21,0.00,33.02,-50.721,1.028
,Mixed / non conventional,72.00,65.00,71.00,64.00,-257.75,0.58,0.00,38.48,-50.613,0.722
,Mixed / non conventional,72.00,65.00,71.00,66.00,1492.85,0.58,0.00,-402.03,50.254,0.127
,Mixed / non conventional,72.00,65.00,71.00,67.00,1484.86,0.69,0.00,42.18,49.751,0.186
,Mixed / non conventional,72.00,65.00,71.00,68.00,1158.62,2.31,0.00,-42.52,49.503,0.293
,Mixed / non conventional,72.00,65.00,71.00,69.00,810.98,0.84,0.00,-108.12,50.015,0.517
,Mixed / non conventional,72.00,65.00,71.00,70.00,437.82,0.56,0.00,-85.48,42.649,1.148
,Mixed / non conventional,72.00,65.00,71.00,63.00,-254.85,0.58,0.00,32.35,-50.826,1.025
,Mixed / non conventional,72.00,65.00,71.00,70.00,436.57,0.13,0.00,-85.88,42.413,1.145
,Mixed / non conventional,72.00,65.00,71.00,62.00,-100.57,0.85,0.00,-35.76,-19.569,1.146
,Mixed / non conventional,72.00,65.00,2.00,1.00,-7647021.00,0.15,0.00,39.10,50.766,0.891
,Mixed / non conventional,72.00,65.00,4.00,3.00,-24607320.00,0.15,0.00,21.22,95.090,0.473
,Mixed / non conventional,72.00,65.00,3.00,2.00,-13613925.00,0.19,0.00,-62.07,50.241,0.473
,Mixed / non conventional,72.00,65.00,6.00,5.00,18388924.00,0.60,0.00,-54.49,-49.710,0.301
,Mixed / non conventional,72.00,65.00,8.00,7.00,4571770.00,0.18,0.00,-26.35,-50.715,1.122
,Mixed / non conventional,72.00,65.00,7.00,6.00,10664257.00,0.18,0.00,46.47,-112.643,1.122
,Mixed / non conventional,72.00,65.00,10.00,9.00,-4363227.00,0.24,0.00,-15.83,54.015,1.133
,Mixed / non conventional,72.00,65.00,9.00,1.00,460315.41,0.24,0.00,142.61,-36.821,1.133
,Mixed / non conventional,72.00,65.00,14.00,13.00,4460902.50,0.13,0.00,118.58,-68.175,1.132
,Mixed / non conventional,72.00,65.00,13.00,12.00,-85225.99,0.92,0.00,12.15,1.234,1.132
,Mixed / non conventional,72.00,65.00,12.00,11.00,-7999903.00,0.14,0.00,-75.02,109.772,1.132
,Mixed / non conventional,72.00,65.00,11.00,10.00,-6573626.50,0.13,0.00,-56.17,85.596,1.132
,Mixed / non conventional,72.00,65.00,10.00,2.00,573544.50,0.14,0.00,88.23,-48.088,1.132
,Mixed / non conventional,72.00,65.00,16.00,8.00,243484.95,0.07,0.00,115.06,-27.686,1.130
,Mixed / non conventional,72.00,65.00,18.00,17.00,-2532035.50,0.37,0.00,58.92,48.651,1.133
,Mixed / non conventional,72.00,65.00,17.00,9.00,534239.56,0.34,0.00,0.23,-64.290,1.133
,Mixed / non conventional,72.00,65.00,20.00,19.00,-2748269.00,0.31,0.00,-162.91,59.201,1.126
,Mixed / non conventional,72.00,65.00,19.00,18.00,-2774303.25,0.31,0.00,-77.01,56.224,1.126
,Mixed / non conventional,72.00,65.00,18.00,10.00,549418.50,0.31,0.00,75.40,-69.417,1.126
,Mixed / non conventional,72.00,65.00,10.00,1.00,-185610.09,0.33,0.00,127.29,17.034,1.126
,Mixed / non conventional,72.00,65.00,22.00,21.00,741120.88,0.13,0.00,-98.85,-18.126,1.127
,Mixed / non conventional,72.00,65.00,21.00,20.00,-939427.25,0.10,0.00,128.64,21.559,1.127
,Mixed / non conventional,72.00,65.00,20.00,12.00,1040807.69,0.08,0.00,-32.27,-147.485,1.127
,Mixed / non conventional,72.00,65.00,12.00,4.00,2302923.75,0.22,0.00,-1.14,-212.144,1.127
,Mixed / non conventional,72.00,65.00,24.00,16.00,278536.06,0.87,0.00,-32.82,-49.815,1.117
,Mixed / non conventional,72.00,65.00,16.00,15.00,2019083.00,0.85,0.00,179.37,-34.061,1.117
,Mixed / non conventional,72.00,65.00,26.00,25.00,-1363058.75,0.17,0.00,43.72,42.928,1.109
,Mixed / non conventional,72.00,65.00,25.00,17.00,499990.34,0.16,0.00,25.64,-94.565,1.109
,Mixed / non conventional,72.00,65.00,28.00,27.00,-1218215.63,0.46,0.00,-19.14,44.311,1.108
,Mixed / non conventional,72.00,65.00,27.00,26.00,-1307642.13,0.44,0.00,-304.43,44.216,1.108
,Mixed / non conventional,72.00,65.00,26.00,18.00,493814.28,0.45,0.00,10.93,-99.644,1.108
,Mixed / non conventional,72.00,65.00,18.00,9.00,112646.21,0.51,0.00,59.09,-15.380,1.108
,Mixed / non conventional,72.00,65.00,30.00,29.00,-93537.44,0.25,0.00,10.50,3.939,1.103
,Mixed / non conventional,72.00,65.00,29.00,28.00,-695075.25,0.08,0.00,154.19,27.110,1.103
,Mixed / non conventional,72.00,65.00,28.00,20.00,542344.06,0.12,0.00,-72.04,-124.541,1.103
,Mixed / non conventional,72.00,65.00,20.00,11.00,251574.53,0.12,0.00,-107.83,-38.256,1.103
