,El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  
,Mixed / non conventional,72.00,65.00,71.00,1.00,-3025.34,0.68,0.00,-82.09,-41.125,0.102
,Mixed / non conventional,72.00,65.00,71.00,2.00,-3743.92,1.58,0.00,-88.34,-50.345,0.101
,Mixed / non conventional,72.00,65.00,71.00,3.00,-5053.79,1.73,0.00,-98.99,-67.292,0.100
,Mixed / non conventional,72.00,65.00,71.00,4.00,-7668.59,0.82,0.00,-112.30,-102.511,0.101
,Mixed / non conventional,72.00,65.00,71.00,5.00,-7523.08,4.20,0.00,-153.50,-101.958,0.102
,Mixed / non conventional,72.00,65.00,71.00,6.00,-5303.99,3.85,0.00,-92.23,-70.872,0.101
,Mixed / non conventional,72.00,65.00,71.00,7.00,-4263.90,1.55,0.00,-126.27,-55.848,0.099
,Mixed / non conventional,72.00,65.00,71.00,8.00,-3803.38,4.44,0.00,-99.14,-48.629,0.096
,Mixed / non conventional,72.00,65.00,71.00,9.00,-2715.09,3.66,0.00,-221.00,-35.587,0.099
,Mixed / non conventional,72.00,65.00,71.00,10.00,-3191.31,4.55,0.00,-135.20,-42.162,0.099
,Mixed / non conventional,72.00,65.00,71.00,11.00,-3912.42,2.49,0.00,-26.37,-52.471,0.101
,Mixed / non conventional,72.00,65.00,71.00,12.00,-5060.97,1.02,0.00,-34.77,-66.240,0.098
,Mixed / non conventional,72.00,65.00,71.00,13.00,-4991.37,2.88,0.00,-11.85,-64.857,0.098
,Mixed / non conventional,72.00,65.00,71.00,14.00,-4317.10,0.93,0.00,-165.03,-56.420,0.098
,Mixed / non conventional,72.00,65.00,71.00,15.00,-3807.39,0.81,0.00,-4.91,-49.820,0.098
,Mixed / non conventional,72.00,65.00,71.00,16.00,-3481.44,3.97,0.00,-148.83,-45.560,0.098
,Mixed / non conventional,72.00,65.00,71.00,17.00,-2100.25,1.51,0.00,-217.94,-34.287,0.123
,Mixed / non conventional,72.00,65.00,71.00,18.00,-2541.53,3.80,0.00,-230.04,-33.193,0.098
,Mixed / non conventional,72.00,65.00,71.00,19.00,-3029.82,2.65,0.00,-131.13,-39.106,0.097
,Mixed / non conventional,72.00,65.00,71.00,20.00,-3426.88,2.96,0.00,-26.11,-45.830,0.100
,Mixed / non conventional,72.00,65.00,71.00,21.00,-3673.64,1.83,0.00,-171.91,-48.135,0.098
,Mixed / non conventional,72.00,65.00,71.00,22.00,-3521.96,4.83,0.00,-53.80,-46.571,0.099
,Mixed / non conventional,72.00,65.00,71.00,23.00,-3212.73,3.01,0.00,37.12,-42.276,0.099
,Mixed / non conventional,72.00,65.00,71.00,24.00,-3023.82,3.92,0.00,-116.29,-40.445,0.100
,Mixed / non conventional,72.00,65.00,71.00,25.00,-1309.62,1.23,0.00,-180.59,-37.593,0.215
,Mixed / non conventional,72.00,65.00,71.00,26.00,-1664.57,1.29,0.00,-44.01,-35.647,0.161
,Mixed / non conventional,72.00,65.00,71.00,27.00,-2008.13,1.41,0.00,71.62,-34.204,0.128
,Mixed / non conventional,72.00,65.00,71.00,28.00,-2422.49,0.97,0.00,36.00,-32.967,0.102
,Mixed / non conventional,72.00,65.00,71.00,29.00,-2656.52,0.78,0.00,-78.45,-35.396,0.100
,Mixed / non conventional,72.00,65.00,71.00,30.00,-2763.29,3.81,0.00,-60.18,-36.360,0.099
,Mixed / non conventional,72.00,65.00,71.00,31.00,-2797.91,3.96,0.00,72.26,-35.813,0.096
,Mixed / non conventional,72.00,65.00,71.00,32.00,-2680.30,4.52,0.00,32.32,-34.894,0.098
,Mixed / non conventional,72.00,65.00,71.00,33.00,-417.52,0.83,0.00,-154.01,-45.064,0.808
,Mixed / non conventional,72.00,65.00,71.00,34.00,-714.09,1.10,0.00,-119.77,-42.448,0.445
,Mixed / non conventional,72.00,65.00,71.00,35.00,-1037.29,0.27,0.00,215.70,-39.647,0.286
,Mixed / non conventional,72.00,65.00,71.00,36.00,-1445.55,2.82,0.00,-14.64,-36.802,0.190
,Mixed / non conventional,72.00,65.00,71.00,37.00,-1771.93,2.85,0.00,-132.21,-35.164,0.148
,Mixed / non conventional,72.00,65.00,71.00,38.00,-1981.63,1.92,0.00,-159.30,-34.277,0.129
,Mixed / non conventional,72.00,65.00,71.00,39.00,-2108.68,1.52,0.00,89.29,-33.556,0.119
,Mixed / non conventional,72.00,65.00,71.00,40.00,-2223.02,3.81,0.00,216.58,-33.254,0.112
,Mixed / non conventional,72.00,65.00,71.00,41.00,756.61,0.46,0.00,-148.90,42.006,0.414
,Mixed / non conventional,72.00,65.00,71.00,42.00,288.51,0.05,0.00,-65.75,46.848,1.210
,Mixed / non conventional,72.00,65.00,71.00,43.00,-192.24,0.11,0.00,183.54,-48.367,1.872
,Mixed / non conventional,72.00,65.00,71.00,44.00,-589.93,0.70,0.00,-57.39,-44.139,0.556
,Mixed / non conventional,72.00,65.00,71.00,45.00,-933.94,0.20,0.00,-80.33,-40.664,0.323
,Mixed / non conventional,72.00,65.00,71.00,46.00,-1249.00,0.75,0.00,-188.66,-37.971,0.225
,Mixed / non conventional,72.00,65.00,71.00,47.00,-1478.02,0.64,0.00,85.46,-36.420,0.182
,Mixed / non conventional,72.00,65.00,71.00,48.00,-1667.54,1.22,0.00,-70.32,-35.288,0.156
,Mixed / non conventional,72.00,65.00,71.00,49.00,2400.01,2.10,0.00,-227.74,32.532,0.100
,Mixed / non conventional,72.00,65.00,71.00,50.00,1647.01,3.16,0.00,-157.84,35.355,0.158
,Mixed / non conventional,72.00,65.00,71.00,51.00,758.10,0.32,0.00,162.70,41.770,0.404
,Mixed / non conventional,72.00,65.00,71.00,52.00,191.33,0.26,0.00,-39.11,48.208,1.840
,Mixed / non conventional,72.00,65.00,71.00,53.00,-266.49,0.09,0.00,-149.46,-47.467,1.295
,Mixed / non conventional,72.00,65.00,71.00,54.00,-617.85,0.71,0.00,-174.24,-43.576,0.510
,Mixed / non conventional,72.00,65.00,71.00,55.00,-946.99,0.53,0.00,104.78,-40.175,0.305
,Mixed / non conventional,72.00,65.00,71.00,56.00,-1097.22,0.35,0.00,91.20,-38.827,0.252
,Mixed / non conventional,72.00,65.00,71.00,57.00,4660.12,1.80,0.00,-220.35,64.285,0.097
,Mixed / non conventional,72.00,65.00,71.00,58.00,3306.49,2.09,0.00,-201.48,46.625,0.098
,Mixed / non conventional,72.00,65.00,71.00,59.00,1942.69,1.80,0.00,275.99,33.215,0.116
,Mixed / non conventional,72.00,65.00,71.00,60.00,850.22,0.51,0.00,-89.16,40.038,0.311
,Mixed / non conventional,72.00,65.00,71.00,61.00,288.87,0.29,0.00,-101.87,46.355,1.016
,Mixed / non conventional,72.00,65.00,71.00,62.00,-111.74,0.10,0.00,-6.97,-49.191,2.593
,Mixed / non conventional,72.00,65.00,71.00,63.00,-306.52,0.15,0.00,201.38,-45.875,0.769
,Mixed / non conventional,72.00,65.00,71.00,64.00,-333.45,0.72,0.00,226.41,-43.144,0.476
,Mixed / non conventional,72.00,65.00,71.00,66.00,2677.81,1.49,0.00,-173.56,70.739,0.100
,Mixed / non conventional,72.00,65.00,71.00,67.00,2454.30,2.10,0.00,189.56,42.247,0.095
,Mixed / non conventional,72.00,65.00,71.00,68.00,1602.35,1.85,0.00,38.24,34.824,0.149
,Mixed / non conventional,72.00,65.00,71.00,69.00,1025.24,0.11,0.00,-53.84,40.591,0.332
,Mixed / non conventional,72.00,65.00,71.00,70.00,493.30,0.08,0.00,138.15,46.768,1.117
,Mixed / non conventional,72.00,65.00,71.00,63.00,-306.87,0.32,0.00,197.92,-45.411,0.761
,Mixed / non conventional,72.00,65.00,71.00,70.00,494.17,0.05,0.00,137.27,46.876,1.118
,Mixed / non conventional,72.00,65.00,71.00,62.00,-111.73,0.08,0.00,-11.07,-49.299,2.599
,Mixed / non conventional,72.00,65.00,2.00,1.00,-11116059.00,0.56,0.00,3.25,44.063,0.532
,Mixed / non conventional,72.00,65.00,4.00,3.00,-43032692.00,1.04,0.00,13.41,82.997,0.236
,Mixed / non conventional,72.00,65.00,3.00,2.00,-20902950.00,1.01,0.00,5.95,38.501,0.236
,Mixed / non conventional,72.00,65.00,6.00,5.00,35582796.00,0.72,0.00,-67.40,-32.360,0.101
,Mixed / non conventional,72.00,65.00,8.00,7.00,6030285.00,0.10,0.00,-27.94,-45.185,0.758
,Mixed / non conventional,72.00,65.00,7.00,6.00,14490484.00,0.07,0.00,31.44,-103.385,0.758
,Mixed / non conventional,72.00,65.00,10.00,9.00,-5530508.50,0.24,0.00,-85.45,62.724,1.038
,Mixed / non conventional,72.00,65.00,9.00,1.00,633839.13,0.20,0.00,124.54,-46.449,1.038
,Mixed / non conventional,72.00,65.00,14.00,13.00,5522355.00,0.11,0.00,171.95,-323.733,4.341
,Mixed / non conventional,72.00,65.00,13.00,12.00,907640.44,0.07,0.00,-32.05,-50.394,4.341
,Mixed / non conventional,72.00,65.00,12.00,11.00,-10348872.00,0.83,0.00,8.10,57.618,0.459
,Mixed / non conventional,72.00,65.00,11.00,10.00,-8250607.50,0.75,0.00,-118.00,43.591,0.459
,Mixed / non conventional,72.00,65.00,10.00,2.00,897294.13,0.21,0.00,35.31,-44.794,0.674
,Mixed / non conventional,72.00,65.00,16.00,8.00,305276.84,0.03,0.00,45.98,-47.769,1.555
,Mixed / non conventional,72.00,65.00,18.00,17.00,-2948916.50,0.14,0.00,10.38,46.514,0.930
,Mixed / non conventional,72.00,65.00,17.00,9.00,665909.75,0.07,0.00,-10.85,-65.784,0.930
,Mixed / non conventional,72.00,65.00,20.00,19.00,-3202301.75,0.44,0.00,-117.33,52.532,0.857
,Mixed / non conventional,72.00,65.00,19.00,18.00,-2987586.00,0.42,0.00,-95.25,46.109,0.857
,Mixed / non conventional,72.00,65.00,18.00,10.00,714994.13,0.10,0.00,89.14,-260.418,3.245
,Mixed / non conventional,72.00,65.00,10.00,1.00,-189199.55,0.10,0.00,38.87,50.054,3.245
,Mixed / non conventional,72.00,65.00,22.00,21.00,649538.88,0.03,0.00,-117.24,-50.440,3.578
,Mixed / non conventional,72.00,65.00,21.00,20.00,-1025421.75,0.06,0.00,156.03,74.720,3.578
,Mixed / non conventional,72.00,65.00,20.00,12.00,1523934.13,0.27,0.00,-15.63,-39.342,0.205
,Mixed / non conventional,72.00,65.00,12.00,4.00,4275870.50,0.72,0.00,-78.31,-71.760,0.205
,Mixed / non conventional,72.00,65.00,24.00,16.00,292691.81,0.13,0.00,-31.11,-57.844,1.234
,Mixed / non conventional,72.00,65.00,16.00,15.00,2541722.75,0.13,0.00,153.81,-47.380,1.234
,Mixed / non conventional,72.00,65.00,26.00,25.00,-1427802.25,0.29,0.00,-135.66,47.359,1.168
,Mixed / non conventional,72.00,65.00,25.00,17.00,500428.50,0.27,0.00,-35.72,-99.682,1.168
,Mixed / non conventional,72.00,65.00,28.00,27.00,-1297014.38,0.27,0.00,39.38,50.752,1.192
,Mixed / non conventional,72.00,65.00,27.00,26.00,-1303872.25,0.26,0.00,-124.84,47.428,1.192
,Mixed / non conventional,72.00,65.00,26.00,18.00,515937.09,0.03,0.00,-178.10,-222.713,2.371
,Mixed / non conventional,72.00,65.00,18.00,9.00,166525.97,0.00,0.00,0.04,-48.639,2.371
,Mixed / non conventional,72.00,65.00,30.00,29.00,-223324.36,0.07,0.00,-16.39,50.093,5.874
,Mixed / non conventional,72.00,65.00,29.00,28.00,-898698.50,0.06,0.00,116.84,186.689,5.874
,Mixed / non conventional,72.00,65.00,28.00,20.00,616014.81,0.29,0.00,-49.79,-97.380,0.759
,Mixed / non conventional,72.00,65.00,20.00,11.00,439428.66,0.17,0.00,-9.40,-46.001,0.759
,Mixed / non conventional,72.00,65.00,11.00,3.00,1652673.13,0.36,0.00,-84.06,-40.521,0.315
,Mixed / non conventional,72.00,65.00,32.00,24.00,182762.33,0.42,0.00,-161.35,-46.123,0.908
,Mixed / non conventional,72.00,65.00,34.00,33.00,-716606.94,0.04,0.00,-39.55,47.343,1.245
,Mixed / non conventional,72.00,65.00,33.00,25.00,371453.72,0.05,0.00,-24.72,-138.832,1.245
,Mixed / non conventional,72.00,65.00,36.00,35.00,-746633.88,0.07,0.00,234.29,54.980,1.161
,Mixed / non conventional,72.00,65.00,35.00,34.00,-701913.25,0.04,0.00,-340.58,47.196,1.161
,Mixed / non conventional,72.00,65.00,34.00,26.00,351596.00,0.23,0.00,70.89,-118.610,1.039
,Mixed / non conventional,72.00,65.00,26.00,17.00,225373.78,0.17,0.00,-170.84,-46.592,1.039
,Mixed / non conventional,72.00,65.00,38.00,37.00,-305262.44,0.05,0.00,26.09,48.742,2.080
,Mixed / non conventional,72.00,65.00,37.00,36.00,-497169.47,0.08,0.00,116.31,72.056,2.080
,Mixed / non conventional,72.00,65.00,36.00,28.00,285180.28,0.47,0.00,50.65,-73.943,0.677
,Mixed / non conventional,72.00,65.00,28.00,19.00,293299.09,0.43,0.00,-171.08,-45.168,0.677
,Mixed / non conventional,72.00,65.00,19.00,11.00,1014381.13,0.12,0.00,110.79,-215.144,1.786
,Mixed / non conventional,72.00,65.00,11.00,2.00,-322693.31,0.14,0.00,-81.24,49.329,1.786
,Mixed / non conventional,72.00,65.00,42.00,41.00,-521431.09,0.49,0.00,-90.86,45.643,0.747
,Mixed / non conventional,72.00,65.00,41.00,33.00,258040.48,0.48,0.00,-2.47,-116.556,0.747
,Mixed / non conventional,72.00,65.00,44.00,43.00,-355715.75,0.30,0.00,241.54,46.027,0.871
,Mixed / non conventional,72.00,65.00,43.00,42.00,-491449.41,0.31,0.00,-249.01,56.358,0.871
,Mixed / non conventional,72.00,65.00,42.00,34.00,199180.38,0.42,0.00,-54.79,-79.481,0.597
,Mixed / non conventional,72.00,65.00,34.00,25.00,209741.45,0.40,0.00,-65.30,-44.189,0.597
,Mixed / non conventional,72.00,65.00,46.00,45.00,-204011.61,0.22,0.00,114.28,47.140,1.203
,Mixed / non conventional,72.00,65.00,45.00,44.00,-257597.13,0.21,0.00,14.62,52.181,1.203
,Mixed / non conventional,72.00,65.00,44.00,36.00,126025.32,0.23,0.00,43.27,-70.602,0.677
,Mixed / non conventional,72.00,65.00,36.00,27.00,159476.25,0.22,0.00,89.90,-44.869,0.677
,Mixed / non conventional,72.00,65.00,27.00,19.00,555802.19,0.06,0.00,-210.45,-189.749,1.755
,Mixed / non conventional,72.00,65.00,19.00,10.00,208033.25,0.08,0.00,-9.31,-47.552,1.755
,Mixed / non conventional,72.00,65.00,10.00,3.00,3578277.25,1.32,0.00,35.75,-35.651,0.150
,Mixed / non conventional,72.00,65.00,51.00,50.00,-264323.75,0.35,0.00,-329.87,61.379,0.562
,Mixed / non conventional,72.00,65.00,50.00,49.00,-223316.56,0.36,0.00,-73.14,43.731,0.562
,Mixed / non conventional,72.00,65.00,49.00,41.00,130736.82,1.38,0.00,74.25,-36.315,0.182
,Mixed / non conventional,72.00,65.00,53.00,52.00,-105497.45,0.49,0.00,113.11,44.781,0.706
,Mixed / non conventional,72.00,65.00,55.00,47.00,15155.48,0.03,0.00,-14.40,-45.058,0.729
,Mixed / non conventional,72.00,65.00,47.00,40.00,78172.55,0.03,0.00,131.38,-61.734,0.729
,Mixed / non conventional,72.00,65.00,40.00,32.00,80108.45,0.10,0.00,-187.15,-260.065,5.918
,Mixed / non conventional,72.00,65.00,32.00,31.00,190528.88,0.11,0.00,37.48,-50.515,5.918
,Mixed / non conventional,72.00,65.00,31.00,24.00,179048.28,0.08,0.00,-197.25,-126.294,3.026
,Mixed / non conventional,72.00,65.00,24.00,23.00,666979.81,0.09,0.00,168.87,-49.965,3.026
,Mixed / non conventional,72.00,65.00,23.00,16.00,223663.91,0.31,0.00,-196.54,-48.288,1.595
,Mixed / non conventional,72.00,65.00,16.00,7.00,811583.19,0.31,0.00,24.24,-143.053,1.595
,Mixed / non conventional,72.00,65.00,59.00,58.00,-59940.60,0.45,0.00,-486.49,40.378,0.231
,Mixed / non conventional,72.00,65.00,58.00,57.00,-81474.41,0.40,0.00,-27.97,39.242,0.231
,Mixed / non conventional,72.00,65.00,57.00,49.00,52905.10,1.18,0.00,-4.18,-34.726,0.105
,Mixed / non conventional,72.00,65.00,61.00,60.00,-11910.03,0.14,0.00,10.44,43.452,0.540
,Mixed / non conventional,72.00,65.00,63.00,56.00,1585.52,0.05,0.00,-98.12,-227.930,2.654
,Mixed / non conventional,72.00,65.00,56.00,55.00,-15697.17,0.04,0.00,5.16,49.304,2.654
,Mixed / non conventional,72.00,65.00,55.00,54.00,-46763.99,0.04,0.00,-283.03,47.169,1.088
,Mixed / non conventional,72.00,65.00,54.00,53.00,-63704.27,0.07,0.00,19.90,51.332,1.088
,Mixed / non conventional,72.00,65.00,53.00,45.00,30531.00,0.27,0.00,77.33,-43.455,0.504
,Mixed / non conventional,72.00,65.00,45.00,37.00,103296.58,0.26,0.00,-59.94,-48.239,0.504
,Mixed / non conventional,72.00,65.00,37.00,29.00,259028.34,0.80,0.00,47.99,-41.640,0.385
,Mixed / non conventional,72.00,65.00,29.00,21.00,532439.69,0.81,0.00,-93.18,-45.804,0.385
,Mixed / non conventional,72.00,65.00,68.00,67.00,5155.63,0.33,0.00,156.75,37.450,0.211
,Mixed / non conventional,72.00,65.00,67.00,66.00,3207.77,0.42,0.00,-370.40,57.356,0.211
,Mixed / non conventional,72.00,65.00,66.00,58.00,1912.35,0.65,0.00,-30.96,-34.840,0.150
,Mixed / non conventional,72.00,65.00,58.00,50.00,29620.47,0.54,0.00,40.04,-35.567,0.150
,Mixed / non conventional,72.00,65.00,50.00,42.00,98239.65,1.21,0.00,89.20,-76.315,0.441
,Mixed / non conventional,72.00,65.00,42.00,33.00,132219.75,1.23,0.00,-96.08,-42.097,0.441
