,El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  
,Mixed / non conventional,1.00,3.00,61.00,63.00,-1860023.38,0.06,0.00,26.34,50.809,4.629
,Mixed / non conventional,1.00,3.00,63.00,65.00,6295857.00,0.06,0.00,129.28,-155.875,4.629
,Mixed / non conventional,1.00,3.00,62.00,64.00,-1294952.75,0.09,0.00,-76.88,55.350,7.611
,Mixed / non conventional,1.00,3.00,64.00,66.00,6455093.00,0.09,0.00,60.60,-250.409,7.611
,Mixed / non conventional,1.00,3.00,66.00,68.00,-2517284.75,0.09,0.00,37.34,88.913,7.611
,Mixed / non conventional,1.00,3.00,68.00,70.00,-2560220.75,0.08,0.00,-102.41,82.568,7.611
,Mixed / non conventional,1.00,3.00,70.00,72.00,-1535437.50,0.10,0.00,168.66,45.330,7.611
,Mixed / non conventional,1.00,3.00,72.00,2.00,3308468.00,0.09,0.00,2.81,-1636.299,7.611
,Mixed / non conventional,1.00,3.00,65.00,67.00,-1888990.00,0.07,0.00,-95.59,53.061,5.778
,Mixed / non conventional,1.00,3.00,67.00,69.00,-2677291.75,0.07,0.00,-10.33,68.567,5.778
,Mixed / non conventional,1.00,3.00,69.00,71.00,-2159426.00,0.07,0.00,38.88,50.566,5.778
,Mixed / non conventional,2.00,4.00,3.00,5.00,3997.24,0.12,0.00,-441.45,2141.089,5.048
,Mixed / non conventional,2.00,4.00,5.00,7.00,2226.16,0.08,0.00,7.89,-953.941,5.048
,Mixed / non conventional,2.00,4.00,7.00,9.00,38591.93,0.06,0.00,-195.15,-2362.450,5.048
,Mixed / non conventional,2.00,4.00,9.00,11.00,-68671.88,0.03,0.00,-41.09,1401.275,5.048
,Mixed / non conventional,2.00,4.00,11.00,13.00,-103803.41,0.08,0.00,84.76,962.796,5.048
,Mixed / non conventional,2.00,4.00,13.00,15.00,19453.79,0.07,0.00,-21.11,-97.159,5.048
,Mixed / non conventional,2.00,4.00,15.00,17.00,548602.63,0.04,0.00,-147.08,-1643.940,5.048
,Mixed / non conventional,2.00,4.00,17.00,19.00,-409730.88,0.04,0.00,-8.75,794.455,5.048
,Mixed / non conventional,2.00,4.00,19.00,21.00,-515148.03,0.06,0.00,65.06,683.431,5.048
,Mixed / non conventional,2.00,4.00,21.00,23.00,-51925.23,0.05,0.00,94.66,49.205,5.048
,Mixed / non conventional,2.00,4.00,6.00,8.00,2589.09,0.58,0.00,-25.26,-152.326,2.218
,Mixed / non conventional,2.00,4.00,8.00,10.00,56630.11,0.58,0.00,-251.15,-832.940,2.218
,Mixed / non conventional,2.00,4.00,10.00,12.00,-137110.78,0.58,0.00,27.16,806.674,2.218
,Mixed / non conventional,2.00,4.00,12.00,14.00,-18524.04,0.56,0.00,-34.20,54.492,2.218
,Mixed / non conventional,2.00,4.00,14.00,16.00,29227.07,0.59,0.00,-59.82,-49.130,2.218
,Mixed / non conventional,2.00,4.00,16.00,18.00,535700.44,0.58,0.00,-76.36,-562.807,2.218
,Mixed / non conventional,2.00,4.00,18.00,20.00,-585612.63,0.59,0.00,193.78,410.165,2.218
,Mixed / non conventional,2.00,4.00,20.00,22.00,-263761.19,0.58,0.00,9.36,129.317,2.218
,Mixed / non conventional,2.00,4.00,22.00,24.00,30411.66,0.08,0.00,-105.63,-29.705,6.076
,Mixed / non conventional,2.00,4.00,24.00,26.00,1534302.88,0.09,0.00,-18.71,-1123.997,6.076
,Mixed / non conventional,2.00,4.00,23.00,25.00,1667735.50,0.08,0.00,-111.61,-459.934,1.988
,Mixed / non conventional,2.00,4.00,25.00,27.00,-964760.88,0.05,0.00,93.72,202.209,1.988
,Mixed / non conventional,2.00,4.00,27.00,29.00,-1061320.25,0.06,0.00,-20.56,173.016,1.988
,Mixed / non conventional,2.00,4.00,29.00,31.00,-384596.31,0.00,0.00,14.73,49.725,1.988
,Mixed / non conventional,2.00,4.00,31.00,33.00,3124854.50,0.10,0.00,-119.46,-325.818,1.988
,Mixed / non conventional,2.00,4.00,33.00,35.00,-1442268.13,0.12,0.00,169.98,123.040,1.988
,Mixed / non conventional,2.00,4.00,35.00,37.00,-1545394.88,0.11,0.00,-86.23,109.235,1.988
,Mixed / non conventional,2.00,4.00,37.00,39.00,-951500.56,0.06,0.00,50.99,56.350,1.988
,Mixed / non conventional,2.00,4.00,39.00,41.00,4426788.50,0.06,0.00,-67.85,-221.831,1.988
,Mixed / non conventional,2.00,4.00,41.00,43.00,-1652411.63,0.06,0.00,42.23,70.686,1.988
,Mixed / non conventional,2.00,4.00,26.00,28.00,-1135944.13,0.07,0.00,141.74,637.676,6.053
,Mixed / non conventional,2.00,4.00,28.00,30.00,-791066.81,0.05,0.00,-20.57,348.916,6.053
,Mixed / non conventional,2.00,4.00,30.00,32.00,-105018.76,0.06,0.00,-6.51,37.056,6.053
,Mixed / non conventional,2.00,4.00,32.00,34.00,2830706.75,0.06,0.00,-98.23,-811.546,6.053
,Mixed / non conventional,2.00,4.00,34.00,36.00,-1572683.75,0.04,0.00,100.28,371.320,6.053
,Mixed / non conventional,2.00,4.00,36.00,38.00,-1288148.25,0.05,0.00,14.48,253.445,6.053
,Mixed / non conventional,2.00,4.00,38.00,40.00,-641169.63,0.04,0.00,-1.53,106.233,6.053
,Mixed / non conventional,2.00,4.00,40.00,42.00,4376220.00,0.05,0.00,-95.72,-616.316,6.053
,Mixed / non conventional,2.00,4.00,42.00,44.00,-1970462.00,0.04,0.00,70.23,237.862,6.053
,Mixed / non conventional,2.00,4.00,44.00,46.00,-1796407.75,0.06,0.00,-92.80,187.281,6.053
,Mixed / non conventional,2.00,4.00,43.00,45.00,-1993284.50,0.12,0.00,75.80,127.758,3.461
,Mixed / non conventional,2.00,4.00,45.00,47.00,-1434598.75,0.12,0.00,-7.95,79.688,3.461
,Mixed / non conventional,2.00,4.00,47.00,49.00,5522515.00,0.12,0.00,-156.69,-267.595,3.461
,Mixed / non conventional,2.00,4.00,49.00,51.00,-1832423.25,0.12,0.00,143.52,77.921,3.461
,Mixed / non conventional,2.00,4.00,51.00,53.00,-2406684.75,0.11,0.00,-108.94,90.300,3.461
,Mixed / non conventional,2.00,4.00,53.00,55.00,-2032441.50,0.11,0.00,95.30,67.623,3.461
,Mixed / non conventional,2.00,4.00,55.00,57.00,6627397.50,0.11,0.00,-86.85,-196.454,3.461
,Mixed / non conventional,2.00,4.00,57.00,59.00,-1872694.50,0.12,0.00,215.39,49.670,3.461
,Mixed / non conventional,2.00,4.00,59.00,61.00,-2773320.00,0.11,0.00,-112.98,66.074,3.461
,Mixed / non conventional,2.00,4.00,61.00,63.00,-2466559.00,0.11,0.00,23.72,52.985,3.461
,Mixed / non conventional,2.00,4.00,46.00,48.00,-1058916.00,0.06,0.00,39.09,74.793,4.716
,Mixed / non conventional,2.00,4.00,48.00,50.00,5710738.00,0.07,0.00,-41.39,-352.941,4.716
,Mixed / non conventional,2.00,4.00,50.00,52.00,-2319343.00,0.05,0.00,84.83,126.138,4.716
,Mixed / non conventional,2.00,4.00,52.00,54.00,-2240456.75,0.08,0.00,-10.20,107.794,4.716
,Mixed / non conventional,2.00,4.00,54.00,56.00,-1507615.88,0.06,0.00,27.94,64.472,4.716
,Mixed / non conventional,2.00,4.00,56.00,58.00,6903208.50,0.06,0.00,8.53,-263.594,4.716
,Mixed / non conventional,2.00,4.00,58.00,60.00,-2670678.00,0.08,0.00,64.86,91.423,4.716
,Mixed / non conventional,2.00,4.00,60.00,62.00,-2724395.50,0.08,0.00,27.05,83.942,4.716
,Mixed / non conventional,2.00,4.00,62.00,64.00,-1790266.38,0.09,0.00,-79.11,49.817,4.716
,Mixed / non conventional,2.00,4.00,64.00,66.00,7986055.50,0.06,0.00,63.14,-201.415,4.716
,Mixed / non conventional,2.00,4.00,63.00,65.00,7616800.00,0.07,0.00,131.84,-195.620,4.573
,Mixed / non conventional,2.00,4.00,65.00,67.00,-2131568.00,0.08,0.00,-93.85,49.684,4.573
,Mixed / non conventional,2.00,4.00,67.00,69.00,-3214798.75,0.09,0.00,-12.16,68.228,4.573
,Mixed / non conventional,2.00,4.00,69.00,71.00,-2783340.00,0.08,0.00,34.90,53.935,4.573
,Mixed / non conventional,2.00,4.00,71.00,1.00,5540.80,0.07,0.00,1.85,-2690.302,4.573
,Mixed / non conventional,2.00,4.00,1.00,3.00,4416.93,0.03,0.00,298.38,2143.224,4.573
,Mixed / non conventional,2.00,4.00,66.00,68.00,-2917513.00,0.06,0.00,33.31,85.078,5.998
,Mixed / non conventional,2.00,4.00,68.00,70.00,-3207337.50,0.05,0.00,-99.82,85.274,5.998
,Mixed / non conventional,2.00,4.00,70.00,72.00,-2056416.13,0.07,0.00,170.06,49.990,5.998
,Mixed / non conventional,3.00,5.00,4.00,6.00,3013.32,0.14,0.00,-407.23,1583.874,4.954
,Mixed / non conventional,3.00,5.00,6.00,8.00,2002.74,0.09,0.00,-20.92,-842.154,4.954
,Mixed / non conventional,3.00,5.00,8.00,10.00,31355.37,0.09,0.00,-233.10,-1883.562,4.954
,Mixed / non conventional,3.00,5.00,10.00,12.00,-52281.69,0.08,0.00,16.92,1046.878,4.954
,Mixed / non conventional,3.00,5.00,12.00,14.00,-94359.84,0.08,0.00,-41.92,858.838,4.954
,Mixed / non conventional,3.00,5.00,14.00,16.00,23278.71,0.10,0.00,-59.48,-114.087,4.954
,Mixed / non conventional,3.00,5.00,16.00,18.00,465909.06,0.09,0.00,-62.02,-1370.033,4.954
,Mixed / non conventional,3.00,5.00,18.00,20.00,-329581.75,0.08,0.00,186.92,627.098,4.954
,Mixed / non conventional,3.00,5.00,20.00,22.00,-431817.66,0.08,0.00,3.42,562.166,4.954
,Mixed / non conventional,3.00,5.00,22.00,24.00,-53766.00,0.12,0.00,-103.99,49.997,4.954
,Mixed / non conventional,3.00,5.00,7.00,9.00,15197.18,0.15,0.00,-184.00,-642.340,1.593
,Mixed / non conventional,3.00,5.00,9.00,11.00,-6979.05,0.12,0.00,-49.84,73.746,1.593
,Mixed / non conventional,3.00,5.00,11.00,13.00,-106308.70,0.14,0.00,79.99,449.336,1.593
,Mixed / non conventional,3.00,5.00,13.00,15.00,-23775.56,0.17,0.00,-17.60,50.246,1.593
,Mixed / non conventional,3.00,5.00,15.00,17.00,400526.03,0.16,0.00,-140.62,-483.687,1.593
,Mixed / non conventional,3.00,5.00,17.00,19.00,-135733.72,0.11,0.00,-13.70,102.447,1.593
,Mixed / non conventional,3.00,5.00,19.00,21.00,-479116.69,0.15,0.00,62.45,241.082,1.593
,Mixed / non conventional,3.00,5.00,21.00,23.00,-209776.64,0.15,0.00,94.91,73.889,1.593
,Mixed / non conventional,3.00,5.00,23.00,25.00,1360421.88,0.15,0.00,-110.80,-348.491,1.593
,Mixed / non conventional,3.00,5.00,25.00,27.00,-466939.00,0.12,0.00,93.75,89.710,1.593
,Mixed / non conventional,3.00,5.00,24.00,26.00,1445440.63,0.07,0.00,-7.39,-554.000,2.762
,Mixed / non conventional,3.00,5.00,26.00,28.00,-732141.38,0.06,0.00,131.68,213.264,2.762
,Mixed / non conventional,3.00,5.00,28.00,30.00,-986832.06,0.08,0.00,-25.18,223.576,2.762
,Mixed / non conventional,3.00,5.00,30.00,32.00,-278133.13,0.05,0.00,-6.06,49.976,2.762
,Mixed / non conventional,3.00,5.00,32.00,34.00,2728836.25,0.07,0.00,-86.82,-395.425,2.762
,Mixed / non conventional,3.00,5.00,34.00,36.00,-1125628.13,0.10,0.00,94.90,133.455,2.762
,Mixed / non conventional,3.00,5.00,36.00,38.00,-1435121.88,0.06,0.00,10.15,140.978,2.762
,Mixed / non conventional,3.00,5.00,38.00,40.00,-889197.25,0.13,0.00,-2.25,73.186,2.762
,Mixed / non conventional,3.00,5.00,40.00,42.00,4254846.50,0.06,0.00,-88.21,-296.318,2.762
,Mixed / non conventional,3.00,5.00,42.00,44.00,-1534426.38,0.06,0.00,67.79,91.223,2.762
