,El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  
,Mixed / non conventional,72.00,65.00,71.00,59.00,1878.03,4.29,0.00,330.52,31.972,0.116
,Mixed / non conventional,72.00,65.00,71.00,60.00,878.24,1.23,0.00,102.81,37.545,0.283
,Mixed / non conventional,72.00,65.00,71.00,61.00,346.17,0.11,0.00,158.47,43.656,0.798
,Mixed / non conventional,72.00,65.00,71.00,62.00,-27.60,0.03,0.00,458.31,-32.758,6.991
,Mixed / non conventional,72.00,65.00,71.00,63.00,-209.10,0.11,0.00,359.11,-45.935,1.129
,Mixed / non conventional,72.00,65.00,71.00,64.00,-205.28,0.11,0.00,318.57,-44.120,0.790
,Mixed / non conventional,72.00,65.00,71.00,66.00,2346.98,2.72,0.00,46.84,76.731,0.123
,Mixed / non conventional,72.00,65.00,71.00,67.00,2213.48,3.33,0.00,266.91,46.422,0.116
,Mixed / non conventional,72.00,65.00,71.00,68.00,1552.68,0.55,0.00,201.34,33.117,0.146
,Mixed / non conventional,72.00,65.00,71.00,69.00,990.23,0.49,0.00,143.23,38.445,0.325
,Mixed / non conventional,72.00,65.00,71.00,70.00,506.73,0.09,0.00,331.17,44.778,1.041
,Mixed / non conventional,72.00,65.00,71.00,63.00,-209.29,0.65,0.00,355.42,-45.159,1.109
,Mixed / non conventional,72.00,65.00,71.00,70.00,507.13,0.06,0.00,330.27,44.997,1.045
,Mixed / non conventional,72.00,65.00,71.00,62.00,-27.94,0.05,0.00,453.45,-33.349,7.031
,Mixed / non conventional,72.00,65.00,2.00,1.00,-10288051.00,0.12,0.00,12.68,43.465,0.567
,Mixed / non conventional,72.00,65.00,4.00,3.00,-41904624.00,0.44,0.00,6.78,85.143,0.249
,Mixed / non conventional,72.00,65.00,3.00,2.00,-19340644.00,0.61,0.00,-11.55,37.529,0.249
,Mixed / non conventional,72.00,65.00,6.00,5.00,31320204.00,2.87,0.00,-70.59,-34.414,0.123
,Mixed / non conventional,72.00,65.00,8.00,7.00,7024803.50,0.38,0.00,-26.87,-42.241,0.608
,Mixed / non conventional,72.00,65.00,7.00,6.00,13680908.00,0.28,0.00,20.42,-78.331,0.608
,Mixed / non conventional,72.00,65.00,10.00,9.00,-4963115.00,0.06,0.00,-76.92,59.198,1.092
,Mixed / non conventional,72.00,65.00,9.00,1.00,585775.81,0.08,0.00,90.44,-45.146,1.092
,Mixed / non conventional,72.00,65.00,14.00,13.00,4138665.25,0.07,0.00,174.48,-164.558,2.944
,Mixed / non conventional,72.00,65.00,13.00,12.00,1346297.25,0.08,0.00,-34.90,-50.699,2.944
,Mixed / non conventional,72.00,65.00,12.00,11.00,-8302555.00,0.16,0.00,-13.59,51.123,0.508
,Mixed / non conventional,72.00,65.00,11.00,10.00,-7257184.50,0.16,0.00,-94.41,42.405,0.508
,Mixed / non conventional,72.00,65.00,10.00,2.00,856584.50,0.21,0.00,-1.22,-43.465,0.685
,Mixed / non conventional,72.00,65.00,16.00,8.00,304304.50,0.04,0.00,58.64,-46.100,1.506
,Mixed / non conventional,72.00,65.00,18.00,17.00,-2606942.75,0.22,0.00,11.39,45.163,1.021
,Mixed / non conventional,72.00,65.00,17.00,9.00,604863.00,0.21,0.00,-1.83,-65.628,1.021
,Mixed / non conventional,72.00,65.00,20.00,19.00,-2613748.00,0.23,0.00,-108.21,48.205,0.964
,Mixed / non conventional,72.00,65.00,19.00,18.00,-2582434.00,0.23,0.00,-104.44,44.809,0.964
,Mixed / non conventional,72.00,65.00,18.00,10.00,652429.25,0.06,0.00,91.15,-286.525,3.912
,Mixed / non conventional,72.00,65.00,10.00,1.00,-155896.70,0.04,0.00,13.43,49.730,3.912
,Mixed / non conventional,72.00,65.00,22.00,21.00,685829.56,0.00,0.00,-118.88,-55.647,3.738
,Mixed / non conventional,72.00,65.00,21.00,20.00,-647986.06,0.05,0.00,146.74,49.335,3.738
,Mixed / non conventional,72.00,65.00,20.00,12.00,1326044.75,0.78,0.00,-14.03,-39.214,0.235
,Mixed / non conventional,72.00,65.00,12.00,4.00,4540981.00,0.53,0.00,-90.49,-87.300,0.235
,Mixed / non conventional,72.00,65.00,24.00,16.00,282104.47,0.19,0.00,12.89,-46.231,1.024
,Mixed / non conventional,72.00,65.00,16.00,15.00,2921008.00,0.17,0.00,150.91,-45.152,1.024
,Mixed / non conventional,72.00,65.00,26.00,25.00,-1266777.63,0.28,0.00,-159.94,45.935,1.276
,Mixed / non conventional,72.00,65.00,25.00,17.00,450020.00,0.26,0.00,-67.32,-97.997,1.276
,Mixed / non conventional,72.00,65.00,28.00,27.00,-1098121.13,0.21,0.00,29.64,47.932,1.330
,Mixed / non conventional,72.00,65.00,27.00,26.00,-1134086.50,0.19,0.00,-65.53,46.017,1.330
,Mixed / non conventional,72.00,65.00,26.00,18.00,463655.91,0.03,0.00,-235.44,-203.359,2.409
,Mixed / non conventional,72.00,65.00,18.00,9.00,161462.78,0.04,0.00,10.13,-47.918,2.409
,Mixed / non conventional,72.00,65.00,30.00,29.00,35204.79,0.12,0.00,10.11,-9.525,7.085
,Mixed / non conventional,72.00,65.00,29.00,28.00,-668789.75,0.03,0.00,75.00,167.570,7.085
,Mixed / non conventional,72.00,65.00,28.00,20.00,533741.88,0.22,0.00,-56.28,-82.508,0.742
,Mixed / non conventional,72.00,65.00,20.00,11.00,443405.38,0.19,0.00,-30.32,-45.390,0.742
,Mixed / non conventional,72.00,65.00,11.00,3.00,1665995.50,0.87,0.00,-80.14,-39.497,0.305
,Mixed / non conventional,72.00,65.00,32.00,24.00,190932.83,0.21,0.00,-168.05,-44.053,0.830
,Mixed / non conventional,72.00,65.00,34.00,33.00,-642912.00,0.36,0.00,-57.62,45.894,1.346
,Mixed / non conventional,72.00,65.00,33.00,25.00,329366.81,0.36,0.00,-41.17,-133.011,1.346
,Mixed / non conventional,72.00,65.00,36.00,35.00,-644601.81,0.08,0.00,175.17,51.626,1.262
,Mixed / non conventional,72.00,65.00,35.00,34.00,-626104.69,0.07,0.00,-210.69,45.788,1.262
,Mixed / non conventional,72.00,65.00,34.00,26.00,311603.78,0.27,0.00,61.22,-112.941,1.116
,Mixed / non conventional,72.00,65.00,26.00,17.00,205340.72,0.27,0.00,-226.47,-45.610,1.116
,Mixed / non conventional,72.00,65.00,38.00,37.00,-153846.28,0.03,0.00,-26.85,49.900,4.224
,Mixed / non conventional,72.00,65.00,37.00,36.00,-400787.50,0.06,0.00,125.78,117.993,4.224
,Mixed / non conventional,72.00,65.00,36.00,28.00,248113.08,0.47,0.00,63.76,-70.491,0.742
,Mixed / non conventional,72.00,65.00,28.00,19.00,267825.56,0.44,0.00,-167.55,-45.193,0.742
,Mixed / non conventional,72.00,65.00,19.00,11.00,924202.69,0.12,0.00,82.40,-271.096,2.470
,Mixed / non conventional,72.00,65.00,11.00,2.00,-226648.64,0.11,0.00,-94.03,47.918,2.470
,Mixed / non conventional,72.00,65.00,42.00,41.00,-467167.94,0.38,0.00,-154.92,45.010,0.822
,Mixed / non conventional,72.00,65.00,41.00,33.00,226239.39,0.39,0.00,48.08,-112.481,0.822
,Mixed / non conventional,72.00,65.00,44.00,43.00,-314483.47,0.52,0.00,278.59,45.045,0.965
,Mixed / non conventional,72.00,65.00,43.00,42.00,-438524.75,0.54,0.00,-243.68,55.668,0.965
,Mixed / non conventional,72.00,65.00,42.00,34.00,174426.75,0.19,0.00,-50.94,-77.647,0.666
,Mixed / non conventional,72.00,65.00,34.00,25.00,184808.80,0.17,0.00,-98.82,-43.435,0.666
,Mixed / non conventional,72.00,65.00,46.00,45.00,-159123.69,0.22,0.00,161.28,46.272,1.514
,Mixed / non conventional,72.00,65.00,45.00,44.00,-219315.20,0.22,0.00,4.84,55.910,1.514
,Mixed / non conventional,72.00,65.00,44.00,36.00,108358.46,0.31,0.00,20.57,-67.836,0.756
,Mixed / non conventional,72.00,65.00,36.00,27.00,140395.33,0.31,0.00,91.15,-44.141,0.756
,Mixed / non conventional,72.00,65.00,27.00,19.00,492705.88,0.13,0.00,-198.08,-163.305,1.704
,Mixed / non conventional,72.00,65.00,19.00,10.00,212216.39,0.08,0.00,-16.92,-47.094,1.704
,Mixed / non conventional,72.00,65.00,10.00,3.00,3337004.00,1.39,0.00,16.55,-35.110,0.159
