Unnamed: 0,El-array,a,b,m,n,Rho,dev,ip,sp,vp,i,resist,resError,phaseError,K,app,irecip,reciprocalErrRel,recipError,recipMean,reci_IP_err
,Mixed / non conventional,2,4,13,15,19453.79,0.07,0.0,-21.11,-97.159,5.048,-19.24702852614897,,,-1010.8074362925171,19455.039560765585,75,-0.006586043895127199,-0.12634571550982798,-19.183855668394056,0.0
,Mixed / non conventional,2,4,15,17,548602.63,0.04,0.0,-147.08,-1643.94,5.048,-325.66164817749603,,,-1684.6790604875298,548635.3594884844,76,-0.007613801460764846,-2.4701196323762815,-324.4265883613079,0.0
,Mixed / non conventional,2,4,17,19,-409730.88,0.04,0.0,-8.75,794.455,5.048,157.3801505546751,,,-2603.594911662535,-409754.1591808358,77,-0.001563010938734084,-0.2457948068706628,157.25725315123978,0.0
,Mixed / non conventional,2,4,19,21,-515148.03,0.06,0.0,65.06,683.431,5.048,135.38648969889067,,,-3805.254101660642,-515179.99523614,78,0.003052421285487019,0.4138882836276423,135.5934338407045,0.0
,Mixed / non conventional,2,4,21,23,-51925.23,0.05,0.0,94.66,49.205,5.048,9.74742472266244,,,-5327.355742324881,-51927.99906915527,79,-0.032661169093984685,-0.31324678400745753,9.590801330658712,0.0
,Mixed / non conventional,2,4,6,8,2589.09,0.58,0.0,-25.26,-152.326,2.218,-68.67718665464382,,,-37.699111843077524,2589.0689407613286,80,-0.0006321163872503401,-0.043398258739387074,-68.65548752527413,0.0
,Mixed / non conventional,2,4,8,10,56630.11,0.58,0.0,-251.15,-832.94,2.218,-375.53651938683504,,,-150.79644737231,56629.57298209735,81,-0.07439418529722622,-26.93579996237463,-362.0686194056477,0.0
,Mixed / non conventional,2,4,10,12,-137110.78,0.58,0.0,27.16,806.674,2.218,363.6943192064923,,,-376.99111843077526,-137109.52816457493,82,0.0030630007095086855,1.115704659856135,364.2521715364204,0.0
,Mixed / non conventional,2,4,12,14,-18524.04,0.56,0.0,-34.2,54.492,2.218,24.568079350766457,,,-753.9822368615518,-18523.895424282993,83,0.012669519154965224,0.3132501161084065,24.72470440882066,0.0
,Mixed / non conventional,2,4,14,16,29227.07,0.59,0.0,-59.82,-49.13,2.218,-22.150586113615873,,,-1319.46891450771,29227.00981504229,84,0.007727179587422562,0.17182541980483634,-22.23649882351829,0.0
,Mixed / non conventional,2,4,16,18,535700.44,0.58,0.0,-76.36,-562.807,2.218,-253.7452660054103,,,-2111.150263212339,535694.3851162068,85,-0.010728665789904489,-2.707822493467063,-252.39135475867675,0.0
,Mixed / non conventional,2,4,18,20,-585612.63,0.59,0.0,193.78,410.165,2.218,184.92560865644725,,,-3166.7253948185225,-585608.6210846435,86,0.0031081650680497425,0.5756739618632309,185.21344563737887,0.0
,Mixed / non conventional,2,4,20,22,-263761.19,0.58,0.0,9.36,129.317,2.218,58.303426510369704,,,-4523.893421169273,-263758.4876218877,87,0.007159489520372017,0.4189224063919781,58.51288771356569,0.0
,Mixed / non conventional,2,4,22,24,30411.66,0.08,0.0,-105.63,-29.705,6.076,-4.888907175773535,,,-6220.353454107836,30410.730637635494,88,-0.051344195885607964,-0.24473416816440352,-4.766540091691333,0.0
,Mixed / non conventional,2,4,24,26,1534302.88,0.09,0.0,-18.71,-1123.997,6.076,-184.98963133640555,,,-8293.804605477077,1534267.856343387,89,-0.011312498282539092,-2.0809246584681205,-183.9491690071715,0.0
,Mixed / non conventional,2,4,23,25,1667735.5,0.08,0.0,-111.61,-459.934,1.988,-231.35513078470825,,,-7207.598945498374,1667514.9966795016,90,-0.0036843409301574276,-0.8508238152485887,-230.92971887708396,0.0
,Mixed / non conventional,2,4,25,27,-964760.88,0.05,0.0,93.72,202.209,1.988,101.71478873239437,,,-9483.682823024179,-964630.7947489418,91,0.005337395385621323,0.5443447355696378,101.98696110017919,0.0
,Mixed / non conventional,2,4,27,29,-1061320.25,0.06,0.0,-20.56,173.016,1.988,87.03018108651911,,,-12193.306486745501,-1061185.671584889,92,0.0031828370254987455,0.27744441287293853,87.16890329295558,0.0
,Mixed / non conventional,2,4,29,31,-384596.31,0.0,0.0,14.73,49.725,1.988,25.0125754527163,,,-15374.169048504882,-384547.5633485439,93,0.008850190795256948,0.2223499849322863,25.12375044518244,0.0
,Mixed / non conventional,2,4,31,33,3124854.5,0.1,0.0,-119.46,-325.818,1.988,-163.8923541247485,,,-19063.969620146378,3124438.8600084772,94,-0.04404765238323272,-7.06350797090235,-160.36060013929733,0.0
,Mixed / non conventional,2,4,33,35,-1442268.13,0.12,0.0,169.98,123.04,1.988,61.89134808853119,,,-23300.40731351191,-1442093.6196451236,95,-0.009459448561311874,-0.5827020038178645,61.59999708662225,0.0
,Mixed / non conventional,2,4,35,37,-1545394.88,0.11,0.0,-86.23,109.235,1.988,54.94718309859155,,,-28121.181240446072,-1545179.6945674683,96,0.005806483041774335,0.3199788627754572,55.10717252997928,0.0
,Mixed / non conventional,2,4,37,39,-951500.56,0.06,0.0,50.99,56.35,1.988,28.345070422535212,,,-33563.99051278921,-951373.674746314,97,0.000977911759831128,0.027732537686805614,28.358936691378617,0.0
,Mixed / non conventional,2,4,39,41,4426788.5,0.06,0.0,-67.85,-221.831,1.988,-111.58501006036217,,,-39666.53424238932,4426190.622496713,98,-0.020193438778038197,-2.2307616943490842,-110.46962921318763,0.0
,Mixed / non conventional,2,4,41,43,-1652411.63,0.06,0.0,42.23,70.686,1.988,35.556338028169016,,,-46466.51154108182,-1652178.991344522,99,-0.0010682202729555515,-0.0379617253714315,35.5373571654833,0.0
,Mixed / non conventional,2,4,26,28,-1135944.13,0.07,0.0,141.74,637.676,6.053,105.3487526846192,,,-10781.945987120022,-1135864.5612560296,100,-0.0025220259497532823,-0.26535766858168586,105.21607385032836,0.0
,Mixed / non conventional,2,4,28,30,-791066.81,0.05,0.0,-20.57,348.916,6.053,57.643482570626134,,,-13722.476710880474,-791011.3471094616,101,-0.0018993375859281383,-0.10938055772795252,57.58879229176216,0.0
,Mixed / non conventional,2,4,30,32,-105018.76,0.06,0.0,-6.51,37.056,6.053,6.121923013381794,,,-17153.095888600008,-105009.93247116503,102,-0.010757749077530425,-0.06550576436185196,6.089170131200868,0.0
,Mixed / non conventional,2,4,32,34,2830706.75,0.06,0.0,-98.23,-811.546,6.053,-134.07335205683134,,,-21111.502632123484,2830489.9248454133,103,-0.022688458124546163,-3.0077965012757772,-132.56945380619345,0.0
,Mixed / non conventional,2,4,34,36,-1572683.75,0.04,0.0,100.28,371.32,6.053,61.34478770857426,,,-25635.396053292803,-1572597.9287144693,104,-0.0014656650118449667,-0.08984506761746758,61.29986517476553,0.0
,Mixed / non conventional,2,4,36,38,-1288148.25,0.05,0.0,14.48,253.445,6.053,41.87097307120436,,,-30762.475263951364,-1288054.773380498,105,-0.0086304996745958,-0.3598147290151985,41.69106570669676,0.0
,Mixed / non conventional,2,4,38,40,-641169.63,0.04,0.0,-1.53,106.233,6.053,17.550470840905337,,,-36530.43937594186,-641126.4110729278,106,-0.0014628440816496007,-0.02565483788589873,17.537643421962386,0.0
,Mixed / non conventional,2,4,40,42,4376220.0,0.05,0.0,-95.72,-616.316,6.053,-101.81992400462582,,,-42976.98750110756,4375913.601310525,107,-0.04200738648622315,-4.189200223237336,-99.72532389300716,0.0
,Mixed / non conventional,2,4,42,44,-1970462.0,0.04,0.0,70.23,237.862,6.053,39.296547166694204,,,-50139.81875129532,-1970321.7524897752,108,-0.003800426539078821,-0.14906039420743156,39.222016969590484,0.0
,Mixed / non conventional,2,4,44,46,-1796407.75,0.06,0.0,-92.8,187.281,6.053,30.940194944655545,,,-58056.632238336875,-1796283.5192843168,109,-0.01056773271883469,-0.3252491374678641,30.777570375921613,0.0
,Mixed / non conventional,2,4,43,45,-1993284.5,0.12,0.0,75.8,127.758,3.461,36.91360878358856,,,-54001.6215207197,-1993394.7304952636,110,-0.0034145199399184035,-0.12582743310624522,36.85069506703543,0.0
,Mixed / non conventional,2,4,45,47,-1434598.75,0.12,0.0,-7.95,79.688,3.461,23.02455937590292,,,-62309.563293135114,-1434650.2397293707,111,-0.004512573378636268,-0.1036661132231309,22.972726319291354,0.0
,Mixed / non conventional,2,4,47,49,5522515.0,0.12,0.0,-156.69,-267.595,3.461,-77.31724934989889,,,-71428.03597018299,5522619.267680185,112,-0.027006885155440436,-2.060277238345094,-76.28711073072634,0.0
,Mixed / non conventional,2,4,49,51,-1832423.25,0.12,0.0,143.52,77.921,3.461,22.514013290956374,,,-81394.73866369428,-1832522.2280883337,113,-0.007050405556644535,-0.1581753243161863,22.434925628798283,0.0
,Mixed / non conventional,2,4,51,53,-2406684.75,0.11,0.0,-108.94,90.3,3.461,26.090725223923723,,,-92247.37048551715,-2406800.7959671193,114,-0.0025851257622413236,-0.06736073794241548,26.057044854952515,0.0
,Mixed / non conventional,2,4,53,55,-2032441.5,0.11,0.0,95.3,67.623,3.461,19.53857266685929,,,-104023.63054750494,-2032473.2645229495,115,-0.005785643922713975,-0.11271715355130496,19.482214090083637,0.0
,Mixed / non conventional,2,4,55,57,6627397.5,0.11,0.0,-86.85,-196.454,3.461,-56.76220745449292,,,-116761.21796148103,6627624.476568852,116,-0.023618440072093756,-1.3249877235512173,-56.099713592717315,0.0
,Mixed / non conventional,2,4,57,59,-1872694.5,0.12,0.0,215.39,49.67,3.461,14.351343542328808,,,-130497.83183930282,-1872819.216254889,117,0.0031318355939878935,0.045016540729701404,14.373851812693658,0.0
,Mixed / non conventional,2,4,59,61,-2773320.0,0.11,0.0,-112.98,66.074,3.461,19.091014157757872,,,-145271.17129280564,-2773373.9878650215,118,-0.003322736348099366,-0.06332919355739719,19.05934956097917,0.0
,Mixed / non conventional,2,4,61,63,-2466559.0,0.11,0.0,23.72,52.985,3.461,15.309159202542618,,,-161118.93543384274,-2466595.4331008834,119,0.0001675012146894939,0.002564517542202438,15.310441461313719,0.0
,Mixed / non conventional,2,4,46,48,-1058916.0,0.06,0.0,39.09,74.793,4.716,15.85941475826972,,,-66765.12707409254,-1058855.8416566164,120,0.004341318180514846,0.06900054227672747,15.893915029408085,0.0
,Mixed / non conventional,2,4,48,50,5710738.0,0.07,0.0,-41.39,-352.941,4.716,-74.83905852417303,,,-76303.00237038826,5710444.859967601,121,-0.034344935065120256,-2.526948661501379,-73.57558419342234,0.0
,Mixed / non conventional,2,4,50,52,-2319343.0,0.05,0.0,84.83,126.138,4.716,26.74681933842239,,,-86707.95723907575,-2319162.067477213,122,0.0020103708398036347,0.05382512989125132,26.773731903368017,0.0
,Mixed / non conventional,2,4,52,54,-2240456.75,0.08,0.0,-10.2,107.794,4.716,22.857082273112805,,,-98017.69079200295,-2240398.422653343,123,-0.0027230081056856654,-0.06215539547915938,22.826004575373226,0.0
,Mixed / non conventional,2,4,54,56,-1507615.88,0.06,0.0,27.94,64.472,4.716,13.670907548770142,,,-110269.90214100706,-1507489.6375816383,124,0.00118909682501332,0.01626570350949308,13.679040400524888,0.0
,Mixed / non conventional,2,4,56,58,6903208.5,0.06,0.0,8.53,-263.594,4.716,-55.89355385920271,,,-123502.29039791677,6902981.920090855,125,-0.017486117420270012,-0.9688901820726699,-55.40910876816638,0.0
,Mixed / non conventional,2,4,58,60,-2670678.0,0.08,0.0,64.86,91.423,4.716,19.38570822731128,,,-137752.55467460307,-2670430.8324885997,126,-0.002803435052130171,-0.05427050204095352,19.3585729762908,0.0
