Unnamed: 0,El-array,a,b,m,n,Rho,dev,ip,sp,vp,i,resist,resError,phaseError,K,app,irecip,reciprocalErrRel,recipError,recipMean,reci_IP_err,resist0,recipMean0,resInvError
,Mixed / non conventional,1,3,2,4,4724.9,1.1,0.0,-50.66,97.074,0.194,500.38144329896903,,,9.424777960769378,4715.983998782095,9937,0.031851426821350344,16.195792473388735,508.47933953566337,0.0,473.553006993007,471.1110759872098,-1.56333
,Mixed / non conventional,1,3,4,6,2207.27,0.42,0.0,49.37,-36.279,0.194,-187.00515463917526,,,-11.780972450961722,2203.1025749919604,9938,-0.04287056572492436,-7.848776038352213,-183.08076661999917,0.0,-171.69958041958043,-169.45640204148904,-2.17785
,Mixed / non conventional,1,3,6,8,2449.77,0.28,0.0,-30.1,-46.358,1.561,-29.697629724535552,,,-82.46680715673212,2449.068703505309,9939,-0.015068459740158437,-0.444151200639606,-29.475554124215748,0.0,-28.6220979020979,-28.504736463301448,-1.53099
,Mixed / non conventional,1,3,10,12,-131333.47,0.25,0.0,28.61,371.261,1.539,241.2352176738142,,,-544.2809272344314,-131299.7279571035,9941,0.04646532234387111,11.475682800119472,246.9730590738739,0.0,239.42769230769227,238.38154321721552,-0.65879
,Mixed / non conventional,1,3,12,14,30730.39,0.28,0.0,-45.37,-46.776,1.539,-30.39376218323587,,,-1010.8074362925171,30722.24083172111,9942,-0.021536722358093986,-0.6476083370820263,-30.06995801469486,0.0,-29.06041958041958,-28.847811831026114,-0.52729
,Mixed / non conventional,1,3,14,16,23173.57,0.08,0.0,-71.93,-48.955,3.559,-13.755268333801629,,,-1684.6790604875298,23173.212533342798,9943,-0.00141689579016664,-0.019475984074853514,-13.745530341764201,0.0,-13.888951048951048,-13.906912198144127,0.35632
,Mixed / non conventional,1,3,16,18,428419.31,0.06,0.0,-23.02,-585.623,3.559,-164.54706378196124,,,-2603.594911662535,428413.89799172495,9944,0.038647012304982215,6.484556771398445,-167.78934216766046,0.0,-165.57482517482515,-164.80057048214942,-0.56656
,Mixed / non conventional,1,3,18,20,-552079.19,0.04,0.0,171.23,381.132,2.627,145.08260373049106,,,-3805.254101660642,-552076.1729250567,9945,0.0494513337145869,7.3564206597528425,148.76081406036747,0.0,150.1172027972028,150.28794712742092,-0.2735
,Mixed / non conventional,1,3,20,22,-97528.51,0.07,0.0,-5.94,48.092,2.627,18.30681385610963,,,-5327.355742324881,-97526.90992001834,9946,0.00479005958831384,0.08790125536848592,18.350764483793874,0.0,14.596923076923076,14.58584471603163,-2.03335
,Mixed / non conventional,1,3,5,7,2384.57,0.0,0.0,10.97,-45.357,0.717,-63.25941422594143,,,-37.699111843077524,2384.823732031335,9947,0.018086332562223428,1.154571788044592,-63.83670011996372,0.0,-61.9560213727908,-61.795009155001836,-1.77124
