Unnamed: 0,El-array,a,b,m,n,Rho,dev,ip,sp,vp,i,resist,resError,phaseError,K,app,irecip,reciprocalErrRel,recipError,recipMean,reci_IP_err,resist0,recipMean0,resInvError
,Mixed / non conventional,1,3,2,4,3690.6,0.05,0.0,-19.66,1649.238,4.212,391.5569800569801,,,9.424777960769378,3690.3375960264407,1,-0.018382759200028347,-7.132341618227656,387.99080924786625,0.0,473.553006993007,471.1110759872098,1.24686
,Mixed / non conventional,1,3,4,6,1844.66,0.06,0.0,57.91,-659.466,4.212,-156.56837606837607,,,-11.780972450961722,1844.527725153353,2,-0.015359132114858494,-2.386427644307304,-155.37516224622243,0.0,-171.69958041958043,-169.45640204148904,-1.0718
,Mixed / non conventional,1,3,6,8,2060.82,0.03,0.0,-4.64,-105.249,4.212,-24.98789173789174,,,-82.46680715673212,2060.6716492020178,3,-0.005004909249007414,-0.12474994938442663,-24.925516763199525,0.0,-28.6220979020979,-28.504736463301448,-1.29845
,Mixed / non conventional,1,3,8,10,39355.93,0.06,0.0,-191.21,-669.989,4.212,-159.0667141500475,,,-247.400421470196,39353.17212260094,4,-0.008854155916977286,-1.402193866724872,-158.36561721668505,0.0,-201.0,-199.41172265904217,1.35424
,Mixed / non conventional,1,3,10,12,-105699.16,0.03,0.0,107.08,817.912,4.212,194.18613485280153,,,-544.2809272344314,-105691.80953375314,5,-0.00023910601838268524,-0.04642552321877247,194.16292209119214,0.0,239.42769230769227,238.38154321721552,1.1812
,Mixed / non conventional,1,3,12,14,27941.15,0.06,0.0,-70.4,-116.422,4.212,-27.640550807217476,,,-1010.8074362925171,27939.27429915656,6,0.045445708169583314,1.2853512546381936,-28.283226434536573,0.0,-29.06041958041958,-28.847811831026114,-0.88316
,Mixed / non conventional,1,3,14,16,19473.28,0.06,0.0,-24.91,-48.683,4.212,-11.558167141500476,,,-1684.6790604875298,19471.80216090086,7,0.00848903810998633,0.09853595910179891,-11.607435121051376,0.0,-13.888951048951048,-13.906912198144127,0.06887
,Mixed / non conventional,1,3,16,18,342802.03,0.0,0.0,-23.29,-554.532,4.212,-131.65527065527067,,,-2603.594911662535,342776.9927716166,8,-0.004785523353005622,-0.6285354367616662,-131.34100293688982,0.0,-165.57482517482515,-164.80057048214942,1.21737
,Mixed / non conventional,1,3,18,20,-438494.31,0.05,0.0,122.74,485.332,4.212,115.22602089268756,,,-3805.254101660642,-438464.2886199342,9,0.010524527024727377,1.2191146735006413,115.83557822943789,0.0,150.1172027972028,150.28794712742092,1.35382
,Mixed / non conventional,1,3,20,22,-78979.5,0.05,0.0,11.23,62.44,4.212,14.824311490978157,,,-5327.355742324881,-78974.3809474752,10,-0.00043242861097069765,-0.0064090706938717545,14.821106955631222,0.0,14.596923076923076,14.58584471603163,-1.47353
,Mixed / non conventional,1,3,5,7,1798.17,0.13,0.0,-2.08,-139.945,2.934,-47.6976823449216,,,-37.699111843077524,1798.1602613767836,11,0.016411004254505198,0.7892430030328512,-48.09230384643803,0.0,-61.9560213727908,-61.795009155001836,-0.12248
