Unnamed: 0,El-array,a,b,m,n,Rho,dev,ip,sp,vp,i,resist,resError,phaseError,K,app,irecip,reciprocalErrRel,recipError,recipMean,reci_IP_err,resist0,recipMean0,resInvError
,Mixed / non conventional,1,3,2,4,4463.67,0.17,0.0,16.03,1692.952,3.575,473.553006993007,,,9.424777960769378,4463.131943563759,1,-0.010366689005051043,-4.883862011594374,471.1110759872098,0.0,473.553006993007,471.1110759872098,-0.95064
,Mixed / non conventional,1,3,4,6,2023.03,0.17,0.0,18.26,-613.826,3.575,-171.69958041958043,,,-11.780972450961722,2022.7880267647636,2,-0.026474991219773154,-4.486356756182772,-169.45640204148904,0.0,-171.69958041958043,-169.45640204148904,-1.69184
,Mixed / non conventional,1,3,6,8,2360.66,0.16,0.0,-22.59,-102.324,3.575,-28.6220979020979,,,-82.46680715673212,2360.3730281134144,3,-0.008234521932700294,-0.23472287759289756,-28.504736463301448,0.0,-28.6220979020979,-28.504736463301448,-1.41459
,Mixed / non conventional,1,3,8,10,49733.51,0.15,0.0,-232.99,-718.575,3.575,-201.0,,,-247.400421470196,49727.484715509396,4,-0.015929628607376272,-3.176554681915661,-199.41172265904217,0.0,-201.0,-199.41172265904217,-0.372
,Mixed / non conventional,1,3,10,12,-130331.63,0.15,0.0,7.15,855.954,3.575,239.42769230769227,,,-544.2809272344314,-130315.92637483087,5,-0.008777098061853597,-2.0922981809534917,238.38154321721552,0.0,239.42769230769227,238.38154321721552,-0.50206
,Mixed / non conventional,1,3,12,14,29378.12,0.14,0.0,-32.14,-103.891,3.575,-29.06041958041958,,,-1010.8074362925171,29374.48821366878,6,-0.014739956752269372,-0.42521549878692966,-28.847811831026114,0.0,-29.06041958041958,-28.847811831026114,-0.95211
,Mixed / non conventional,1,3,14,16,23401.35,0.17,0.0,-57.47,-49.653,3.575,-13.888951048951048,,,-1684.6790604875298,23398.425004304143,7,0.002583053511400727,0.03592229838615779,-13.906912198144127,0.0,-13.888951048951048,-13.906912198144127,-0.4607
,Mixed / non conventional,1,3,16,18,431142.81,0.16,0.0,-65.75,-591.93,3.575,-165.57482517482515,,,-2603.594911662535,431089.7723245886,8,-0.009396262287327336,-1.5485093853514513,-164.80057048214942,0.0,-165.57482517482515,-164.80057048214942,-0.66654
,Mixed / non conventional,1,3,18,20,-571302.25,0.15,0.0,182.88,536.669,3.575,150.1172027972028,,,-3805.254101660642,-571234.1016738783,9,0.002272229190453291,0.3414886604362266,150.28794712742092,0.0,150.1172027972028,150.28794712742092,-0.71407
,Mixed / non conventional,1,3,20,22,-77772.52,0.16,0.0,8.62,52.184,3.575,14.596923076923076,,,-5327.355742324881,-77763.00197412072,10,-0.0015190564697660077,-0.022156721782890187,14.58584471603163,0.0,14.596923076923076,14.58584471603163,-1.23987
,Mixed / non conventional,1,3,5,7,2336.1,0.09,0.0,23.92,-150.739,2.433,-61.9560213727908,,,-37.699111843077524,2335.686979084942,11,-0.005211172228653545,-0.32202443557793714,-61.795009155001836,0.0,-61.9560213727908,-61.795009155001836,-1.60023
,Mixed / non conventional,1,3,9,11,-169716.8,0.08,0.0,-67.43,1095.117,2.433,450.10974106041925,,,-376.99111843077526,-169687.3746989541,13,-0.0007874547331056249,-0.35430154779959366,449.9325902865195,0.0,450.10974106041925,449.9325902865195,-1.10636
,Mixed / non conventional,1,3,11,13,-17823.38,0.1,0.0,78.84,57.504,2.433,23.635018495684342,,,-753.9822368615518,-17820.38411364023,14,-0.017012893937165197,-0.39870847041054347,23.435664260479072,0.0,23.635018495684342,23.435664260479072,-0.20473
,Mixed / non conventional,1,3,13,15,26991.93,0.09,0.0,-23.0,-49.762,2.433,-20.452938758734074,,,-1319.46891450771,26987.016902479518,15,0.007023564440910414,0.1441587876453383,-20.525018152556743,0.0,-20.452938758734074,-20.525018152556743,-0.31319
,Mixed / non conventional,1,3,15,17,597857.25,0.09,0.0,-124.17,-688.881,2.433,-283.1405672009864,,,-2111.150263212339,597752.2829724534,16,-0.008997017397742628,-2.5360123355620203,-281.87256103320544,0.0,-283.1405672009864,-281.87256103320544,-0.5811
,Mixed / non conventional,1,3,17,19,-663529.63,0.09,0.0,-21.24,509.704,2.433,209.49609535552818,,,-3166.7253948185225,-663416.6052776738,17,0.004293947447534319,0.9015007222829752,209.94684571666966,0.0,209.49609535552818,209.94684571666966,-0.54706
,Mixed / non conventional,1,3,19,21,-303164.25,0.09,0.0,58.63,163.017,2.433,67.00246609124538,,,-4523.893421169273,-303112.0155523023,18,0.007336271140338809,0.4933579622067299,67.24914507234874,0.0,67.00246609124538,67.24914507234874,-1.15775
,Mixed / non conventional,1,3,21,23,28549.83,0.04,0.0,93.98,-35.994,7.842,-4.589900535577659,,,-6220.353454107836,28550.803650491896,19,0.024372655313769507,0.11324814265099903,-4.646524606903158,0.0,-4.589900535577659,-4.646524606903158,-2.47389
,Mixed / non conventional,1,3,23,25,1622491.13,0.06,0.0,-122.46,-1534.162,7.842,-195.63402193318032,,,-8293.804605477077,1622550.3520974144,20,-0.022303799178297314,-4.315258606954302,-193.47639262970318,0.0,-195.63402193318032,-193.47639262970318,-0.55097
,Mixed / non conventional,1,3,22,24,51897.68,0.05,0.0,-109.09,-50.419,7.002,-7.20065695515567,,,-7207.598945498374,51899.44747687553,21,-0.02556301395775216,-0.1817474874701368,-7.109783211420601,0.0,-7.20065695515567,-7.109783211420601,-1.42979
,Mixed / non conventional,1,3,24,26,1229075.38,0.05,0.0,-13.11,-907.484,7.002,-129.6035418451871,,,-9483.682823024179,1229118.8836002962,22,-0.009824882410652689,-1.2671149310339729,-128.9699843796701,0.0,-129.6035418451871,-128.9699843796701,-0.8621
,Mixed / non conventional,1,3,26,28,-1121760.25,0.05,0.0,141.29,644.198,7.002,92.00199942873465,,,-12193.306486745501,-1121808.576427946,23,-0.00039385238011767793,-0.03622807219436197,91.98388539263746,0.0,92.00199942873465,91.98388539263746,-0.97364
,Mixed / non conventional,1,3,28,30,-431437.72,0.05,0.0,-23.08,196.5,7.002,28.063410454155957,,,-15374.169048504882,-431451.6163997729,24,-0.001155759035811026,-0.03241580777669384,28.04720255026761,0.0,28.063410454155957,28.04720255026761,-0.95369
,Mixed / non conventional,1,3,30,32,-6300.09,0.24,0.0,-8.64,2.544,7.697,0.3305183837858906,,,-19063.969620146378,-6300.9924273941,25,-0.015103016797150622,-0.0049544114226174885,0.3280411780745819,0.0,0.3305183837858906,0.3280411780745819,2.46534
,Mixed / non conventional,1,3,32,34,2268379.5,0.09,0.0,-98.31,-749.309,7.697,-97.35078602052748,,,-23300.40731351191,2268312.9665688314,26,-0.04287363782098974,-4.086187480381497,-95.30769228033674,0.0,-97.35078602052748,-95.30769228033674,-0.46479
,Mixed / non conventional,1,3,34,36,-1526342.38,0.06,0.0,96.93,295.088,5.437,54.27404818833916,,,-28121.181240446072,-1526250.3457569892,27,-0.0011992961427253997,-0.06505164854677759,54.24152236406577,0.0,54.27404818833916,54.24152236406577,-0.72058
,Mixed / non conventional,1,3,36,38,-851483.38,0.05,0.0,12.87,137.925,5.437,25.36784991723377,,,-33563.99051278921,-851446.2739518948,28,-0.0016455638951577154,-0.041710099604593154,25.346994867431473,0.0,25.36784991723377,25.346994867431473,-0.50174
,Mixed / non conventional,1,3,38,40,-369141.34,0.05,0.0,-4.17,50.595,5.437,9.305683281221262,,,-39666.53424238932,-369124.204523393,29,0.0008734270092392558,0.00813138620341114,9.309748974322968,0.0,9.305683281221262,9.309748974322968,-1.10648
,Mixed / non conventional,1,3,40,42,3505746.0,0.06,0.0,-88.17,-410.181,5.437,-75.44252345043222,,,-46466.51154108182,3505550.8865978443,30,-0.030329057854605546,-2.2539210080984304,-74.31556294638301,0.0,-75.44252345043222,-74.31556294638301,-0.47916
,Mixed / non conventional,1,3,25,27,-1293149.75,0.03,0.0,100.75,684.973,5.711,119.93924006303624,,,-10781.945987120022,-1293178.4080958785,31,-0.003987087654099077,-0.4772568308882228,119.70061164759213,0.0,119.93924006303624,119.70061164759213,-0.66535
,Mixed / non conventional,1,3,27,29,-775788.31,0.06,0.0,-16.79,322.873,5.711,56.53528278760287,,,-13722.476710880474,-775804.101395922,32,-0.007371215755167882,-0.4152034899534769,56.327681042626125,0.0,56.53528278760287,56.327681042626125,-1.02129
,Mixed / non conventional,1,3,29,31,-152006.3,0.03,0.0,14.22,50.61,5.711,8.861845561197688,,,-17153.095888600008,-152008.08666118828,33,-0.0011185501146663054,-0.00990687769903964,8.856892122348167,0.0,8.861845561197688,8.856892122348167,0.14653
,Mixed / non conventional,1,3,31,33,2839212.0,0.0,0.0,-127.13,-768.064,5.711,-134.48853090527052,,,-21111.502632123484,2839254.974197039,34,-0.03790534485505033,-5.00301366389121,-131.9870240733249,0.0,-134.48853090527052,-131.9870240733249,-0.43305
,Mixed / non conventional,1,3,33,35,-1699593.0,0.07,0.0,174.45,378.646,5.711,66.30117317457538,,,-25635.396053292803,-1699656.8331281925,35,-0.01744290944821811,-1.1464863313639455,65.72793000889341,0.0,66.30117317457538,65.72793000889341,-0.56008
